Informant,wife,wife,husband,husband,mother,mother,father,father,animal,animal,fish,fish,bird,bird,dog,dog,louse,louse
Ki-Akmuz 3,#CCFFCC ajal,A,#CCFFCC ɛr,D,#CCFFCC ɛnɛ,A,#CCFFCC ata,B,#CCFFCC mal,C,#CCFFCC balɨq,A,#CCFFCC qanattø,D,#CCFFCC it,A,#CCFFCC bit,A
Ki-Barskoon,#CCFFCC aja,A,#CCFFCC kyjœː,A,#CCFFCC enɛ,A,#CCFFCC ata,B,#CCFFCC ʤanɨβar,A,#CCFFCC balɨq,A,#CCFFCC qanattuː,D,#CCFFCC it,A,#CCFFCC bit,A
Ki-Kulanak 1,#CCFFCC ajal,A,#CCFFCC kyjøː,A,#CCFFCC apa,C,#CCFFCC ata,B,#CCFFCC mal,C,#CCFFCC balɨq,A,#CCFFCC kuʃ,A,#CCFFCC itʲ,A,#CCFFCC bit,A
Ki-Kulanak 2,#CCFFCC ajal,A,#CCFFCC gyjøː,A,#CCFFCC ɛne,A,#CCFFCC ata,B,#CCFFCC ʤanɨβar,A,#CCFFCC balɨq,A,#CCFFCC ʧimʧik,B,#CCFFCC itʲ,A,#CCFFCC bit,A
Ki-Kulanak 3,#CCFFCC ajal,A,#CCFFCC gyjøː,A,#CCFFCC enɛ,A,#CCFFCC ata,B,#FFFF99 ajβan,B,#CCFFCC balɨq,A,#CCFFCC ʤimʧiq,B,#CCFFCC itʲ,A,#CCFFCC bit,A
Ki-Kulanak 4,#CCFFCC ajal,A,#CCFFCC gyjøː,A,#CCFFCC ɛne,A,#CCFFCC ata,B,#CCFFCC mal,C,#CCFFCC balɨq,A,#CCFFCC ʧimʧik,B,#CCFFCC itʲ,A,#CCFFCC bit,A
Ki-Kulanak 5,#CCFFCC ajal,A,#CCFFCC gyjøː,A,#CCFFCC ɛne,A,#CCFFCC ata,B,#CCFFCC ʤanɨβar,A,#CCFFCC balɨq,A,#CCFFCC ʤimʧik,B,#CCFFCC itʲ,A,#CCFFCC bit,A
Ki-Orday 1,#CCFFCC katɨn,B,#CCFFCC er,D,#CCFFCC ɛnɛ,A,#CCFFCC ata,B,#CCFFCC ʒanɨβar,A,#CCFFCC balɨq,A,#CCFFCC kuʃ,A,#CCFFCC it,A,#CCFFCC pit,A
Ki-Orday 2,#CCFFCC xɔtɨn,B,#CCFFCC er,D,#CCFFCC ɒpa,C,#CCFFCC ɒta,B,#FFFF99 hajβan,B,#CCFFCC balɨq,A,#CCFFCC kuʃ,A,#CCFFCC it,A,#CCFFCC pit,A
Ki-Orday 3,#CCFFCC ajal,A,#CCFFCC ɪrkɛk,B,#CCFFCC enɛ,A,#CCFFCC ata,B,#FFFF99 ajβan,B,#CCFFCC balɜq,A,#CCFFCC kuʃ,A,#CCFFCC it,A,#CCFFCC pit,A
Ki-Orday 4,#CCFFCC ajal,A,#CCFFCC eʃ,D,#CCFFCC ɒpa,C,#CCFFCC ata,B,#FFFF99 hajβan,B,#CCFFCC balɨq,A,#CCFFCC kuʃ,A,#CCFFCC it,A,#CCFFCC pit,A
Ki-Tamga,#CCFFCC ajal,A,#CCFFCC kyjøː,A,#CCFFCC ɛnɛ,A,#CCFFCC ata,B,#FFFF99 ajvan,B,#CCFFCC balɨq,A,#CCFFCC ʧimʧik,B,#CCFFCC it,A,#CCFFCC bit,A
KK-Halqabad 1,#CCFFCC hajal,A,#CCFFCC jer,D,#CCFFCC ana,A,#CCFFCC akʲe,A,#FFFF99 hajwɒn,B,#CCFFCC balɜq,A,#CCFFCC qʊs,A,#CCFFCC it,A,#CCFFCC bit,A
KK-Halqabad 2,#CCFFCC hajal,A,#CCFFCC jer,D,#CCFFCC ana,A,#CCFFCC akʲe,A,#FFFF99 hajwɒn,B,#CCFFCC balɜq,A,#CCFFCC qʊs,A,#CCFFCC it,A,#CCFFCC bit,A
KK-Halqabad 3,#CCFFCC ajal,A,#CCFFCC jer,D,#CCFFCC ana,A,#CCFFCC aɣa,C,#FFFF99 hajwɒn,B,#CCFFCC balɜq,A,#CCFFCC qʊs,A,#CCFFCC it,A,#CCFFCC bit,A
KK-Kokdarya 1,#CCFFCC ajel,A,#CCFFCC kʉjʊw,A,#CCFFCC ana,A,#CCFFCC ata,B,#FFFF99 hajwɔn,B,#CCFFCC balɜq,A,#CCFFCC kus,A,#CCFFCC it,A,#CCFFCC bit,A
KK-Kokdarya 2,#CCFFCC hajalɨ,A,#CCFFCC kʉjəwɨ,A,#CCFFCC ana,A,#CCFFCC akʲe,A,#FFFF99 hajwɒn,B,#CCFFCC balɜq,A,#CCFFCC kus,A,#CCFFCC it,A,#CCFFCC bit,A
KK-Kokdarya 3,#CCFFCC qatɨn,B,#CCFFCC jɛr,D,#CCFFCC ana,A,#CCFFCC ata,B,#FFFF99 hajwɒn,B,#CCFFCC balɜq,A,#CCFFCC kuʃ,A,#CCFFCC it,A,#CCFFCC bit,A
KK-Kokdarya 4,#CCFFCC hajal,A,#CCFFCC jɛr,D,#CCFFCC ana,A,#CCFFCC akʲe,A,#FFFF99 hajwɒn,B,#CCFFCC balɜq,A,#CCFFCC kus,A,#CCFFCC it,A,#CCFFCC bit,A
KK-Shege 1,#FFFF99 zajif,C,#CCFFCC kɪjʊ,A,#CCFFCC ana,A,#CCFFCC akʲe,A,#FFFF99 hajwan,B,#CCFFCC balɜq,A,#CCFFCC qʊs,A,#CCFFCC it,A,#CCFFCC bit,A
KK-Shege 2,#CCFFCC qatɨn,B,#CCFFCC jer,D,#CCFFCC ana,A,#CCFFCC akʲe,A,#FFFF99 hajwɔn,B,#CCFFCC balɜq,A,#CCFFCC qʊs,A,#CCFFCC it,A,#CCFFCC bit,A
KK-Shege 3,#CCFFCC hajal,A,#CCFFCC kɪjʊ,A,#CCFFCC ana,A,#CCFFCC akʲe,A,#FFFF99 hajwan,B,#CCFFCC balɜq,A,#CCFFCC qʊs,A,#CCFFCC it,A,#CCFFCC bit,A
KK-Shege 4,#CCFFCC hajɪle,A,#CCFFCC kɪjʊvɐ,A,#CCFFCC ana,A,#CCFFCC akʲe,A,#FFFF99 hajwan,B,#CCFFCC balɜq,A,#CCFFCC qʊs,A,#CCFFCC it,A,#CCFFCC bit,A
U-Hitoy 1,#CCFFCC xatɨn,B,#CCFFCC jer,D,#CCFFCC ana,A,#CCFFCC aɣa,C,#FFFF99 hajwɔn,B,#CCFFCC balɜq,A,#CCFFCC kʊʃ,A,#CCFFCC it,A,#CCFFCC bit,A
U-Hitoy 2,#CCFFCC ajel,A,#CCFFCC kɪjʊ,A,#CCFFCC apa,C,#CCFFCC akʲe,A,#FFFF99 hajwan,B,#CCFFCC balɜq,A,#CCFFCC qʉʃ,A,#CCFFCC it,A,#CCFFCC bit,A
U-Hitoy 3,#CCFFCC ajel,A,#CCFFCC kɪjʊ,A,#CCFFCC ana,A,#CCFFCC akʲe,A,#FFFF99 hajvɔn,B,#CCFFCC balɜq,A,#CCFFCC qʉs,A,#CCFFCC it,A,#CCFFCC ptʲe,A
U-Novmetan 3,#CCFFCC xɔtɪn,B,#CCFFCC er,D,#CCFFCC ɔna,A,#CCFFCC ɔta,B,#FFFF99 hajvɔn,B,#CCFFCC balɨq,A,#CCFFCC kuʃ,A,#CCFFCC it,A,#99CCFF ʃubəʃ,B
U-Soy Mahalla 1,#CCFFCC xɔtɨn,B,#CCFFCC ɛrrɛ,D,#CCFFCC ɔna,A,#CCFFCC ɔta,B,#FFFF99 hajβɔn,B,#CCFFCC balɨq,A,#99CCFF paranda,C,#CCFFCC it,A,#CCFFCC bit,A
U-Soy Mahalla 2,#CCFFCC xɔtɨn,B,#CCFFCC er,D,#CCFFCC ɔna,A,#CCFFCC ɔta,B,#FFFF99 hajvɔn,B,#CCFFCC balɜq,A,#99CCFF paranda,C,#CCFFCC it,A,#CCFFCC pit,A
U-Soy Mahalla 3,#CCFFCC xɔtɨn,B,#CCFFCC er,D,#CCFFCC ɔna,A,#CCFFCC ɔta,B,#FFFF99 hajwɔn,B,#CCFFCC balɜq,A,#CCFFCC kuʃ,A,#CCFFCC it,A,#CCFFCC pit,A
U-Urtoqqishloq 1,#CCFFCC xɔtɪn,B,#CCFFCC jer,D,#CCFFCC ɔna,A,#CCFFCC ɔta,B,#FFFF99 hajwɔn,B,#CCFFCC baləq,A,#CCFFCC kʊʃ,A,#99CCFF ,B,#CCFFCC pɪt,A
U-Urtoqqishloq 2,#CCFFCC xɔtɪn,B,#CCFFCC jer,D,#CCFFCC ɔna,A,#CCFFCC ɔta,B,#FFFF99 hajvɔn,B,#CCFFCC balɜq,A,#CCFFCC kʊʃ,A,#99CCFF kʊʧuk,B,#CCFFCC bɪt,A
U-Urtoqqishloq 3,#CCFFCC xɔtən,B,#CCFFCC jer,D,#CCFFCC ɔna,A,#CCFFCC ɔta,B,#FFFF99 hajwɔn,B,#CCFFCC balɜq,A,#CCFFCC kʊʃ,A,#99CCFF kʊʧuk,B,#CCFFCC pɪt,A
U-Urtoqqishloq 4,#CCFFCC xɔtɪn,B,#CCFFCC jer,D,#CCFFCC ɔna,A,#CCFFCC ɔta,B,#FFFF99 hajvɔn,B,#CCFFCC balɜq,A,#CCFFCC kʊʃ,A,#99CCFF kʊʧuk,B,#CCFFCC bɪt,A
U-Zarmanak 3,#CCFFCC xotɨn,B,#CCFFCC er,D,#CCFFCC ɔna,A,#CCFFCC ɔta,B,#FFFF99 hajvɔn,B,#CCFFCC balɛq,A,#CCFFCC kuʃ,A,#CCFFCC it,A,#CCFFCC bit,A
U-Zarmanak 4,#CCFFCC xɔtɨn,B,#CCFFCC er,D,#CCFFCC ɔna,A,#CCFFCC ota,B,#FFFF99 hajvɔn,B,#CCFFCC balɨq,A,#CCFFCC kuʃ,A,#CCFFCC it,A,#CCFFCC bit,A
T-Agalyk,#99CCFF zan,K,#99CCFF ʃuː,I,#99CCFF mɔdar,D,#99CCFF padar,G,#FFFF99 hajvɔn,B,#99CCFF mɔhi,B,#99CCFF paranda,C,#99CCFF kuʧuk,B,#99CCFF ʃabuʃ,B
T-Kamangaron 1,#99CCFF zan,K,#99CCFF ʃawhar,J,#99CCFF mɔdar,D,#99CCFF padar,G,#FFFF99 hajvɔn,B,#99CCFF mahi,B,#99CCFF parandan,C,#99CCFF sak,E,,
T-Kamangaron 2,#99CCFF zan,K,#99CCFF ʃøː,I,#99CCFF biː,F,#99CCFF dada,H,#FFFF99 hajvɔn,B,#99CCFF mɔhi,B,#99CCFF parənda,C,#99CCFF kuʧuk,B,#99CCFF ʃaβuʃ,B
T-Kamangaron 3,#FFFF99 zajif,C,#99CCFF mard,L,#CCFFCC ɔna,A,#99CCFF dada,H,#FFFF99 hajvɔn,B,#99CCFF mahi,B,#99CCFF murɣ˳,E,#99CCFF kuʧuk,B,,
T-Kamangaron 4,#99CCFF zan,K,#99CCFF mard,L,#99CCFF biː,F,#99CCFF dada,H,#FFFF99 hajvɔn,B,#99CCFF mahi,B,#CCFFCC kuʃ,A,#99CCFF kuʧuk,B,#99CCFF ʃaβuʃ,B
T-Kaptarhona 1,#99CCFF zan,K,#99CCFF ʃuː,I,#99CCFF buβa,F,#99CCFF dada,H,#FFFF99 hajvʊn,B,#99CCFF maji,B,#99CCFF paranda,C,#99CCFF kʧøk,B,,
T-Kaptarhona 2,#99CCFF zan,K,#99CCFF ʃʊw,I,#99CCFF modar,D,#99CCFF padar,G,#FFFF99 hajvʊn,B,#99CCFF mɔhi,B,#99CCFF paranda,C,#99CCFF sak,E,#CCFFCC bit,A
T-Kaptarhona 3,#99CCFF zan,K,#99CCFF ʃuː,I,#99CCFF modar,D,#99CCFF padar,G,#FFFF99 hajwon,B,#99CCFF mahi,B,#CCFFCC kuʃ,A,#99CCFF sag˳,E,,
T-Kaptarhona 4,#99CCFF zan,K,#99CCFF ʃʊː,I,#99CCFF buva,F,#99CCFF padar,G,#FFFF99 hajvɔn,B,#99CCFF mahi,B,#99CCFF paranda,C,#99CCFF sak,E,#99CCFF ʃipəʃ,B
T-Kaptarhona 5,#99CCFF zan,K,#99CCFF ʃuː,I,#99CCFF buwa,F,#99CCFF dada,H,#FFFF99 hajvun,B,#99CCFF mahi,B,#99CCFF paranda,C,#99CCFF kʧok,B,#99CCFF ʃəpʃ,B
T-Navdî 1,#99CCFF zan,K,#99CCFF mard̥,L,#99CCFF ɔʧa,G,#99CCFF padar,G,#FFFF99 hajvɔn,B,#99CCFF mɔhiː,B,#99CCFF paranda,C,#99CCFF sag˳,E,#99CCFF ʃapuʃ,B
T-Navdî 2,#99CCFF zanak,L,#99CCFF ʃawhar,J,#99CCFF ɔʧa,G,#99CCFF padar,G,#FFFF99 hajvɔn,B,#99CCFF mɔhiː,B,#99CCFF paranda,C,#99CCFF sag,E,#99CCFF ʃəpəʃ,B
T-Navdî 3,#99CCFF zan,K,#99CCFF mard,L,#99CCFF mʊdar,D,#99CCFF padar,G,#FFFF99 hajvɔn,B,#99CCFF mɔhiː,B,#99CCFF paranda,C,#99CCFF sag˳,E,,
T-Nimich 1,#99CCFF zan,K,#99CCFF ʃuː,I,#99CCFF mɔdar,D,#99CCFF padar,G,#FFFF99 hajβɔn,B,#99CCFF mahiˑ,B,#99CCFF paranda,C,#99CCFF sag˳,E,,
T-Nimich 2,#99CCFF zan,K,#99CCFF mardina,L,#99CCFF mɔdar,D,#99CCFF padar,G,#FFFF99 hajvɔn,B,#99CCFF mɔhi,B,#99CCFF paranda,C,#99CCFF sag,E,,
T-Nimich 3,#99CCFF zan,K,#99CCFF ʃawhar,J,#99CCFF mɔdar,D,#99CCFF padar,G,#FFFF99 hajvɔn,B,#99CCFF mahi,B,#99CCFF paranda,C,#99CCFF sag˳,E,#99CCFF ʃabuʃk,B
T-Nimich 4,#99CCFF zan,K,#99CCFF mard,L,#99CCFF aʧa,G,#99CCFF avvɔ,F,#FFFF99 hajwɔn,B,#99CCFF mɔhi,B,#99CCFF paranda,C,#99CCFF sag,E,#99CCFF ʃpəʃ,B
T-Novmetan 1,#99CCFF zan,K,#99CCFF ʃʉj,I,#CCFFCC ɔna,A,#99CCFF dada,H,#FFFF99 hajvɔn,B,#99CCFF mahi,B,#99CCFF murəɣ˳,E,#99CCFF kuʧuk,B,,
T-Novmetan 2,#99CCFF zan,K,#99CCFF mard,L,#CCFFCC ɔna,A,#99CCFF dada,H,#99CCFF zindene,H,#99CCFF maji,B,#99CCFF gundiʃk,F,#99CCFF kuʧuk,B,#99CCFF ʃubuʃk,B
T-Nûshor 1,#99CCFF zanak,L,#99CCFF mardak,M,#99CCFF ɔʧa,G,#99CCFF padar,G,#FFFF99 hajβɔn,B,#99CCFF mɔhi,B,#99CCFF mʊrɣ˳,E,#99CCFF sag,E,#99CCFF ʃpəʃ,B
T-Nûshor 2,#99CCFF zan,K,#99CCFF ʃawhar,J,#99CCFF mɔdar,D,#99CCFF padar,G,#FFFF99 hajvɔn,B,#99CCFF mɔhi,B,#99CCFF paranda,C,#99CCFF sag,E,,
T-Nûshor 3,#99CCFF zan,K,#99CCFF ʃʊː,I,#99CCFF aʧa,G,#99CCFF aβɔ,F,#FFFF99 hajvɔn,B,#99CCFF mahi,B,#99CCFF paranda,C,#99CCFF sag˳,E,#99CCFF ʃəpəʃ,B
T-Rishtan 1,#99CCFF zan,K,#99CCFF ʃuː,I,#99CCFF bøvi,F,#99CCFF dødɔ,H,#FFFF99 hajwɔn,B,#99CCFF mahiˑ,B,#99CCFF paranda,C,#99CCFF kuʧik,B,#99CCFF ʃøʃ,C
T-Rishtan 2,#99CCFF zan,K,#99CCFF ʃuː,I,#99CCFF bəvə,F,#99CCFF dɔdɔ,H,#FFFF99 hajβɔn,B,#CCFFCC balək,A,#CCFFCC ʧɪmʧɪk,B,#99CCFF kuʧuk,B,#99CCFF ʃyʃ,C
T-Rishtan 3,#99CCFF zanak,L,#99CCFF ʃuː,I,#99CCFF bøvø,F,#99CCFF dada,H,#FFFF99 hajvɔn,B,#99CCFF mɔhi,B,#99CCFF paranda,C,#99CCFF kuʧuk,B,,
T-Shink 1,#99CCFF zan,K,#99CCFF mard,L,#99CCFF mɔdar,D,#99CCFF padar,G,#FFFF99 hajvɔn,B,#99CCFF mɔhi,B,#99CCFF paranda,C,#99CCFF sag˳,E,#99CCFF sabəsk,B
T-Shink 2,#99CCFF zan,K,#99CCFF mard,L,#99CCFF ɔca,G,#99CCFF dɔdɔ,H,#FFFF99 hajvɔn,B,#99CCFF mɔhɪ,B,#99CCFF paranda,C,#99CCFF sag˳,E,#99CCFF ʃabəʃ,B
T-Shink 3,#99CCFF zan,K,#99CCFF ʃʊj,I,#99CCFF mɔdar,D,#99CCFF padar,G,#FFFF99 hajvɔn,B,#99CCFF mɔhɪ,B,#99CCFF paranda,C,#99CCFF sag˳,E,#99CCFF ʃaβəʃ,B
T-Urmetan 1,#99CCFF zan,K,#99CCFF mardak,M,#99CCFF ɔʧa,G,#99CCFF padar,G,#FFFF99 hajvɔn,B,#99CCFF mɔhɪ,B,#99CCFF paranda,C,#99CCFF kʊʧuk,B,#99CCFF ʃʉbyʃ,B
T-Urmetan 2,#99CCFF zan,K,#99CCFF mardak,K,#99CCFF mɔdar,D,#99CCFF padar,G,#FFFF99 hajvɔn,B,#99CCFF mɔhɪ,B,#99CCFF paranda,C,#99CCFF sag,E,#99CCFF ʃabuʃ,B
T-Urmetan 3,#99CCFF zan,K,#99CCFF mardak,K,#99CCFF mɔdar,D,#99CCFF padar,G,#FFFF99 hajvɔn,B,#99CCFF mɔhi,B,#99CCFF paranda,C,#99CCFF sag˳,E,#99CCFF ʃabyʃ,B
T-Urmetan 4,#99CCFF zan,K,#99CCFF mardak,K,#CCFFCC apa,C,#99CCFF dɔdɔ,H,#FFFF99 hajvɔ̃n,B,#99CCFF mɔhi,B,,,#99CCFF kyʧyk,B,#99CCFF ʃəbyʃ,B
T-Zarmanak 1,#FFFF99 zajif,C,#99CCFF ʃʉj,I,#CCFFCC ɔna,A,#CCFFCC ɔta,B,#FFFF99 hajvɔn,B,#99CCFF mahi,B,#99CCFF paranda,C,#99CCFF kuʧuk,B,#99CCFF ʃubuʃk,B
T-Zarmanak 2,#99CCFF zan,K,#99CCFF ʃʉj,I,#CCFFCC ɔna,A,#CCFFCC ɔta,B,#FFFF99 hajvɔn,B,#99CCFF mahi,B,#CCFFCC ʧumʧuq,B,#99CCFF kuʧuk,B,#99CCFF ʃubuʃk,B
Y-Dugova 1,#99CCFF inʧ,M,#99CCFF vir,N,#99CCFF ɔʧa,G,#99CCFF dɔdɔ,H,#FFFF99 hajvɔn,B,#99CCFF mahiː,B,#99CCFF siʧa,G,#99CCFF kʊt,C,,
Y-Dugova 2,#99CCFF inʧ,M,#99CCFF vir,N,#99CCFF ɔʧa,G,#99CCFF dɔdɔ,H,#FFFF99 hajvɔn,B,#99CCFF mɔhiː,B,#99CCFF siʧa,G,#99CCFF kʊt,C,#99CCFF ʃʊpʊʃ,B
Y-Safedorak 1,#99CCFF inʧ,M,#99CCFF vir,N,#99CCFF ɔʧa,G,#99CCFF dɔdɔ,H,#FFFF99 hajvon,B,#99CCFF mɔhiː,B,#99CCFF siʧa,G,#99CCFF kʊt,C,#99CCFF ʃupuʃ,B
Y-Safedorak 2,#99CCFF inʧ,M,#99CCFF vir,N,#99CCFF ɔʧa,G,#99CCFF dɔdɔ,H,#FFFF99 hajvɔn,B,#99CCFF mɔhiː,B,#99CCFF siʧa,G,#99CCFF kʊt,C,#99CCFF ʃʊpʊʃ,B
Y-Safedorak 3,#99CCFF inʧ,M,#99CCFF vir,N,#99CCFF ɔʧa,G,#99CCFF dɔdɔ,H,#FFFF99 hajvʊn,B,#99CCFF mahiː,B,#99CCFF siʧa,G,#99CCFF kʊt,C,#99CCFF ʃʊpʊʃ,B
