Informant,round,round,sharp,sharp,dull,dull,smooth,smooth,wet,wet,dry,dry,correct,correct,near,near
Ka-Raushan 4,#CCFFCC døŋølʲɛk,B,#CCFFCC wøtkɨr,B,#CCFFCC tɔpɜr,D,#CCFFCC tʲegiz̥,A,#CCFFCC ɨlɣal,D,#CCFFCC qurɣaq,A,#CCFFCC dørøs,A,#CCFFCC ʒaqən,A
Ki-Akmuz 1,#CCFFCC tɔgɔlɔk,B,#CCFFCC ʉtkɨr,B,#CCFFCC mɔqɔq,E,#CCFFCC tegiz̥,A,#CCFFCC nɨm,B,#CCFFCC qurɣaq,A,#CCFFCC tuːra,B,#CCFFCC ʤaqɨn,A
Ki-Akmuz 2,#CCFFCC tegerɛk,B,#CCFFCC qurʧ,C,#CCFFCC øtpøs,B,#CCFFCC tegiz̥,A,#CCFFCC nɨm,B,#CCFFCC qurɣaq,A,#CCFFCC tys,C,#CCFFCC ʤaqɨn,A
Ki-Akmuz 3,#CCFFCC tɔgɔlɔk,B,#CCFFCC qurʧ,C,#CCFFCC mɔqɔq,E,#CCFFCC tegiz̥,A,#CCFFCC nɨm,B,#CCFFCC ɣurɣaq,A,#CCFFCC tuːra,B,#CCFFCC ʤaqɨn,A
Ki-Barskoon,#CCFFCC tegerɛk,B,#CCFFCC qurʧ,C,#CCFFCC mɔqɔq,E,#CCFFCC ʤilma,D,#CCFFCC nɨmduː,E,#CCFFCC qurɣaq,A,#CCFFCC tuːra,B,#CCFFCC ʤaqɨn,A
Ki-Kulanak 1,#CCFFCC tɔgɔlɔq,B,#CCFFCC qurʧ,C,#CCFFCC mɔqɔq,E,#CCFFCC ʤalpaq,E,#CCFFCC suː,F,#CCFFCC qurɣaq,A,#CCFFCC tuːra,B,#CCFFCC ʤaqɨn,A
Ki-Kulanak 2,#CCFFCC tegerɛk,B,#CCFFCC qurʧ,C,#CCFFCC mɔqɔq,E,#CCFFCC ʤilma,D,#CCFFCC suː,F,#CCFFCC qurɣaq,A,#CCFFCC tuːra,B,#CCFFCC ʤaqɨn,A
Ki-Kulanak 3,#CCFFCC tegerɛk,B,#CCFFCC qurʧ,C,#CCFFCC mɔqɔq,E,#CCFFCC tegiz̥,A,#CCFFCC nɨm,B,#CCFFCC qurɣaq,A,#CCFFCC tys,C,#CCFFCC ʤaqɨn,A
Ki-Kulanak 4,#CCFFCC tegerɛk,B,#CCFFCC qurʧ,C,#CCFFCC mɔqɔq,E,#CCFFCC tegiz̥,A,#CCFFCC suː,F,#CCFFCC qurɣaq,A,#CCFFCC tuːra,B,#CCFFCC ʤaqɨn,A
Ki-Kulanak 5,#CCFFCC tegerɛk,B,#CCFFCC qurʧ,C,#CCFFCC mɔqɔq,E,#CCFFCC ʤilma,D,#CCFFCC suː,F,#CCFFCC qurɣaq,A,#CCFFCC tuːra,B,#CCFFCC ʤaqɨn,A
Ki-Orday 1,#CCFFCC tɔgɔlɔk,B,#CCFFCC øtkɨr,B,#CCFFCC øtmøs,B,#CCFFCC tegɪs,A,#CCFFCC høl,G,#CCFFCC kuruk,B,#CCFFCC tuːra,B,#CCFFCC ʒaqɨn,A
Ki-Orday 2,#CCFFCC tʊmalaq,A,#CCFFCC øtkɨr,B,#CCFFCC øtpøs,B,#CCFFCC ʒumʃak,B,#CCFFCC nam,B,#CCFFCC quruq,B,#CCFFCC tuːra,B,#CCFFCC ʤaqɨn,A
Ki-Orday 3,#CCFFCC ajlana,C,#CCFFCC øtkʉr,B,#CCFFCC øtpøs,B,#CCFFCC tʲekɪs,A,#CCFFCC øl,G,#CCFFCC kuruk,B,#CCFFCC tuːrə,B,#CCFFCC ʤaqɨn,A
Ki-Orday 4,,,#CCFFCC øtkɨr,B,,,,,#CCFFCC høl,G,#CCFFCC kuruk,B,#CCFFCC tuːra,B,#CCFFCC ʤaqɨn,A
Ki-Tamga,#CCFFCC tɔgɔlɔk,B,#CCFFCC qurʧ,C,#CCFFCC mɔqɔq,E,#CCFFCC ʤilma,D,#CCFFCC nɨm,B,#CCFFCC qurɣaq,A,#CCFFCC tuːra,B,#CCFFCC ʤaqɨn,A
KK-Halqabad 1,#CCFFCC døŋølʲek,B,#CCFFCC wʉtkɨr,B,#CCFFCC wʉtpɪs,B,#CCFFCC tʲegiz̥,A,#CCFFCC ɨzɣar,H,#CCFFCC qurɣaq,A,#CCFFCC drs,A,#CCFFCC ʒaχən,A
KK-Halqabad 2,#CCFFCC dɔmalaq,A,#CCFFCC wʉtkɨr,B,#CCFFCC wʉtpɪs,B,#CCFFCC tʲegiz̥,A,#CCFFCC ɨɣal,D,#CCFFCC qurɣaq,A,#CCFFCC drs,A,#CCFFCC ʒaχən,A
KK-Halqabad 3,#CCFFCC døŋøløk,B,#CCFFCC wʉtkɨr,B,#CCFFCC wʉtpɪs,B,#CCFFCC tʲegiz̥,A,#CCFFCC ɨzɣar,H,#CCFFCC qurɣaq,A,#CCFFCC tuːrə,B,#CCFFCC ʒaχən,A
KK-Kokdarya 1,#CCFFCC domalaq,A,#CCFFCC wøtkɨr,B,#CCFFCC tɔpɨr,D,#CCFFCC tʲeks,A,#CCFFCC øzɣar,H,#CCFFCC qurɣaq,A,#CCFFCC tuːrə,B,#CCFFCC ʤaqən,A
KK-Kokdarya 2,#CCFFCC dʊmalaq,A,#CCFFCC wøtkɨr,B,#CCFFCC tɔpas,D,#CCFFCC tʲegɪz̥,A,#CCFFCC ɨzɣar,H,#CCFFCC qurɣaq,A,#CCFFCC tørøs,A,#CCFFCC ʒaqən,A
KK-Kokdarya 3,#CCFFCC tʊmalaq,A,#CCFFCC wøtkɨr,B,#CCFFCC wøtmɪs,B,#CCFFCC tʲegiz̥,A,#CCFFCC ɨzɣar,H,#CCFFCC qurɣaq,A,#CCFFCC tørøs,A,#CCFFCC ʒaqən,A
KK-Kokdarya 4,#CCFFCC dʊmalaq,A,#CCFFCC wøtkɨr,B,#CCFFCC wøtpɪs,B,#CCFFCC tʲegiz̥,A,#CCFFCC ɨzɣar,H,#CCFFCC qurɣaq,A,#CCFFCC turɨ,B,#CCFFCC ʒaqən,A
KK-Shege 1,#CCFFCC dʊŋølʲek,B,#CCFFCC wʊtkər,B,#CCFFCC tɔpər,D,#CCFFCC ʒʊmsaq,B,#CCFFCC ʉzɣar,H,#CCFFCC qurɣaq,A,#CCFFCC dʊrʊs,A,#CCFFCC ʒaχən,A
KK-Shege 2,#CCFFCC dʊmalak,A,#CCFFCC wʉtkər,B,#CCFFCC wʊtpɪt,B,#CCFFCC ʒʊmsaq,B,#CCFFCC ʉzɣar,H,#CCFFCC qurɣaq,A,#CCFFCC tuːrə,B,#CCFFCC ʒaχən,A
KK-Shege 3,#CCFFCC døŋølʲøk,B,#CCFFCC wʉtkər,B,#CCFFCC tɔpas,D,#CCFFCC tʲegiz̥,A,#CCFFCC ɨɣal,D,#CCFFCC qurɣaq,A,#CCFFCC drs,A,#CCFFCC ʒ˳aχən,A
KK-Shege 4,#CCFFCC døŋølʲøk,B,#CCFFCC wʉtkər,B,#CCFFCC wʉtpɪs,B,#CCFFCC tʲegɪz̥,A,#CCFFCC ɨɣal,D,#CCFFCC qurɣaq,A,#CCFFCC drs,A,#CCFFCC ʒaχən,A
U-Hitoy 1,#CCFFCC dɔmalaq,A,#CCFFCC wʉtkər,B,#CCFFCC wʉtmes,B,#CCFFCC tʲeks,A,#CCFFCC ɨzɣar,H,#CCFFCC qʊrʊq,B,#CCFFCC tuːrə,B,#CCFFCC ʤaqən,A
U-Hitoy 2,#CCFFCC ajlanʊ,C,#CCFFCC wʉtkər,B,#CCFFCC wʉtmes,B,#CCFFCC tʲeks,A,#CCFFCC ʉzɣar,H,#CCFFCC qurɣaq,A,#CCFFCC dørøs,A,#CCFFCC ʤaqən,A
U-Hitoy 3,#CCFFCC døŋelɛk,B,#CCFFCC wʉtkər,B,#CCFFCC wʉtmes,B,#CCFFCC tʲegiz̥,A,#CCFFCC ʉzɣar,H,#CCFFCC qurɣaq,A,#CCFFCC tuːrɐ,B,#CCFFCC ʤaqən,A
U-Novmetan 3,#CCFFCC ajlana,C,,,,,,,#CCFFCC hʉl,G,#CCFFCC quruq,B,#CCFFCC tʉɣrɪ,B,#CCFFCC jaqin,A
U-Soy Mahalla 1,#CCFFCC tʊmalak,A,#CCFFCC ʉtkɪr,B,#CCFFCC ʉtmas,B,#CCFFCC silləq,F,#CCFFCC hʉl,G,#CCFFCC quruq,B,#CCFFCC tʊɣrɪ,B,#CCFFCC jɒqɪn,A
U-Soy Mahalla 2,#CCFFCC tʊmalɔq,A,#CCFFCC ʉtkɨr,B,#CCFFCC ʉtmas,B,#CCFFCC tiks,A,#CCFFCC høl,G,#CCFFCC quruq,B,#CCFFCC tuɣrɨ,B,#CCFFCC jɒqən,A
U-Soy Mahalla 3,#CCFFCC tʊmalaq,A,#CCFFCC ʉtkɪr,B,#CCFFCC ʉtmas,B,,,#CCFFCC høl,G,#CCFFCC quruq,B,#CCFFCC tuɣrə,B,#CCFFCC jaqən,A
U-Urtoqqishloq 1,#CCFFCC ajlana,C,#CCFFCC ʉtkɪr,B,#CCFFCC ʉtmas,B,#CCFFCC tekɪs,A,#CCFFCC hʉł,G,#CCFFCC qʊrʊq,B,#CCFFCC tɔɣrə,B,#CCFFCC jaqən,A
U-Urtoqqishloq 2,#CCFFCC ajlana,C,#CCFFCC wʉtkʊr,B,#CCFFCC wʉtmas,B,#CCFFCC sillɜq,F,#CCFFCC hʉł,G,#CCFFCC qʊrʊq,B,#CCFFCC tɔɣrə,B,#CCFFCC jaqən,A
U-Urtoqqishloq 3,#CCFFCC ajlana,C,#CCFFCC ʉtkər,B,#CCFFCC wʉtmas,B,#CCFFCC sillɜq,F,#CCFFCC hʉł,G,#CCFFCC qʊrʊq,B,#CCFFCC tɔɣrə,B,#CCFFCC jaqən,A
U-Urtoqqishloq 4,#CCFFCC ajlana,C,#CCFFCC ʉtkər,B,#CCFFCC wʉtmas,B,#CCFFCC sillɜq,F,#CCFFCC hʉł,G,#CCFFCC qʊrʊq,B,#CCFFCC tɔɣrɪ,B,#CCFFCC jaqɪn,A
U-Zarmanak 3,#CCFFCC dumaloχ,A,#99CCFF tʲɪz,D,#99CCFF kund̥,F,#CCFFCC silləq,F,#CCFFCC nam,B,#CCFFCC quruq,B,#CCFFCC tʉɣri,B,#CCFFCC jaqin,A
U-Zarmanak 4,#CCFFCC ajlana,C,#CCFFCC ʉtkir,B,#CCFFCC ʉtmas,B,#CCFFCC silləq,F,#CCFFCC hʉl,G,#CCFFCC quruq,B,#CCFFCC tʉɣrə,B,#CCFFCC jaqɪn,A
T-Agalyk,#99CCFF lʉnda,F,#99CCFF tʲez,I,#99CCFF kund,F,#99CCFF sʉfta,R,#99CCFF tar,N,#99CCFF xʉʃk,D,#99CCFF rɔst,H,#99CCFF nazdik,F
T-Kamangaron 1,#99CCFF lynda,F,#99CCFF tʲes,I,#99CCFF nɔtʲes,L,#CCFFCC siłłɪq,F,#99CCFF tar,N,#99CCFF xuʃk,D,#99CCFF rɔst,H,#99CCFF nazdik,F
T-Kamangaron 2,#99CCFF lønda,F,#99CCFF tez̥,I,#99CCFF kund̥,F,#CCFFCC silliq,F,#99CCFF tar,N,#99CCFF xyʃk,D,#CCFFCC tøɣri,B,#99CCFF nazdik,F
T-Kamangaron 3,,,#99CCFF tes,I,#99CCFF kund,F,,,#99CCFF tar,N,#99CCFF xyʃk,D,#CCFFCC tuɣri,B,#99CCFF nazdik,F
T-Kamangaron 4,#99CCFF lønda,F,,,,,,,#99CCFF tar,N,#99CCFF xuʃk,D,#99CCFF rɔst,H,#99CCFF nazdik,F
T-Kaptarhona 1,#99CCFF kulula,G,#99CCFF tez,I,#99CCFF kønd̥,F,#CCFFCC tɛkkəz,A,#99CCFF tar,N,#99CCFF qɔq,E,#CCFFCC tʊɣri,B,#FFFF99 qarib̥,G
T-Kaptarhona 2,#99CCFF dojra,H,#99CCFF tez,I,#99CCFF kund,F,#CCFFCC silləq,F,#99CCFF tar,N,#99CCFF qɔq,E,#CCFFCC tuɣri,B,#FFFF99 qarib̥,G
T-Kaptarhona 3,#99CCFF kəlula,G,#99CCFF tez,I,#99CCFF khʊnd,F,#CCFFCC tikkəz̥,A,#99CCFF tar,N,#99CCFF qɔq,E,#CCFFCC tuɣri,B,,
T-Kaptarhona 4,#99CCFF kulula,G,#99CCFF tez,I,#99CCFF kønd,F,#CCFFCC tɛks,A,#99CCFF tar,N,#99CCFF qɔq,E,#CCFFCC tuɣri,B,#FFFF99 qarib̥,G
T-Kaptarhona 5,#99CCFF kulula,G,#99CCFF tez̥,I,#99CCFF kn̩d,F,#CCFFCC tɛkkəz̥,A,#99CCFF tar,N,#99CCFF qɔq,E,#CCFFCC tuɣri,B,#FFFF99 qarib̥,G
T-Navdî 1,#99CCFF gird̥,I,#99CCFF tez,I,#99CCFF kund̥,F,#99CCFF rʒ ̩d,S,#99CCFF tar,N,#99CCFF qɔq,E,#CCFFCC durust,A,#FFFF99 qarib̥,G
T-Navdî 2,#99CCFF gird,I,#99CCFF tez,I,#99CCFF kundala,F,#99CCFF rʒ ̩d,S,#99CCFF tar,N,#99CCFF qɔq,E,#99CCFF rɔst,H,#FFFF99 qarib̥,G
T-Navdî 3,#99CCFF gird,I,#99CCFF tez,I,#99CCFF kund,F,#99CCFF rʒ ̩d,S,#99CCFF tar,N,#99CCFF qɔq,E,#99CCFF rɔst,H,#FFFF99 qarib̥,G
T-Nimich 1,#99CCFF gird,I,#99CCFF tez,I,#99CCFF kund̥,F,#99CCFF rʒ ̩d,S,#99CCFF tar,N,#99CCFF qɔq,E,#99CCFF rɔst,H,#FFFF99 qarib̥,G
T-Nimich 2,#99CCFF gird,I,#99CCFF tez,I,#99CCFF kund,F,#99CCFF rʊʒd,S,#99CCFF tar,N,#99CCFF qɔq,E,#99CCFF rɔst,H,#99CCFF nazdik,F
T-Nimich 3,#99CCFF gird,I,#99CCFF tez,I,#99CCFF kʊnd̥,F,#99CCFF rʒ ̩d,S,#99CCFF tar,N,#99CCFF qɔq,E,#99CCFF rɔst,H,#FFFF99 qarib̥,G
T-Nimich 4,#99CCFF gr̩d,I,#99CCFF tez,I,#99CCFF kʉnd,F,#99CCFF rʒ ̩d,S,#99CCFF tar,N,#99CCFF qɔq,E,#99CCFF rɔst,H,#FFFF99 qarip,G
T-Novmetan 1,#99CCFF gɨrda,I,#99CCFF tʲɪz̥,I,#99CCFF kund̥,F,,,#99CCFF tar,N,#99CCFF xuʃk,D,#CCFFCC tʉɣri,B,#99CCFF nazik,F
T-Novmetan 2,#99CCFF girda,I,#99CCFF tʲez̥,I,#99CCFF kund̥,F,#CCFFCC tiks,A,#99CCFF tar,N,#99CCFF xuʃk,D,#CCFFCC tuɣri,B,#99CCFF nazik,F
T-Nûshor 1,#99CCFF gird,I,#99CCFF tez,I,#99CCFF kʊnd,F,,,#99CCFF tar,N,#99CCFF qɔq,E,#99CCFF rɔst,H,#99CCFF nazdik,F
T-Nûshor 2,#99CCFF gird,I,#99CCFF tez,I,#99CCFF kʊnd,F,#99CCFF rɪʒd,S,#99CCFF tar,N,#99CCFF qɔq,E,#CCFFCC tʊɣri,B,#99CCFF nazdik,F
T-Nûshor 3,#99CCFF gr̩d,I,#99CCFF tez,I,#99CCFF kənd,F,#99CCFF rʒ ̩d,S,#99CCFF tar,N,#99CCFF qɔq,E,#CCFFCC tʊɣri,B,#FFFF99 qarib̥,G
T-Rishtan 1,#99CCFF kulula,G,#99CCFF tʲez̥,I,#99CCFF kund̥,F,#CCFFCC tikkiz̥,A,#99CCFF thar,N,#99CCFF xuʃk,D,#CCFFCC tuɣrə,B,#99CCFF nazdik,F
T-Rishtan 2,#99CCFF klula,G,#99CCFF tez̥,I,#99CCFF kund,F,#CCFFCC tekkiz̥,A,#99CCFF tar,N,#99CCFF xuʃk,D,#CCFFCC tuɣrə,B,#99CCFF nazdik,F
T-Rishtan 3,#99CCFF kylylə,G,#99CCFF tʲez̥,I,#99CCFF kynd̥,F,#CCFFCC sɪłłəq,F,#CCFFCC naˑm,B,#99CCFF xʊʃk,D,#CCFFCC tuɣrə,B,#99CCFF nazdik,F
T-Shink 1,#99CCFF lʉnda,F,#99CCFF tɪz̥,I,#99CCFF kʉnd̥,F,#99CCFF hamvɔr,T,#99CCFF tar,N,#99CCFF xəʃk,D,#CCFFCC tɔɣrɪ,B,#99CCFF nazdɪk,F
T-Shink 2,#99CCFF kulula,G,#99CCFF tez,I,#99CCFF kʉnd̥,F,#99CCFF hamvɔr,T,#99CCFF tar,N,#99CCFF xəʃk,D,#CCFFCC tʊɣri,B,#99CCFF nazdɪk,F
T-Shink 3,#99CCFF lʉnda,F,#99CCFF tez,I,#99CCFF kʉnd̥,F,#99CCFF hamvɔr,T,#99CCFF tar,N,#99CCFF xʉʃk,D,#CCFFCC tʊɣri,B,#99CCFF nazdɪk,F
T-Urmetan 1,#99CCFF davra,J,#99CCFF tɪz,I,#99CCFF kʊnd̥,F,#CCFFCC sillɛq,F,#99CCFF tar,N,#99CCFF xʊʃk,D,#CCFFCC tʊɣri,B,#99CCFF nazdɪk,F
T-Urmetan 2,#99CCFF gird,I,#99CCFF tʲɪz,I,#99CCFF kʉnd̥,F,#99CCFF hamvɔr,T,#99CCFF tar,N,#99CCFF xʉʃk,D,#CCFFCC tʊɣri,B,#99CCFF nazdɪk,F
T-Urmetan 3,#99CCFF daβra,J,#99CCFF tɪz,I,#99CCFF kʉnd̥,F,#99CCFF hamvɔr,T,#99CCFF tar,N,#99CCFF xʉʃk,D,#CCFFCC dyryst,A,#99CCFF nazdɪk,F
T-Urmetan 4,#99CCFF lʉnda,F,#99CCFF tɪz̥,I,#99CCFF kʉnd̥,F,#99CCFF hamvɔr,T,#99CCFF tar,N,#99CCFF xʉʃk,D,#99CCFF rɔst,H,#99CCFF nazdɪk,F
T-Zarmanak 1,#99CCFF girda,I,#99CCFF tez,I,#99CCFF kund̥,F,,,#99CCFF tar,N,#99CCFF xuʃk,D,#CCFFCC tʉɣri,B,#99CCFF nazik,F
T-Zarmanak 2,#99CCFF girda,I,#99CCFF tez̥,I,#99CCFF kund̥,F,#CCFFCC silləq,F,#99CCFF tar,N,#99CCFF xuʃk,D,#CCFFCC tʉɣri,B,#99CCFF nazik,F
Y-Dugova 1,#99CCFF gird,I,#99CCFF tez,I,#99CCFF kʊnt,F,#99CCFF hamvɔr,T,#99CCFF tan,O,#99CCFF qɔq,E,#CCFFCC tuɣri,B,#99CCFF nazdik,F
Y-Dugova 2,#99CCFF girdak,I,#99CCFF tez,I,#99CCFF kunt,F,#99CCFF havɔrak,T,#99CCFF tan,O,#99CCFF qɔq,E,#99CCFF razg,I,#99CCFF nazdik,F
Y-Safedorak 1,#99CCFF lunda,F,#99CCFF tʲez̥,I,#99CCFF kʊnd,F,#99CCFF hamvɔr,T,#99CCFF tan,O,#99CCFF qɔq,E,#99CCFF razg,I,#99CCFF nazdik,F
Y-Safedorak 2,#99CCFF gird,I,#99CCFF tez,I,#99CCFF kʊnt,F,#99CCFF hamvɔr,T,#99CCFF tan,O,#99CCFF qɔq,E,#99CCFF razg,I,#99CCFF nazdik,F
Y-Safedorak 3,,,,,,,,,,,,,,,,
