Informant,leaf,leaf,root,root,bark,bark,flower,flower,grass,grass,rope,rope,skin,skin,meat,meat
Ka-Raushan 4,#CCFFCC ʒaprak,A,#CCFFCC tamɜr,A,#CCFFCC qaβɨq,A,#99CCFF gʊl,A,#CCFFCC ʃɔp,A,#CCFFCC ʒip,A,#CCFFCC tʲerɛ,A,#CCFFCC jet,A
Ki-Akmuz 1,#CCFFCC ʤalbɨrak,A,#CCFFCC butaq,B,#CCFFCC qaβɨq,A,#99CCFF gyl,A,#CCFFCC ʧøp,A,#CCFFCC ʤip,A,#CCFFCC tere,A,#CCFFCC et,A
Ki-Akmuz 2,#CCFFCC ʤalbɨrak,A,#CCFFCC tɒmɨr,A,#CCFFCC butaq,D,#99CCFF gyl,A,#CCFFCC ʧøp,A,#CCFFCC arqan,B,#CCFFCC terɪ,A,#CCFFCC etʲ,A
Ki-Akmuz 3,#CCFFCC ʤalbɨraq,A,#CCFFCC tɒmɨr,A,#CCFFCC qaβɨq,A,#99CCFF g˳yl,A,#CCFFCC ʧøp,A,#CCFFCC arqan,B,#CCFFCC terɪ,A,#CCFFCC jet,A
Ki-Barskoon,#CCFFCC ʤalbɨraq,A,#CCFFCC tamɨr,A,#CCFFCC qaβʊq,A,#99CCFF g˳ʉl,A,#CCFFCC ʧøp,A,#CCFFCC ʤip,A,#CCFFCC tʲerɪ,A,#CCFFCC et,A
Ki-Kulanak 1,#CCFFCC ʤalbɨraq,A,#CCFFCC tamɨr,A,#CCFFCC qaβɨq,A,#99CCFF gyl,A,#CCFFCC ʧøp,A,#CCFFCC ʤip,A,#CCFFCC tʲerɪ,A,#CCFFCC jet,A
Ki-Kulanak 2,#CCFFCC ʤalbɨrak,A,#CCFFCC tɒmɨr,A,#CCFFCC qaβɨq,A,#99CCFF gʊl,A,#CCFFCC ʧøp,A,#CCFFCC ʤip,A,#CCFFCC terʲe,A,#CCFFCC jɪt,A
Ki-Kulanak 3,#CCFFCC ʤalbɨrak,A,#CCFFCC tɒmɨr,A,#CCFFCC qaβɨq,A,#99CCFF gyl,A,#CCFFCC ʧøp,A,#CCFFCC ʤip,A,#CCFFCC terɪ,A,#CCFFCC jet,A
Ki-Kulanak 4,#CCFFCC ʤalbɨraq,A,#CCFFCC tɒmɨr,A,#CCFFCC qaβɨq,A,#99CCFF g˳yl,A,#CCFFCC ʧøp,A,#CCFFCC ʤip,A,#CCFFCC terɪ,A,#CCFFCC jet,A
Ki-Kulanak 5,#CCFFCC ʤalbɨrak,A,#CCFFCC tamɨr,A,#CCFFCC qaβɨq,A,#99CCFF gyl,A,#CCFFCC ʧøp,A,#CCFFCC ʤip,A,#CCFFCC terɪ,A,#CCFFCC etʲ,A
Ki-Orday 1,#CCFFCC ʒapɨrak,A,#CCFFCC tamɨr,A,#99CCFF pustlɔq,B,#99CCFF gyl,A,#CCFFCC ʧøp,A,#CCFFCC ʤip,A,#CCFFCC tʲere,A,#CCFFCC et,A
Ki-Orday 2,#99CCFF barg˳,B,#CCFFCC tamər,A,#CCFFCC qɒβɔq,A,#99CCFF gyl,A,#CCFFCC wɔt,B,#CCFFCC ʤip,A,#CCFFCC tʲere,A,#CCFFCC et,A
Ki-Orday 3,#CCFFCC ʤaprak,A,,,#CCFFCC qabɨq,A,#99CCFF gyl,A,#CCFFCC ʧøp,A,#CCFFCC ʤip,A,#CCFFCC tʲere,A,#CCFFCC et,A
Ki-Orday 4,#99CCFF barak,B,#CCFFCC tamər,A,#99CCFF pʊstlɔq,B,#99CCFF gyl,A,#CCFFCC ʧøp,A,#CCFFCC ʤip,A,#CCFFCC tʲere,A,#CCFFCC et,A
Ki-Tamga,#CCFFCC ʤalbɨrak,A,#CCFFCC tɒmɨr,A,#CCFFCC qaβɨq,A,#99CCFF kʊl,A,#CCFFCC ʧøp,A,#CCFFCC ʤip,A,,,#CCFFCC et,A
KK-Halqabad 1,#CCFFCC ʒaprak,A,#CCFFCC tɒmɜr,A,#CCFFCC qaβɨq,A,#99CCFF gʉl,A,#CCFFCC ʃøp,A,#CCFFCC ʒip,A,#CCFFCC tʲere,A,#99CCFF gʉʃ,B
KK-Halqabad 2,#CCFFCC ʒaprak,A,#CCFFCC tøbør,A,#CCFFCC qaβɨq,A,#99CCFF gʉl,A,#CCFFCC ʃøp,A,#CCFFCC arχan,B,#CCFFCC tʲere,A,#99CCFF gʉʃ,B
KK-Halqabad 3,#CCFFCC ʒaprak,A,#CCFFCC tamɜr,A,#CCFFCC qabɨq,A,#99CCFF gʉl,A,#CCFFCC ʃøp,A,#CCFFCC ʒip,A,#CCFFCC tʲere,A,#99CCFF gʉʃ,B
KK-Kokdarya 1,#CCFFCC ʤaprak,A,#CCFFCC tamɜr,A,#CCFFCC qaβʊq,A,#99CCFF gył,A,#CCFFCC wɔtən,B,#CCFFCC ʤip,A,#CCFFCC tʲere,A,#99CCFF gøʃ,B
KK-Kokdarya 2,#CCFFCC ʒapərak,A,#CCFFCC tøbør,A,#CCFFCC qabɨq,A,#99CCFF gʊł,A,#CCFFCC ʃøp,A,#CCFFCC ʒip,A,#CCFFCC tʲere,A,#99CCFF gʊʃ,B
KK-Kokdarya 3,#CCFFCC ʒaprak,A,#CCFFCC tamɜr,A,#CCFFCC qaβɨq,A,#99CCFF gʊl,A,#CCFFCC wɔt,B,#CCFFCC ʒip,A,#CCFFCC tʲere,A,#99CCFF gʊʃ,B
KK-Kokdarya 4,#CCFFCC ʒaprak,A,#CCFFCC tamɜr,A,#CCFFCC qabɨq,A,#99CCFF gʊl,A,#CCFFCC ʃøp,A,#CCFFCC ʒip,A,#CCFFCC tʲere,A,#99CCFF gʉʃ,B
KK-Shege 1,#CCFFCC ʒaprak,A,#CCFFCC tamɜr,A,#CCFFCC qaβɨq,A,#99CCFF gʉl,A,#CCFFCC ʃøp,A,#CCFFCC ʒip,A,#CCFFCC tʲere,A,#99CCFF gʉʃ,B
KK-Shege 2,#CCFFCC ʒaprak,A,#CCFFCC tøbør,A,#CCFFCC qaβɨq,A,#99CCFF gʉl,A,#CCFFCC ʃøp,A,#CCFFCC ʒip,A,#CCFFCC tʲere,A,#99CCFF gʉʃ,B
KK-Shege 3,#CCFFCC ʒaprak,A,#CCFFCC tøbør,A,#CCFFCC qaβɨq,A,#99CCFF gʉl,A,#CCFFCC ʃøp,A,#CCFFCC ʒip,A,#CCFFCC tʲere,A,#99CCFF gʉʃ,B
KK-Shege 4,#CCFFCC ʒaprak,A,#CCFFCC tamɜr,A,#CCFFCC qaβɨq,A,#99CCFF gʉl,A,#CCFFCC ʃøp,A,#CCFFCC arχan,B,#CCFFCC tʲere,A,#99CCFF gʉʃ,B
U-Hitoy 1,#CCFFCC ʤaprak,A,#CCFFCC tamɜr,A,#CCFFCC qaβɨq,A,#99CCFF gʊl,A,#CCFFCC wɔt,B,#CCFFCC ʤip,A,#CCFFCC tʲere,A,#99CCFF gʉʃ,B
U-Hitoy 2,#CCFFCC ʤaparak,A,#CCFFCC tamɜr,A,#CCFFCC qabɨq,A,#99CCFF gʉl,A,#CCFFCC ʧøp,A,#CCFFCC ʤip,A,#CCFFCC tʲere,A,#99CCFF gʉʃ,B
U-Hitoy 3,#CCFFCC ʤaprak,A,#CCFFCC tamɜr,A,#CCFFCC qaβɨq,A,#99CCFF gʉl,A,#CCFFCC ʃøp,A,#CCFFCC ʒip,A,#CCFFCC tʲere,A,#99CCFF gʉʃ,B
U-Novmetan 3,#99CCFF barg˳,B,#99CCFF reʃa,C,#99CCFF pʉstlɔq,B,#99CCFF gul,A,#CCFFCC ʉt,B,#CCFFCC arqɔn,B,#99CCFF pʉst,B,#99CCFF gʉʃt,B
U-Soy Mahalla 1,#99CCFF barg˳,B,#CCFFCC tamər,A,#CCFFCC qɔbəq,A,#99CCFF gyl,A,#CCFFCC køkat,C,#CCFFCC arqɒn,B,#CCFFCC tere,A,#99CCFF gʉʃt,B
U-Soy Mahalla 2,#99CCFF bark,B,#CCFFCC tamɜr,A,#99CCFF pʊstlɒq,B,#99CCFF gyl,A,#CCFFCC køkat,C,#CCFFCC arqɔn,B,#CCFFCC tʲerə,A,#99CCFF gʉʃt,B
U-Soy Mahalla 3,#99CCFF bak,B,#CCFFCC tɔmɜr,A,,,#99CCFF gyl,A,#CCFFCC ɔt,B,#CCFFCC ip,A,#CCFFCC terə,A,#99CCFF gøʃ,B
U-Urtoqqishloq 1,#99CCFF barg,B,#CCFFCC ildɪz̥,D,#99CCFF pustlɔq,B,#99CCFF gʉl,A,#CCFFCC wɔt,B,#CCFFCC arqɔn,B,#CCFFCC tere,A,#99CCFF gwʉʃt,B
U-Urtoqqishloq 2,#99CCFF barg,B,#CCFFCC tɒmər,A,#99CCFF pust,C,#99CCFF gʉł,A,#CCFFCC wɔt,B,#CCFFCC ɪp,A,#CCFFCC tʲerʲe,A,#99CCFF gwʉʃt,B
U-Urtoqqishloq 3,#99CCFF barg˳,B,#CCFFCC ɨldɨz̥,D,#99CCFF pʊst,C,#99CCFF gʊl,A,#CCFFCC wɔt,B,#CCFFCC arqɔn,B,#CCFFCC tere,A,#99CCFF gʉʃt,B
U-Urtoqqishloq 4,#99CCFF barg˳,B,#CCFFCC tɔmər,A,#CCFFCC qabɜq,A,#99CCFF gʉl,A,#CCFFCC wɔt,B,#CCFFCC ɪp,A,#CCFFCC tere,A,#99CCFF gʉʃt,B
U-Zarmanak 3,#99CCFF barg,B,#CCFFCC ildiz̥,D,#99CCFF pustlɔq,B,#99CCFF gʊl,A,#CCFFCC wʉt,B,#CCFFCC ip,A,#99CCFF pʉst,B,#99CCFF gʉʃt,B
U-Zarmanak 4,#99CCFF barg,B,#CCFFCC ildɨs,D,#99CCFF pʉstlɔq,B,#99CCFF gul,A,#CCFFCC ʉt,B,#CCFFCC ip,A,#CCFFCC tɪrə,A,#99CCFF gʉʃt,B
T-Agalyk,#99CCFF barg,B,#99CCFF rʲeʃa,C,#99CCFF pustlɔq,B,#99CCFF gʊl,A,#99CCFF sabza,G,#99CCFF resmɔn,G,#99CCFF pust,B,#99CCFF guʃt,B
T-Kamangaron 1,#99CCFF barg˳,B,#99CCFF rʲeʃa,C,#99CCFF pøst,C,#99CCFF gul,A,#99CCFF alaf,H,#99CCFF respɔ̃n,G,#99CCFF pøst,B,#99CCFF gøʃt,B
T-Kamangaron 2,#99CCFF barg˳,B,#99CCFF rʲeʃa,C,#99CCFF pøstlɒq,B,#99CCFF gyl,A,#99CCFF alaf,H,#99CCFF arɣamʧin,H,#99CCFF pøst,B,#99CCFF gøʃt,B
T-Kamangaron 3,#99CCFF barg˳,B,#99CCFF rʲeʃa,C,,,#99CCFF kul,A,#CCFFCC ʧøp,A,#99CCFF rʲespɔ̃n,G,#99CCFF pøst,B,#99CCFF gøʃt,B
T-Kamangaron 4,#99CCFF b̥arg˳,B,#99CCFF rʲeʃa,C,#99CCFF pøstlɔq,B,#99CCFF gul,A,#99CCFF alaf,H,#99CCFF arɣamʧin,H,#99CCFF pøst,B,#99CCFF gøʃt,B
T-Kaptarhona 1,#99CCFF bark,B,#CCFFCC tɔmər,A,#99CCFF puslɒq,B,#99CCFF gøl,A,#99CCFF alaf,H,#99CCFF band,I,#99CCFF pust,B,#99CCFF guʃt,B
T-Kaptarhona 2,#99CCFF bark,B,#CCFFCC tɒmər,A,#99CCFF puslɔq,B,#99CCFF gyl,A,#99CCFF alaf,H,#99CCFF band,I,#99CCFF pust,B,#99CCFF guʃt,B
T-Kaptarhona 3,#99CCFF barg,B,,,,,#99CCFF gul,A,#99CCFF alaf,H,#99CCFF band,I,#99CCFF pust,B,#99CCFF guʃt,B
T-Kaptarhona 4,#99CCFF bark,B,#CCFFCC tɔmər,A,#99CCFF pustlɒq,B,#99CCFF gøl,A,#99CCFF alaf,H,#99CCFF band,I,#99CCFF pust,B,#99CCFF guʃt,B
T-Kaptarhona 5,#99CCFF bark,B,#99CCFF reʃa,C,#99CCFF pustlɒq,B,#99CCFF gul,A,#99CCFF alaf,H,#99CCFF band,I,#99CCFF pust,B,#99CCFF guʃt,B
T-Navdî 1,#99CCFF barg˳,B,#99CCFF reʃa,B,#99CCFF pust,C,#99CCFF gul,A,#99CCFF alaf,H,#99CCFF band,I,#99CCFF pust,B,#99CCFF gʊʃt,B
T-Navdî 2,#99CCFF barg˳,B,#99CCFF reʃa,B,#99CCFF pustlɔq,B,#99CCFF gul,A,#99CCFF alaf,H,#99CCFF band,I,#99CCFF pust,B,#99CCFF guʃt,B
T-Navdî 3,#99CCFF barg˳,B,#99CCFF reʃa,B,#99CCFF pustlɔq,B,#99CCFF gul,A,#99CCFF alaf,H,#99CCFF band,I,#99CCFF pust,B,#99CCFF gʊʃt,B
T-Nimich 1,#99CCFF barg,B,#99CCFF reʃa,B,#99CCFF pust,C,#99CCFF gul,A,#99CCFF alaf,H,#99CCFF band,I,#99CCFF pust,B,#99CCFF gʊʃt,B
T-Nimich 2,#99CCFF barg,B,#99CCFF reʃa,B,#99CCFF pust,C,#99CCFF guł,A,#99CCFF alaf,H,#99CCFF band,I,#99CCFF pust,B,#99CCFF guʃt,B
T-Nimich 3,#99CCFF barg,B,#99CCFF reʃa,B,#99CCFF pust,C,#99CCFF gł̩,A,#99CCFF alaf,H,#99CCFF band,I,#99CCFF pust,B,#99CCFF guʃt,B
T-Nimich 4,,,#99CCFF reʃa,B,#99CCFF pustlɔq,B,#99CCFF gl̩,A,#99CCFF alaf,H,#99CCFF band,I,#99CCFF pust,B,#99CCFF guʃt,B
T-Novmetan 1,#99CCFF barg˳,B,#CCFFCC ildiz̥,D,#99CCFF pʉstlɔq,B,#99CCFF gul,A,#99CCFF alaf,H,#99CCFF rʲespɔ̃,G,#99CCFF ʧarm,D,#99CCFF gʉʃt,B
T-Novmetan 2,#99CCFF barg,B,#99CCFF rʲeʃa,B,#99CCFF pʉstlɔq,B,#99CCFF gul,A,#99CCFF alaf,H,,,#99CCFF pʉst,B,#99CCFF gʉʃt,B
T-Nûshor 1,#99CCFF barg,B,#99CCFF reʃa,B,#99CCFF pustlɔq,B,#99CCFF gl̩,A,#99CCFF alaf,H,#99CCFF band,I,#99CCFF pust,B,#99CCFF guʃt,B
T-Nûshor 2,#99CCFF barg,B,#99CCFF reʃa,B,#99CCFF pust,C,#99CCFF gʊl,A,#99CCFF alaf,H,#99CCFF band,J,#99CCFF pust,B,#99CCFF guʃt,B
T-Nûshor 3,,,#99CCFF reʃa,B,#99CCFF pust,C,#99CCFF gl̩,A,#99CCFF alaf,H,#99CCFF band,I,#99CCFF pust,B,#99CCFF guʃt,B
T-Rishtan 1,#99CCFF barg˳,B,#99CCFF reʃa,B,#99CCFF pustlɔq,B,#99CCFF gyl,A,#99CCFF alaf,H,#99CCFF arɣamʧin,H,#99CCFF pust,B,#99CCFF guːʃt,B
T-Rishtan 2,#99CCFF barg,B,#99CCFF reʃa,B,#99CCFF pustlɔq,B,#99CCFF gyl,A,#99CCFF alaf,H,#99CCFF arɣamʧin,H,#99CCFF pust,B,#99CCFF guʃt,B
T-Rishtan 3,#99CCFF barg˳,B,#99CCFF rʲeʃa,B,#99CCFF pustlɔq,B,#99CCFF gyl̥,A,#99CCFF alaf,H,#99CCFF arɣamʧin,H,#99CCFF pust,B,#99CCFF guːʃt,B
T-Shink 1,#99CCFF barg˳,B,#99CCFF reʃa,B,#99CCFF pʊst,C,#99CCFF gʉl,A,#99CCFF alaf,H,#99CCFF respɔn,G,#99CCFF pʊst,B,#99CCFF gʊʃt,B
T-Shink 2,#99CCFF barg˳,B,#99CCFF reʃa,B,#99CCFF pust,C,#99CCFF gʉl,A,#99CCFF alaf,H,#99CCFF resmɔn,G,#99CCFF pʊʃt,B,#99CCFF gʊʃt,B
T-Shink 3,#99CCFF barg˳,B,#99CCFF reʃa,B,#99CCFF pʊstlɔq,B,#99CCFF gʉl,A,#99CCFF alaf,H,#99CCFF resmɔn,G,#99CCFF pʊst,B,#99CCFF guʃt,B
T-Urmetan 1,#99CCFF barg˳,B,#99CCFF reʃa,B,#99CCFF pust,C,#99CCFF gʊl,A,#99CCFF alaf,H,#99CCFF arɣamʧin,H,#99CCFF pʊst,B,#99CCFF guʃt,B
T-Urmetan 2,,,,,#99CCFF pust,C,#99CCFF gʊl,A,#99CCFF alaf,H,#99CCFF resmɔn,G,#99CCFF pʊst,B,#99CCFF guʃt,B
T-Urmetan 3,#99CCFF barg˳,B,#99CCFF reʃa,B,#99CCFF pust,C,#99CCFF gl̩,A,#99CCFF alaf,H,#99CCFF rɪʃta,J,#99CCFF pʊst,B,#99CCFF guʃt,B
T-Urmetan 4,,,#99CCFF reʃa,B,#99CCFF puslɔq,B,#99CCFF gl̩,A,#99CCFF alaf,H,#99CCFF respɔn,G,#99CCFF pʊʃt,B,#99CCFF guʃt,B
T-Zarmanak 1,#99CCFF barɣ,B,#99CCFF reʃa,B,#99CCFF pʉstlɔq,B,#99CCFF gul,A,#99CCFF alaf,H,#99CCFF rɛspɔn,G,#99CCFF pʉst,B,#99CCFF gʉʃt,B
T-Zarmanak 2,#99CCFF barg˳,B,#CCFFCC ildɨz̥,D,#99CCFF pʉst,C,#99CCFF gul,A,#99CCFF alaf,H,#99CCFF respɔn,G,#99CCFF pʉst,B,#99CCFF gʉʃt,B
Y-Dugova 1,#99CCFF barg,B,#99CCFF rɪʃa,B,#99CCFF pʊst,C,#99CCFF gul,A,#99CCFF vajʃ,I,#99CCFF vita,K,#99CCFF pust,B,#CCFFCC jota,A
Y-Dugova 2,#99CCFF barg,B,#99CCFF rɪʃa,B,#99CCFF pʊst,C,#99CCFF gul,A,#99CCFF veʃ,I,#99CCFF vita,K,#99CCFF ʧarm,D,#CCFFCC jɔta,A
Y-Safedorak 1,#99CCFF barg,B,#99CCFF rɪʃa,B,#99CCFF pust,C,#99CCFF gul,A,#99CCFF veʃ,I,#99CCFF vita,K,#99CCFF pust,B,#CCFFCC jɔta,A
Y-Safedorak 2,#99CCFF barg,B,#99CCFF rɪʃa,B,#99CCFF pʊst,C,#99CCFF gul,A,#99CCFF vajʃ,I,#99CCFF vita,K,#99CCFF pust,B,#CCFFCC jɔta,A
Y-Safedorak 3,#99CCFF barg,B,#99CCFF iʧin,H,#99CCFF pʊst,C,#99CCFF gul,A,#99CCFF vajʃ,I,#99CCFF vita,K,#99CCFF pust,B,#CCFFCC jɔta,A
