Informant,star,star,water,water,rain,rain,river,river,lake,lake,sea,sea,salt,salt,stone,stone,sand,sand
Ka-Raushan 4,#CCFFCC ʒʉldɨz̥,A,#CCFFCC sʊː,A,#CCFFCC ʒaŋbɨr,A,#CCFFCC wøzʲɛn,A,#CCFFCC kwøl,B,#CCFFCC tʲeŋiz̥,B,#CCFFCC tʉz̥,A,#CCFFCC tas,A,#CCFFCC qʊm,A
Ki-Akmuz 1,#CCFFCC ʤɨldɨz̥,A,#CCFFCC suː,A,#CCFFCC ʤaːn,B,#99CCFF darja,B,#CCFFCC køl,B,#CCFFCC deŋiz̥,B,#CCFFCC tus,A,#CCFFCC taʃ,A,#CCFFCC qum,A
Ki-Akmuz 2,#CCFFCC ʤɨldɨz̥,A,#CCFFCC suː,A,#CCFFCC ʤaːn,B,#CCFFCC suː,E,#CCFFCC gøl,B,#CCFFCC deŋiz̥,B,#CCFFCC tus,A,#CCFFCC taʃ,A,#CCFFCC qum,A
Ki-Akmuz 3,#CCFFCC ʤɨldɨz̥,A,#CCFFCC suː,A,#CCFFCC ʤaːn,B,#99CCFF darja,B,#CCFFCC gøl,B,#CCFFCC deŋiz̥,B,#CCFFCC tus,A,#CCFFCC taʃ,A,#CCFFCC qum,A
Ki-Barskoon,#CCFFCC ʤɨldɨz̥,A,#CCFFCC suː,A,#CCFFCC ʤaːn,B,#99CCFF darja,B,#CCFFCC køl,B,#CCFFCC deŋiz̥,B,#CCFFCC tuz̥,A,#CCFFCC tas,A,#CCFFCC qum,A
Ki-Kulanak 1,#CCFFCC ʤɨldɨz̥,A,#CCFFCC suː,A,#CCFFCC ʤamgɨr,A,#99CCFF suː,E,#CCFFCC køl,B,#CCFFCC deŋiz̥,B,#CCFFCC tuz̥,A,#CCFFCC taʃ,A,#CCFFCC qʊm,A
Ki-Kulanak 2,#CCFFCC ʤɨldɨz̥,A,#CCFFCC suː,A,#CCFFCC ʤaːn,B,#99CCFF darja,B,#CCFFCC gøl,B,#CCFFCC dʲeŋiz̥,B,#CCFFCC tuz̥,A,#CCFFCC taʃ,A,#CCFFCC qum,A
Ki-Kulanak 3,#CCFFCC ʤɨldɨz̥,A,#CCFFCC suː,A,#CCFFCC ʤaːn,B,#99CCFF darja,B,#CCFFCC gøl,B,#CCFFCC dʲeŋiz̥,B,#CCFFCC tus,A,#CCFFCC taʃ,A,#CCFFCC qum,A
Ki-Kulanak 4,#CCFFCC ʤɨldɨz̥,A,#CCFFCC suː,A,#CCFFCC ʤamɣɨr,A,#99CCFF darja,B,#CCFFCC køl,B,#CCFFCC deŋiz̥,B,#CCFFCC tus,A,#CCFFCC tas,A,#CCFFCC qum,A
Ki-Kulanak 5,#CCFFCC ʤɨldɨz̥,A,#CCFFCC suː,A,#CCFFCC ʤaːn,B,#99CCFF darja,B,#CCFFCC gøl,B,#CCFFCC deŋiz̥,B,#CCFFCC tuz,A,#CCFFCC taʃ,A,#CCFFCC qum,A
Ki-Orday 1,#CCFFCC ʒɨldɨz̥,A,#CCFFCC sʊː,A,#CCFFCC ʤaŋgɨr,A,#99CCFF darja,B,#CCFFCC kʲøl,B,#CCFFCC dɛŋɪs,B,#CCFFCC tuz̥,A,#CCFFCC taʃ,A,#CCFFCC qum,A
Ki-Orday 2,#CCFFCC ʒɨldəz̥,A,#CCFFCC sʊː,A,#CCFFCC ʤamgɨr,A,#CCFFCC sɒj,F,#CCFFCC køl,B,#CCFFCC dʲeŋɪs,B,#CCFFCC tus,A,#CCFFCC taʃ,A,#CCFFCC qum,A
Ki-Orday 3,#CCFFCC ʤɨldɨz̥,A,#CCFFCC sʊː,A,#CCFFCC ʤamɣɨr,A,#CCFFCC sɒj,F,#99CCFF hawz,C,#CCFFCC dʲeŋɪz̥,B,#CCFFCC tʉs,A,#CCFFCC taʃ,A,#CCFFCC qum,A
Ki-Orday 4,#CCFFCC ʤɨldɨz̥,A,#CCFFCC sʊː,A,#CCFFCC ʤamgɨʃ,A,#CCFFCC sɒj,F,#99CCFF darɨja,D,#CCFFCC dʲeŋɪs,B,#CCFFCC tuz,A,#CCFFCC tɔʃ,A,#CCFFCC qum,A
Ki-Tamga,#CCFFCC ʤɨldɨz̥,A,#CCFFCC suː,A,#CCFFCC ʤaːn,B,#CCFFCC arɨk,G,#CCFFCC køl,B,#CCFFCC dɛŋiz̥,B,#CCFFCC tuz̥,A,#CCFFCC taʃ,A,#CCFFCC qum,A
KK-Halqabad 1,#CCFFCC ʒʉldɨz̥,A,#CCFFCC sʊː,A,#CCFFCC ʒamɣɨr,A,#99CCFF darja,B,#CCFFCC kwøl,B,#CCFFCC tʲeŋiz̥,B,#CCFFCC dʉz̥,A,#CCFFCC tas,A,#CCFFCC qʊm,A
KK-Halqabad 2,#CCFFCC ʒʉldɨz̥,A,#CCFFCC sʊː,A,#CCFFCC ʒawɔn,B,#99CCFF darja,B,#CCFFCC kwøl,B,#CCFFCC tʲeŋiz̥,B,#CCFFCC dʉz̥,A,#CCFFCC tas,A,#CCFFCC qʊm,A
KK-Halqabad 3,#CCFFCC ʒʉldɨz̥,A,#CCFFCC sʊː,A,#CCFFCC ʒawɔn,B,#99CCFF darja,B,#CCFFCC kwøl,B,#CCFFCC tʲeŋiz̥,B,#CCFFCC dʉz̥,A,#CCFFCC tas,A,#CCFFCC qʊm,A
KK-Kokdarya 1,#CCFFCC ʒɨldɨz̥,A,#CCFFCC sʊː,A,#CCFFCC ʤamɣɨr,A,#CCFFCC ʤap,H,#CCFFCC kwøl,B,#99CCFF tarja,C,#CCFFCC tus,A,#CCFFCC tas,A,#CCFFCC qʊm,A
KK-Kokdarya 2,#CCFFCC ʒɨldɨz̥,A,#CCFFCC sʊ,A,#CCFFCC ʒawɨn,B,#99CCFF tarja,B,#CCFFCC kwøl,B,#CCFFCC tʲeŋɨz̥,B,#CCFFCC tʉs,A,#CCFFCC tas,A,#CCFFCC qʊm,A
KK-Kokdarya 3,#CCFFCC ʒɨldɨz̥,A,#CCFFCC sʊː,A,#CCFFCC ʒamɣɨr,A,#99CCFF tarja,B,#CCFFCC kwøl,B,#CCFFCC tʲeŋɨz̥,B,#CCFFCC tʊs,A,#CCFFCC tas,A,#CCFFCC qʊm,A
KK-Kokdarya 4,#CCFFCC ʒɨldɨz̥,A,#CCFFCC sʊː,A,#CCFFCC ʒawɨn,B,#99CCFF darja,B,#CCFFCC kwøl,B,#CCFFCC tʲeŋɨz̥,B,#CCFFCC tuz̥,A,#CCFFCC tas,A,#CCFFCC qʊm,A
KK-Shege 1,#CCFFCC ʒʊldɨz̥,A,#CCFFCC sʊː,A,#CCFFCC ʒawɔn,B,#99CCFF darja,B,#CCFFCC kwøl,B,#CCFFCC tʲeŋiz̥,B,#CCFFCC dʊz̥,A,#CCFFCC tas,A,#CCFFCC qʊm,A
KK-Shege 2,#CCFFCC ʒɨldɨz̥,A,#CCFFCC sʊː,A,#CCFFCC ʒawɔn,B,#99CCFF tarja,B,#CCFFCC kwøl,B,#CCFFCC tʲeŋiz̥,B,#CCFFCC dʊz̥,A,#CCFFCC tas,A,#CCFFCC qʊm,A
KK-Shege 3,#CCFFCC ʒ˳ɨldɨz̥,A,#CCFFCC sʊː,A,#CCFFCC ʒ˳awɔn,B,#99CCFF d̥arja,B,#CCFFCC kwøl,B,#CCFFCC tʲeŋiz̥,B,#CCFFCC d̥ʊz̥,A,#CCFFCC tas,A,#CCFFCC qʊm,A
KK-Shege 4,#CCFFCC ʃʉldɨz̥,A,#CCFFCC sʊː,A,#CCFFCC ʒamgɨr,A,#99CCFF darja,B,#CCFFCC kwøl,B,#CCFFCC tʲeŋiz̥,B,#CCFFCC dʉz̥,A,#CCFFCC tas,A,#CCFFCC qʊm,A
U-Hitoy 1,#CCFFCC juldɨz̥,A,#CCFFCC sʊː,A,#CCFFCC ʤawon,B,#CCFFCC ʤap,H,#CCFFCC kwøl,B,#CCFFCC dʲeŋiz̥,B,#CCFFCC tuz̥,A,#CCFFCC taʃ,A,#CCFFCC qʊm,A
U-Hitoy 2,#CCFFCC ʤʉldɨz̥,A,#CCFFCC sʊː,A,#CCFFCC ʤawon,B,#99CCFF darja,B,#CCFFCC kwøl,B,#CCFFCC dʲeŋiz̥,B,#CCFFCC tʉz̥,A,#CCFFCC taʃ,A,#CCFFCC qʊm,A
U-Hitoy 3,#CCFFCC ʤuldɨz̥,A,#CCFFCC sʊː,A,#CCFFCC ʤawɔn,B,#99CCFF darja,B,#CCFFCC kwøl,B,#CCFFCC tʲeŋiz̥,B,#CCFFCC tʉz̥,A,#CCFFCC taʃ,A,#CCFFCC qʊm,A
U-Novmetan 3,#CCFFCC juldyz̥,A,#CCFFCC suβ,A,#CCFFCC jɔmɣər,A,#99CCFF darjɔ,B,,,#99CCFF darjɔ,C,#CCFFCC tuz̥,A,#CCFFCC tɔʃ,A,#CCFFCC qʊm,A
U-Soy Mahalla 1,#CCFFCC julduz̥,A,#CCFFCC suw,A,#CCFFCC jɔmɣɪr,A,#99CCFF darjɔ,B,#CCFFCC kʉl,B,#CCFFCC dʲeŋiz̥,B,#CCFFCC tʊz̥,A,#CCFFCC tɔʃ,A,#CCFFCC qum,A
U-Soy Mahalla 2,#CCFFCC juldɨz̥,A,#CCFFCC sʊw,A,#CCFFCC jɔmgɜr,A,#99CCFF darjɔ,B,#CCFFCC køl,B,#CCFFCC dʲeŋɪs,B,#CCFFCC tuz̥,A,#CCFFCC tɔs,A,#CCFFCC qum,A
U-Soy Mahalla 3,#CCFFCC julduz̥,A,#CCFFCC sʊw,A,#CCFFCC jɔmgɜr,A,#99CCFF darjɔ,B,#CCFFCC køl,B,#CCFFCC dʲeŋɪs,B,#CCFFCC tus,A,#CCFFCC tɔs,A,#CCFFCC qʊm,A
U-Urtoqqishloq 1,#CCFFCC juldʊz̥,A,#CCFFCC suw,A,#CCFFCC jɔmɣɪr,A,#99CCFF darjɔ,B,#CCFFCC kwʉł,B,#CCFFCC deŋiz̥,B,#CCFFCC tus,A,#CCFFCC tɔʃ,A,#CCFFCC tuprɔk,B
U-Urtoqqishloq 2,#CCFFCC juldʊz̥,A,#CCFFCC suw,A,#CCFFCC jɔmɣər,A,#99CCFF darjɒ,B,#CCFFCC kwøł,B,#CCFFCC deŋiz̥,B,#CCFFCC tus,A,#CCFFCC tɒʃ,A,#CCFFCC qʊm,A
U-Urtoqqishloq 3,#CCFFCC juldʊz̥,A,#CCFFCC suw,A,#CCFFCC jɔmɣər,A,#99CCFF darjɔ,B,#CCFFCC kwʉł,B,#CCFFCC deŋiz̥,B,#CCFFCC tus,A,#CCFFCC tɔʃ,A,#CCFFCC qʊm,A
U-Urtoqqishloq 4,#CCFFCC juldyz̥,A,#CCFFCC suw,A,#CCFFCC jɔmɣər,A,#99CCFF dajrɒ,B,#CCFFCC kwʉł,B,#CCFFCC deŋiz̥,B,#CCFFCC tʉz,A,#CCFFCC tɔʃ,A,#CCFFCC qʊm,A
U-Zarmanak 3,#CCFFCC julduz̥,A,#CCFFCC suβ,A,#CCFFCC jɔmɣɪr,A,#99CCFF darjɔ,B,#CCFFCC kʉl,B,#CCFFCC deŋiz̥,B,#CCFFCC tuz,A,#CCFFCC tɔʃ,A,#CCFFCC qum,A
U-Zarmanak 4,#CCFFCC julduz̥,A,#CCFFCC suβ,A,#CCFFCC jɔmɣər,A,#99CCFF darjɔ,B,#CCFFCC kʉl,B,#99CCFF darjɔ,C,#CCFFCC tuz̥,A,#CCFFCC tɔʃ,A,#CCFFCC qum,A
T-Agalyk,#99CCFF sitɔra,B,#99CCFF ɔb̥,B,#99CCFF bɔrɔn,D,#99CCFF darjɔ,B,#CCFFCC kul,B,#FFFF99 bahar,E,#99CCFF namak,B,#99CCFF saŋ,B,#CCFFCC xum,A
T-Kamangaron 1,#99CCFF stɔra,B,#99CCFF ob̥,B,#99CCFF bɔrɔn,D,#99CCFF darjɔ,B,#CCFFCC køl,B,#FFFF99 bahar,E,#99CCFF namak,B,#99CCFF sãŋ,B,#CCFFCC kum,A
T-Kamangaron 2,#99CCFF stɔra,B,#99CCFF ɔb̥,B,#99CCFF bɔrɔn,D,#99CCFF ʤɔj,K,#CCFFCC køl,B,#FFFF99 bahar,E,#99CCFF namak,B,#99CCFF saŋ,B,#CCFFCC kum,A
T-Kamangaron 3,#99CCFF stɔra,B,#99CCFF ɔb̥,B,#99CCFF bʊrʊn,D,#99CCFF ʤɔj,K,#CCFFCC køl,B,#99CCFF darjɔ,C,#99CCFF namak,B,#99CCFF saŋ,B,#CCFFCC kumʧa,A
T-Kamangaron 4,#99CCFF stɔra,B,#99CCFF ɔb̥,B,#99CCFF bɔrɔn,D,#99CCFF darjɔ,B,,,#FFFF99 bahar,E,#99CCFF namak,B,#99CCFF saŋ,B,,
T-Kaptarhona 1,#99CCFF istora,B,#99CCFF aw,B,#99CCFF bɔrun,D,#99CCFF darjɔ,B,#CCFFCC kʊl,B,#CCFFCC deŋiz̥,B,#99CCFF namak,B,#99CCFF saŋ,B,#CCFFCC qøm,A
T-Kaptarhona 2,#99CCFF istora,B,#99CCFF ɔb,B,#99CCFF bɔrʊn,D,#99CCFF darjɔ,B,#CCFFCC kul,B,#CCFFCC dzingɨz,B,#99CCFF namak,B,#99CCFF saŋ,B,#CCFFCC qum,A
T-Kaptarhona 3,#99CCFF istora,B,#99CCFF aw,B,#99CCFF bɔrʊn,D,#FF99CC kanal,L,#CCFFCC kul,B,#99CCFF darjɔ,C,#99CCFF namak,B,#99CCFF saŋ,B,#CCFFCC kʊm,A
T-Kaptarhona 4,#99CCFF istora,B,#99CCFF aw,B,#99CCFF bɔrun,D,#99CCFF darjɔ,B,#CCFFCC kul,B,#CCFFCC dingɨz̥,B,#99CCFF namak,B,#99CCFF sæŋ,B,#CCFFCC qøm,A
T-Kaptarhona 5,#99CCFF istora,B,#99CCFF aɔ,B,#99CCFF bɔrun,D,#99CCFF darjɔ,B,#CCFFCC kul,B,#CCFFCC kul,A,#99CCFF namak,B,#99CCFF saŋ,B,#CCFFCC qm̩,A
T-Navdî 1,#99CCFF sitora,B,#99CCFF ɔb̥,B,#99CCFF bɔrɔn,D,#99CCFF darjɔ,B,#CCFFCC kul,B,#FFFF99 bahr,E,#99CCFF namak,B,#99CCFF saŋ,B,#FFFF99 rek,D
T-Navdî 2,#99CCFF sitora,B,#99CCFF ɔp,B,#99CCFF bɔrɔn,D,#99CCFF darjɔ,B,#CCFFCC kul,B,#FFFF99 bahr,E,#99CCFF namak,B,#99CCFF saŋ,B,#FFFF99 rʲek,D
T-Navdî 3,#99CCFF sitora,B,#99CCFF ɔb̥,B,#99CCFF bɔrɔn,D,#99CCFF dajrɔ,B,#99CCFF havz,C,#FFFF99 bahar,E,#99CCFF namak,B,#99CCFF saŋ,B,#FFFF99 rek,D
T-Nimich 1,#99CCFF sitora,B,#99CCFF ɔb̥,B,#99CCFF bɔrɔn,D,#99CCFF darjɔ,B,#99CCFF havz,C,#FFFF99 bahar,E,#99CCFF namak,B,#99CCFF saŋ,B,#CCFFCC qʊm,A
T-Nimich 2,#99CCFF sitora,B,#99CCFF ɔb,B,#99CCFF bɔrɔn,D,#99CCFF darjɔ,B,#99CCFF hawz,C,#FFFF99 bahar,E,#99CCFF namak,B,#99CCFF saŋ,B,#FFFF99 rʲeg,D
T-Nimich 3,#99CCFF sitora,B,#99CCFF ɔβ,B,#99CCFF bɔrɔn,D,#99CCFF darjɔ,B,#CCFFCC khul,B,#FFFF99 bahar,E,#99CCFF namak,B,#99CCFF saŋ,B,#CCFFCC qɜm,A
T-Nimich 4,#99CCFF sitora,B,#99CCFF ɔβ,B,#99CCFF bɔrʊn,D,#99CCFF darjɔ,B,#CCFFCC kul,B,#FFFF99 bahar,E,#99CCFF nəmək,B,#99CCFF saŋ,B,#CCFFCC qɜm,A
T-Novmetan 1,#99CCFF stɔra,B,#99CCFF ɔb̥,B,#99CCFF bɔrɔn,D,#99CCFF ʤʉj,K,#99CCFF hawz̥,C,#99CCFF darjɔ,C,#99CCFF namak,B,#99CCFF saŋ˳,B,#FFFF99 reg˳,D
T-Novmetan 2,#99CCFF stɔra,B,#99CCFF ɔb̥,B,#99CCFF bɔrɔn,D,#99CCFF ʤʉj,K,#99CCFF hawz,C,#99CCFF d̥arjɔ,C,#99CCFF namak,B,#99CCFF saŋ,B,#FFFF99 reg,D
T-Nûshor 1,#99CCFF sitora,B,#99CCFF ɔw,B,#99CCFF bɔrʊn,D,#99CCFF darjɔ,B,#99CCFF hawz,C,#FFFF99 bahɐr,E,#99CCFF namak,B,#99CCFF saŋ,B,#FFFF99 rʲeg˳,D
T-Nûshor 2,#99CCFF sitora,B,#99CCFF ɔw,B,#99CCFF bɔrɔn,D,#99CCFF darjɔ,B,#CCFFCC khul,B,#FFFF99 bahar,E,#99CCFF namak,B,#99CCFF saŋ,B,#99CCFF xɔq,E
T-Nûshor 3,#99CCFF sitora,B,#99CCFF ɔw,B,#99CCFF bɔrʊn,D,#99CCFF darjɔ,B,#99CCFF hawz,C,#FFFF99 bahɐr,E,#99CCFF nəmək,B,#99CCFF saŋ,B,#CCFFCC qm̩,A
T-Rishtan 1,#99CCFF sitora,B,#99CCFF ob̥,B,#99CCFF bɔrɔn,D,#99CCFF darjɔ,B,#CCFFCC kul,B,#FFFF99 bahar,E,#99CCFF namak,B,#99CCFF saŋ,B,#FFFF99 reg˳,D
T-Rishtan 2,#CCFFCC jɨldɨz̥,A,#99CCFF ob̥,B,#99CCFF bɔrɔn,D,#99CCFF darjɔ,B,#CCFFCC kul,B,#FFFF99 bahər,E,#99CCFF namak,B,#99CCFF saŋ,B,#FFFF99 reg˳,D
T-Rishtan 3,#99CCFF sitɔra,B,#99CCFF ob̥,B,#99CCFF bɔrɔn,D,#99CCFF darjɔ,B,#CCFFCC kul,B,#FFFF99 bahər,E,#99CCFF namak,B,#99CCFF saŋ,B,#FFFF99 reg˳,D
T-Shink 1,#99CCFF stɔra,B,#99CCFF ɔb̥,B,#99CCFF bɔrɔn,D,#99CCFF darjɔ,B,#CCFFCC kʊl,B,#FFFF99 bahr,E,#99CCFF namak,B,#99CCFF saŋ,B,#CCFFCC qʊm,A
T-Shink 2,#99CCFF sɪtɔra,B,#99CCFF ɔb̥,B,#99CCFF bɔrɔn,D,#99CCFF darjɔ,B,#CCFFCC kul,B,#FFFF99 bahar,E,#99CCFF namak,B,#99CCFF saŋ,B,#CCFFCC qʊm,A
T-Shink 3,#99CCFF stɔra,B,#99CCFF ɔw,B,#99CCFF bɔrɔn,D,#99CCFF darjɔ,B,#CCFFCC kul,B,#FFFF99 bahr,E,#99CCFF namak,B,#99CCFF saŋ,B,#CCFFCC qʊm,A
T-Urmetan 1,#99CCFF sɪtɔra,B,#99CCFF ɔb̥,B,#99CCFF bɔrɔn,D,#99CCFF darjɔ,B,#CCFFCC kul,B,#FFFF99 bahr,E,#99CCFF namak,B,#99CCFF saŋ,B,#99CCFF xɔk,E
T-Urmetan 2,#99CCFF stɔra,B,#99CCFF ɔb,B,#99CCFF bɔrɔn,D,#99CCFF darjɔ,B,#CCFFCC kul,B,#FFFF99 bahr,E,#99CCFF namak,B,#99CCFF saŋ,B,#CCFFCC qʊm,A
T-Urmetan 3,#99CCFF sɪtɔra,B,#99CCFF ɔb̥,B,#99CCFF bɔrʊn,D,#99CCFF darjɔ,B,#CCFFCC kul,B,#FFFF99 bahr,E,#99CCFF namak,B,#99CCFF saŋ,B,#CCFFCC qm̩,A
T-Urmetan 4,#99CCFF sɪtɔra,B,#99CCFF ɔβ,B,#99CCFF bɔrɔn,D,#99CCFF darjɔ,B,#CCFFCC kul,B,#CCFFCC kul,A,#99CCFF namak,B,#99CCFF saŋ,B,#99CCFF xɔk,E
T-Zarmanak 1,#99CCFF stɔra,B,#99CCFF ɔb,B,#99CCFF bɔrɔn,D,#99CCFF dajrɔ,B,#CCFFCC kʉl,B,#CCFFCC deŋiz̥,B,#99CCFF namak,B,#99CCFF saŋ,B,#99CCFF xɔk,E
T-Zarmanak 2,#CCFFCC jilduz̥,A,#99CCFF ɔb̥,B,#99CCFF bɔrɔn,D,#99CCFF darjɔ,B,#CCFFCC kʉl,B,#CCFFCC deŋiz̥,B,#99CCFF namak,B,#99CCFF saŋ,B,#99CCFF xɔk,E
Y-Dugova 1,#99CCFF stɔra,B,#99CCFF ɔp,B,#99CCFF bɔrʊːn,D,#99CCFF darjɔ,B,#FF99CC ozero,F,#FFFF99 bahar,E,#99CCFF namak,B,#99CCFF sang,B,#FFFF99 rʲek,D
Y-Dugova 2,#99CCFF sitɔra,B,#99CCFF ɔp,B,#99CCFF bɔrɔn,D,#99CCFF darjɔ,B,#99CCFF havz,C,#99CCFF havz,F,#99CCFF namak,B,#99CCFF sank,B,#CCFFCC qʊm,A
Y-Safedorak 1,#99CCFF sitɔra,B,#99CCFF ɔp,B,#99CCFF bɔrʊːn,D,#99CCFF dajrɔ,B,#99CCFF hawz,C,#FFFF99 bahr,E,#99CCFF namak,B,#99CCFF sank,B,#FFFF99 rek,D
Y-Safedorak 2,#99CCFF stɔra,B,#99CCFF ɔb̥,B,#99CCFF bɔrʊːn,D,#99CCFF dajrɔ,B,#99CCFF hawz,C,#FFFF99 bahr,E,#99CCFF namak,B,#99CCFF sang,B,#FFFF99 rʲeg,D
Y-Safedorak 3,,,,,,,,,,,,,,,,,,
