Informant,knee,knee,hand,hand,wing,wing,belly,belly,neck,neck,back,back,breast,breast,heart,heart
Ki-Akmuz 2,#CCFFCC tizʲɛ,A,#CCFFCC qɔl,A,#CCFFCC qanat,A,#CCFFCC iʧʲ,B,#CCFFCC mɔjɨn,A,#CCFFCC dɒlɨ,D,#CCFFCC jɪmʧek,A,#CCFFCC ʤyrøk,A
Ki-Akmuz 3,#CCFFCC tizɛ,A,#CCFFCC qɔl,A,#CCFFCC qanat,A,#CCFFCC iʧʲ,B,#CCFFCC mɔjɨn,A,#CCFFCC bʲel,C,#CCFFCC jemʧɪk,A,#CCFFCC ʤyrøk,A
Ki-Barskoon,#CCFFCC tizʲɛ,A,#CCFFCC qɔl,A,#CCFFCC qanat,A,#CCFFCC iʧʲ,B,#CCFFCC mɔjɨn,A,#CCFFCC dalɨ,D,#CCFFCC ɪmʧek,A,#CCFFCC ʤyrøk,A
Ki-Kulanak 1,#CCFFCC tizɛ,A,#CCFFCC qɔl,A,#CCFFCC qanat,A,#CCFFCC iʧʲ,B,#CCFFCC mɔjʉn,A,#CCFFCC arqa,A,#CCFFCC jɛmʧek,A,#CCFFCC ʤyrøk,A
Ki-Kulanak 2,#CCFFCC tizʲɛ,A,#CCFFCC qɔl,A,#CCFFCC qanat,A,#CCFFCC qursaq,C,#CCFFCC mɔjɨn,A,#CCFFCC bʲel,C,#CCFFCC jɪmʧɪk,A,#CCFFCC ʤyrøk,A
Ki-Kulanak 3,#CCFFCC tizɛ,A,#CCFFCC qɔl,A,#CCFFCC qanat,A,#CCFFCC iʧʲ,B,#CCFFCC mɔjɨn,A,#CCFFCC bʲel,C,#CCFFCC jɪmʧek,A,#CCFFCC ʤyrøk,A
Ki-Kulanak 4,#CCFFCC tizɛ,A,#CCFFCC qɔl,A,#CCFFCC qanat,A,#CCFFCC iʧʲ,B,#CCFFCC mɔjɨn,A,#CCFFCC dalɨ,D,#CCFFCC kukrøk,B,#CCFFCC ʤyrøk,A
Ki-Kulanak 5,#CCFFCC tizɛ,A,#CCFFCC qɔl,A,#CCFFCC qanat,A,#CCFFCC iʧʲ,B,#CCFFCC mɔjɨn,A,#CCFFCC dalɨ,D,#CCFFCC jɛmʧek,A,#CCFFCC ʤyrøk,A
Ki-Orday 1,#CCFFCC tizɛ,A,#CCFFCC qɔl,A,#CCFFCC qɒnɒt,A,#CCFFCC kursak,C,#CCFFCC bɔjɪn,A,#CCFFCC bʲel,C,#CCFFCC køkrøk,B,#CCFFCC ʒyrøk,A
Ki-Orday 2,#CCFFCC tizɛ,A,#CCFFCC qɔl,A,#CCFFCC qɒnɒt,A,#CCFFCC qɔrɨn,A,#CCFFCC bɔjɪn,A,#CCFFCC bʲɪl,C,#CCFFCC køkrɛk,B,#CCFFCC ʒyrøk,A
Ki-Orday 3,#CCFFCC tizɛ,A,#CCFFCC qɔl,A,#CCFFCC qanat,A,#CCFFCC qɔrɨn,A,#CCFFCC bɔjɪn,A,,,#CCFFCC emʧɛk,A,#CCFFCC ʒyrøk,A
Ki-Orday 4,#CCFFCC tizɛ,A,#CCFFCC qɔl,A,#CCFFCC qɒnɒt,A,#CCFFCC aʃkazan,D,#CCFFCC mɔjɪn,A,#CCFFCC kyløk,E,#CCFFCC ɛmʧek,A,#CCFFCC ʒyrøk,A
Ki-Tamga,#CCFFCC tizɛ,A,#CCFFCC qɔl,A,#CCFFCC qanat,A,#CCFFCC iʧʲ,B,#CCFFCC mɔjɨn,A,#CCFFCC dalɨ,D,#CCFFCC emʧɛk,A,#CCFFCC ʤyrøk,A
KK-Halqabad 1,#CCFFCC dzʲe,A,#CCFFCC qɔl,A,#CCFFCC qanat,A,#CCFFCC qarɨn,A,#CCFFCC mɔjɪn,A,#CCFFCC arqa,A,#CCFFCC kukrøk,B,#CCFFCC ʒyrøk,A
KK-Halqabad 2,#CCFFCC dzʲe,A,#CCFFCC qɔl,A,#CCFFCC qanat,A,#CCFFCC asɣazan,D,#CCFFCC mɔjɪn,A,#CCFFCC arqa,A,#CCFFCC jɪmʃɪk,A,#CCFFCC ʒyrøk,A
KK-Halqabad 3,#CCFFCC dzʲe,A,#CCFFCC qɔl,A,#CCFFCC qanat,A,#CCFFCC asxazan,D,#CCFFCC mɔjɪn,A,#CCFFCC ʒawɔrɨn,B,#CCFFCC jɪmʃɪk,A,#CCFFCC ʒyrøk,A
KK-Kokdarya 1,#CCFFCC tizʲe,A,#CCFFCC qɔl,A,#CCFFCC qanat,A,#CCFFCC qarɨn,A,#CCFFCC mɔjɨn,A,#CCFFCC ʤawɔrən,B,#CCFFCC jemʧɛk,A,#CCFFCC ʤyrøk,A
KK-Kokdarya 2,#CCFFCC tizʲe,A,#CCFFCC qɔl,A,#CCFFCC qanat,A,#CCFFCC qarɨn,A,#CCFFCC mɔjɨn,A,#CCFFCC arqa,A,#CCFFCC jɪmʃɛk,A,#CCFFCC ʒʉrek,A
KK-Kokdarya 3,#CCFFCC tizʲe,A,#CCFFCC qɔl,A,#CCFFCC qanat,A,#CCFFCC qarɨn,A,#CCFFCC mɔjɨn,A,#CCFFCC arqa,A,#CCFFCC kʊkrøk,B,#CCFFCC ʒʉrøk,A
KK-Kokdarya 4,#CCFFCC dizʲe,A,#CCFFCC qɔl,A,#CCFFCC qanat,A,#CCFFCC qarɨn,A,#CCFFCC mɔjɨn,A,#CCFFCC arχa,A,#CCFFCC køkrɛk,B,#CCFFCC ʒyrøk,A
KK-Shege 1,#CCFFCC dɪzʲe,A,#CCFFCC qɔl,A,#CCFFCC qanat,A,#CCFFCC qarən,A,#CCFFCC mɔjɪn,A,#CCFFCC ʒawɔrən,B,#CCFFCC jemʃɛk,A,#CCFFCC ʒyrøk,A
KK-Shege 2,#CCFFCC dɪzʲe,A,#CCFFCC qɔl,A,#CCFFCC qanat,A,#CCFFCC qarɨn,A,#CCFFCC mɔjɪn,A,#CCFFCC arχa,A,#CCFFCC kukrøk,B,#CCFFCC ʒyrøk,A
KK-Shege 3,#CCFFCC dɪzʲe,A,#CCFFCC qɔl,A,#CCFFCC qanat,A,#CCFFCC qarɨn,A,#CCFFCC mɔjɪn,A,#CCFFCC arqa,A,#CCFFCC jɪmʃɪk,A,#CCFFCC ʒyrøk,A
KK-Shege 4,#CCFFCC dɪzʲe,A,#CCFFCC qɔl,A,#CCFFCC qanat,A,#CCFFCC qarɨn,A,#CCFFCC mɔjɪn,A,#CCFFCC arqa,A,#CCFFCC kukrøk,B,#CCFFCC ʒʉrøk,A
U-Hitoy 1,#CCFFCC tɨzʲe,A,#CCFFCC qɔl,A,#CCFFCC qanat,A,#CCFFCC qarɨn,A,#CCFFCC mɔjɪn,A,#CCFFCC arχa,A,#CCFFCC jɪmʧɪk,A,#CCFFCC ʤyrøk,A
U-Hitoy 2,#CCFFCC dzʲe,A,#CCFFCC qɔl,A,#CCFFCC qanat,A,#CCFFCC qarən,A,#CCFFCC mɔjɪn,A,#CCFFCC arqa,A,#CCFFCC jɪmʧɪk,A,#CCFFCC ʤyrøk,A
U-Hitoy 3,#CCFFCC tɨzʲe,A,#CCFFCC qɔl,A,#CCFFCC qanat,A,#CCFFCC qarən,A,#CCFFCC mɔjɪn,A,#CCFFCC arqa,A,#CCFFCC jɪmʧɪk,A,#CCFFCC ʤyrøk,A
U-Novmetan 3,#CCFFCC buʤilak,E,#CCFFCC qʉl,A,#CCFFCC qanɔt,A,#CCFFCC qɔrən,A,#CCFFCC bʉjin,A,#CCFFCC bʲel,C,#CCFFCC ɛmʧak,A,#CCFFCC jʊrak,A
U-Soy Mahalla 1,#CCFFCC tɪzza,A,#CCFFCC qɔl,A,#CCFFCC qɒnɔt,A,#CCFFCC qɔrən,A,#CCFFCC bujin,A,#CCFFCC bʲel,C,#CCFFCC emʧak,A,#CCFFCC jyrak,A
U-Soy Mahalla 2,#CCFFCC tizza,A,#CCFFCC qɔl,A,#CCFFCC qɒnɔt,A,#CCFFCC qɔrən,A,#CCFFCC bujin,A,#CCFFCC bʲel,C,#CCFFCC ɛmʧæk,A,#CCFFCC jyræk,A
U-Soy Mahalla 3,#CCFFCC tɨzzɐ,A,#CCFFCC qɔl,A,,,#CCFFCC qɔrən,A,#CCFFCC bʊjin,A,#CCFFCC bʲel,C,#CCFFCC kʉkræk,B,#CCFFCC jyrak,A
U-Urtoqqishloq 1,#CCFFCC tɨzzɐ,A,#CCFFCC kwʊł,A,#CCFFCC qanɔt,A,#CCFFCC qɔrən,A,#CCFFCC bʊjin,A,#CCFFCC bʲel,C,#CCFFCC kʉkrak,B,#CCFFCC jʉrak,A
U-Urtoqqishloq 2,#CCFFCC tissak,A,#CCFFCC kwoł,A,#CCFFCC qanɔt,A,#CCFFCC qɔrɨn,A,#CCFFCC bʊjin,A,#CCFFCC bʲel,C,#CCFFCC kʊkrak,B,#CCFFCC jyrak,A
U-Urtoqqishloq 3,#CCFFCC tizzɐ,A,#CCFFCC kʊł,A,#CCFFCC qanɔt,A,#CCFFCC qɔrɪn,A,#CCFFCC bʊjin,A,#CCFFCC bʲɪl,C,#CCFFCC kʊkrak,B,#CCFFCC jʉrak,A
U-Urtoqqishloq 4,#CCFFCC tizza,A,#CCFFCC kʉł,A,#CCFFCC qanɒt,A,#CCFFCC qɔrɨn,A,#CCFFCC bʊjin,A,#CCFFCC bʲel,C,#CCFFCC kʊkrak,B,#CCFFCC jʉrak,A
U-Zarmanak 3,,,#CCFFCC qʉl,A,#CCFFCC qanɔt,A,#CCFFCC qɔrɨn,A,#CCFFCC bʉjin,A,#CCFFCC bʲɛl,C,#CCFFCC imʧak,A,#CCFFCC jurak,A
U-Zarmanak 4,#CCFFCC tɪzza,A,#CCFFCC qʉl,A,#CCFFCC qanɔt,A,#CCFFCC qɔrən,A,#CCFFCC bujin,A,#CCFFCC ɔrqa,A,#CCFFCC kʉkrak,B,#CCFFCC jʊrak,A
T-Agalyk,#99CCFF zɔnu,D,#99CCFF dast,B,#CCFFCC qanɔt,A,#99CCFF iʃkam,E,#99CCFF gardɔn,C,#99CCFF puʃt,G,#99CCFF siːna,G,#99CCFF dil,B
T-Kamangaron 1,#CCFFCC tizza,A,#99CCFF dast,B,#CCFFCC qanɔt,A,#99CCFF ʃkam,E,#99CCFF gardan,C,#99CCFF taxtapyst,H,#CCFFCC køkrak,B,#99CCFF dil,B
T-Kamangaron 2,#99CCFF zɔnʊ,D,#99CCFF dast,B,#CCFFCC qanɔq,A,#99CCFF iʃkam,E,#99CCFF gardan,C,#99CCFF mijɔn,I,#CCFFCC kukraq,B,#99CCFF dil,B
T-Kamangaron 3,#CCFFCC tizza,A,#99CCFF dast,B,,,#99CCFF iʃkam,E,#99CCFF gardan,C,,,#CCFFCC køkraq,B,#99CCFF dil,B
T-Kamangaron 4,#99CCFF zɔna,D,#99CCFF dast,B,#CCFFCC qanat,A,,,#99CCFF ,,#99CCFF taxtapuʃt,H,#99CCFF sina,G,#99CCFF dil,B
T-Kaptarhona 1,#99CCFF zɔni,D,#99CCFF dest,B,#CCFFCC qanɔt,A,#99CCFF ʃkam,E,#99CCFF gardan,C,#99CCFF mijun,I,#CCFFCC qʊqrak,B,#99CCFF dil,B
T-Kaptarhona 2,#99CCFF zɔni,D,#99CCFF dast,B,#CCFFCC kanɔt,A,#99CCFF ʃkam,E,#99CCFF gardɔn,C,#99CCFF mijun,I,#99CCFF sina,G,#FFFF99 qal,C
T-Kaptarhona 3,#99CCFF zoni,D,#99CCFF døst,B,#CCFFCC qanɔt,A,#99CCFF ʃkam,E,#99CCFF gardan,C,#99CCFF mijɔn,I,#CCFFCC kukrak,B,#99CCFF dil,B
T-Kaptarhona 4,#99CCFF zoni,D,#99CCFF dast,B,#CCFFCC qanɔt,A,#99CCFF ʃkam,E,#99CCFF gardan,C,#99CCFF mijɔn,I,#CCFFCC quqrak,B,#99CCFF d̥il,B
T-Kaptarhona 5,#99CCFF zoni,D,#99CCFF dɛst,B,#CCFFCC qanɔt,A,#99CCFF ʃkam,E,#99CCFF gardan,C,#99CCFF mijun,I,#99CCFF sina,G,#99CCFF dil,B
T-Navdî 1,#99CCFF zɔnu,D,#99CCFF dast,B,#99CCFF taf,C,#99CCFF ʃɪkam,E,#99CCFF gardan,C,#99CCFF mijun,I,#99CCFF sina,G,#99CCFF dil,B
T-Navdî 2,#99CCFF zɔnu,D,#99CCFF dast,B,#99CCFF taf,C,#99CCFF ʃɪkam,E,#99CCFF gardan,C,#99CCFF puʃt,G,#99CCFF sina,G,#99CCFF dil,B
T-Navdî 3,#99CCFF zɔnu,D,#99CCFF dast,B,#99CCFF taf,C,#99CCFF ʃikam,E,#99CCFF gardan,C,#99CCFF mijʊn,I,#99CCFF sina,G,#99CCFF dil,B
T-Nimich 1,#99CCFF zɔnʊ,D,#99CCFF dast,B,#99CCFF taf,C,#99CCFF ʃikam,E,#99CCFF gardan,C,#99CCFF puʃt,G,#99CCFF sina,G,#99CCFF dil,B
T-Nimich 2,#99CCFF zɔnʊ,D,#99CCFF dast,B,#99CCFF par,E,#99CCFF ʃikam,E,#99CCFF gardan,C,#99CCFF puʃt,G,#99CCFF sina,G,#99CCFF dil,B
T-Nimich 3,#99CCFF zɔnʊ,D,#99CCFF dast,B,#99CCFF par,E,#99CCFF ʃkam,E,#99CCFF gardan,C,#99CCFF puʃt,G,#99CCFF sina,G,#99CCFF dl̩,B
T-Nimich 4,#99CCFF zɔnɪ,D,#99CCFF dəst,B,#99CCFF par,E,#99CCFF ʃkam,E,#99CCFF gardan,C,#99CCFF pəʃt,G,#99CCFF sina,G,#99CCFF dl̩,B
T-Novmetan 1,#99CCFF buʤulak,E,#99CCFF dast,B,#99CCFF dast,F,#99CCFF iʃkam,E,#99CCFF gardan,C,#99CCFF mijɔn,I,#99CCFF siˑna,G,#99CCFF dil,B
T-Novmetan 2,#99CCFF zɔnʊ,D,#99CCFF dast,B,#CCFFCC qanat,A,#99CCFF iʃkam,E,#99CCFF gardan,C,#99CCFF puʃt,G,,,#99CCFF dil,B
T-Nûshor 1,#99CCFF zɔʔnʊ,D,#99CCFF dast,B,#99CCFF bɔł,D,#99CCFF iʃkam,E,#99CCFF gardan,C,#99CCFF puʃt,G,#99CCFF sina,G,#99CCFF dil,B
T-Nûshor 2,#99CCFF zɔˑnʊ,D,#99CCFF dast,B,#99CCFF taf,C,#99CCFF ʃikam,E,#99CCFF gardan,C,#99CCFF puʃt,G,#99CCFF sina,G,#99CCFF dil,B
T-Nûshor 3,#99CCFF zɔnu,D,#99CCFF dəst,B,#99CCFF taf,C,#99CCFF ʃkam,E,#99CCFF gardan,C,#99CCFF mijʊn,I,#99CCFF sina,G,#99CCFF dl̩,B
T-Rishtan 1,#99CCFF zɔnʊ,D,#99CCFF dast,B,#CCFFCC qanɔt,A,#99CCFF iʃkam,E,,,#99CCFF mijɔn,I,#99CCFF siːna,G,#99CCFF dil,B
T-Rishtan 2,#99CCFF zɔnʊ,D,#99CCFF dast,B,#CCFFCC qanɔt,A,#99CCFF iʃkam,E,#99CCFF gardan,C,#99CCFF mijɔn,I,#CCFFCC kukrak,B,#99CCFF dɪl,B
T-Rishtan 3,#99CCFF zɔnə,D,#99CCFF dast,B,#CCFFCC qanɔt,A,#99CCFF iʃkam,E,#99CCFF gardan,C,#99CCFF taxtapyʃt,H,#99CCFF sina,G,#99CCFF dɪl,B
T-Shink 1,#99CCFF zɔːnə,D,#99CCFF dast,B,#CCFFCC qanɔt,A,#99CCFF iʃkam,E,#99CCFF gardan,C,#99CCFF pɪʃt,G,#99CCFF sina,G,#99CCFF dil,B
T-Shink 2,#99CCFF zɔnɪ,D,#99CCFF dast,B,#CCFFCC qanɔt,A,#99CCFF iʃkam,E,#99CCFF gardan,C,#99CCFF pʉʃt,G,#99CCFF sina,G,#99CCFF dil,B
T-Shink 3,#99CCFF zɔːnə,D,#99CCFF dast,B,#CCFFCC qanɒt,A,#99CCFF ʃkam,E,#99CCFF gardan,C,#99CCFF pʉʃt,G,#99CCFF siːna,G,#99CCFF dil,B
T-Urmetan 1,#99CCFF zɔːnə,D,#99CCFF dast,B,#CCFFCC qanɔt,A,#99CCFF iʃkam,E,#99CCFF gardan,C,#99CCFF taxtapuʃt,H,#99CCFF siːna,G,#99CCFF dil,B
T-Urmetan 2,#FF99CC kaleno,F,#99CCFF dast,B,#CCFFCC qanɔt,A,#99CCFF ʃkam,E,#99CCFF gardan,C,#99CCFF mijɔn,I,#99CCFF siːna,G,#99CCFF dil,B
T-Urmetan 3,#99CCFF zɔny,D,#99CCFF dast,B,#CCFFCC qanɔt,A,#99CCFF ʃkam,E,#99CCFF gardan,C,,,#99CCFF siːna,G,#99CCFF dil,B
T-Urmetan 4,#99CCFF zʊna,D,#99CCFF dast,B,#CCFFCC qanɔt,A,#99CCFF iʃkam,E,#99CCFF gardan,C,,,#99CCFF siːna,G,#99CCFF dil,B
T-Zarmanak 1,#99CCFF zɔnʊ,D,#99CCFF dast,B,#CCFFCC qanat,A,#99CCFF iʃkam,E,#99CCFF gardan,C,#99CCFF puʃt,G,#CCFFCC kʉkrak,B,#99CCFF dil,B
T-Zarmanak 2,#99CCFF buʤulak,E,#99CCFF dast,B,#CCFFCC qanat,A,#99CCFF iʃkam,E,#99CCFF gardan,C,#99CCFF taxtapyʃt,H,,,#99CCFF dil,B
Y-Dugova 1,#99CCFF zunk,D,#99CCFF dast,B,#CCFFCC qanat,A,#99CCFF dara,F,#99CCFF kama,D,#CCFFCC arqa,A,#99CCFF siːna,G,#99CCFF dɪl,B
Y-Dugova 2,#99CCFF zunk,D,#99CCFF dast,B,#CCFFCC qanat,A,#99CCFF dara,F,#99CCFF kama,D,#CCFFCC arqa,A,#99CCFF siːna,G,#99CCFF dɪl,B
Y-Safedorak 1,#99CCFF zunk,D,#99CCFF dast,B,#99CCFF bɔl,D,#99CCFF dara,F,#99CCFF kama,D,#CCFFCC arχa,A,#99CCFF siːna,G,#99CCFF dil,B
Y-Safedorak 2,#99CCFF zunk,D,#99CCFF dast,B,#99CCFF bɔl,D,#99CCFF dara,F,#99CCFF kama,D,#CCFFCC arqa,A,#99CCFF siːna,G,#99CCFF dɪl,B
Y-Safedorak 3,#99CCFF zunk,D,#99CCFF dast,B,#99CCFF bal,D,#99CCFF dara,F,#99CCFF kama,D,#CCFFCC arqa,A,#99CCFF siːna,G,#99CCFF dɪl,B
