Informant,full,full,new,new,old,old,good,good,bad,bad,rotten,rotten,dirty,dirty,straight,straight
Ki-Orday 4,#CCFFCC tɔlʊq,A,#CCFFCC ʤaŋa,A,#CCFFCC ɪskɪ,B,#CCFFCC dZaxS1,A,#CCFFCC ʤaman,A,,,#99CCFF iflas,F,#CCFFCC tuːra,B
Ki-Tamga,#CCFFCC tɔltʊra,B,#CCFFCC ʤaŋɐ,A,#CCFFCC jeskʲe,B,#CCFFCC dZaqS1,A,#CCFFCC ʤaman,A,#CCFFCC ʧirik,B,#CCFFCC gɪr,B,#CCFFCC tyz̥,A
KK-Halqabad 1,#CCFFCC tɔlɜq,A,#CCFFCC taza,B,#99CCFF gʊnʲe,A,#CCFFCC Zaxs1,A,#CCFFCC ʒaman,A,#CCFFCC ʃɪrɪk,B,#CCFFCC patas,C,#CCFFCC døzʊː,A
KK-Halqabad 2,#CCFFCC tɔlɜq,A,#CCFFCC taza,B,#CCFFCC jiskʲe,B,#CCFFCC Zaxs1,A,#CCFFCC ʒaman,A,#CCFFCC ʃɪrɪk,B,#CCFFCC kər,B,#CCFFCC tuːrə,B
KK-Halqabad 3,#CCFFCC tɔlɜq,A,#CCFFCC taza,B,#99CCFF gʊnʲɪ,A,#CCFFCC Zaxs1,A,#CCFFCC ʒaman,A,#CCFFCC saːsɨq,D,#CCFFCC patas,C,#CCFFCC tuːrə,B
KK-Kokdarya 1,#CCFFCC tɔlɜ,A,#CCFFCC ʒaŋa,A,#99CCFF køne,A,#CCFFCC jaxs1,A,#CCFFCC ʒaman,A,#CCFFCC ʃɪrɪk,B,#CCFFCC patas,C,#CCFFCC tʊrɨ,B
KK-Kokdarya 2,#CCFFCC tɔlɜʔ,A,#CCFFCC ʒaŋa,A,#99CCFF gwʊnʲɪ,A,#CCFFCC Zaxs1,A,#CCFFCC ʒaman,A,#CCFFCC ʃɪrɪk,B,#CCFFCC patas,C,#CCFFCC tuːra,B
KK-Kokdarya 3,#CCFFCC tɔlɜq,A,#CCFFCC ʒaŋa,A,#99CCFF kwʊnʲɪ,A,#CCFFCC Zaxs1,A,#CCFFCC ʒaman,A,#CCFFCC ʃɪrɪk,B,#CCFFCC patas,C,#CCFFCC tuːrɐ,B
KK-Kokdarya 4,#CCFFCC tɔlɜq,A,#CCFFCC ʒaŋa,A,#CCFFCC jeskɨ,B,#CCFFCC Zaxs1,A,#CCFFCC ʒaman,A,#CCFFCC ʃɪrɨk,B,#CCFFCC patas,C,#CCFFCC turɨ,B
KK-Shege 1,#CCFFCC tɔlɜ,A,#CCFFCC taza,B,#99CCFF gʊnʲɪ,A,#CCFFCC Zaxs3,A,#CCFFCC ʒaman,A,#CCFFCC ʃɪrɪk,B,#CCFFCC kər,B,#CCFFCC tuːrə,B
KK-Shege 2,#CCFFCC tɔlɜq,A,#CCFFCC taza,B,#99CCFF gʊnʲɪ,A,#CCFFCC Zaxs1,A,#CCFFCC ʒaman,A,#CCFFCC ʃɪrɪk,B,#CCFFCC kɨr,B,#CCFFCC tuːrə,B
KK-Shege 3,#CCFFCC tɔlɜq,A,#CCFFCC taza,B,#99CCFF gønʲɪ,A,#CCFFCC Zaxs1,A,#CCFFCC ʒ˳aman,A,#CCFFCC ʃɪrɪk,B,#CCFFCC patas,C,#CCFFCC tuːrə,B
KK-Shege 4,#CCFFCC tɔlɜ,A,#CCFFCC taza,B,#99CCFF gønʲɪ,A,#CCFFCC Zaxs1,A,#CCFFCC ʒaman,A,#CCFFCC ʃɪrɪk,B,#CCFFCC patas,C,#CCFFCC tuːrə,B
U-Hitoy 1,#CCFFCC tɔlɜ,A,#CCFFCC taza,B,#99CCFF gʊne,A,#CCFFCC jaxS1,A,#CCFFCC ʤaman,A,#CCFFCC ʧɪrɪk,B,#CCFFCC kər,B,#CCFFCC tuːrɐ,B
U-Hitoy 2,#CCFFCC tɔlɜ,A,#CCFFCC taza,B,#99CCFF gʊnʲe,A,#CCFFCC jaxS1,A,#CCFFCC ʤaman,A,#CCFFCC ʧɪrɪk,B,#CCFFCC patas,C,#CCFFCC tuːrɨ,B
U-Hitoy 3,#CCFFCC tɔlɜ,A,#CCFFCC taza,B,#CCFFCC jiskʲə,B,#CCFFCC jaxS1,A,#CCFFCC ʤaman,A,#CCFFCC ʃɪrɪk,B,#CCFFCC kər̯,B,#CCFFCC tuːrə,B
U-Novmetan 3,#CCFFCC tʉla,A,#CCFFCC jaŋi,A,#CCFFCC eski,B,#CCFFCC jaxSI,A,#CCFFCC jɔmɔn,A,#CCFFCC ʧirigan,A,#99CCFF iflɔs,F,#CCFFCC tʉɣrɪ,B
U-Soy Mahalla 1,#CCFFCC tɔla,A,#CCFFCC jaŋi,A,#CCFFCC ɛski,B,#CCFFCC jaxS1,A,#CCFFCC jɔmɔn,A,#CCFFCC ʧirigan,A,#99CCFF iflɒs,F,#CCFFCC tʊɣrɪ,B
U-Soy Mahalla 2,#CCFFCC tɔlɐ,A,#CCFFCC jaŋʲɪ,A,#CCFFCC ɛskʲɪ,B,#CCFFCC jaxSə,A,#CCFFCC jɔmɔn,A,#CCFFCC ʧirigan,A,#99CCFF iflɔs,F,#CCFFCC tʊɣrɨ,B
U-Soy Mahalla 3,#CCFFCC tɔldər,B,#CCFFCC jaŋɪ,A,#CCFFCC ɛskʲɪ,B,#CCFFCC jaxSə,A,#CCFFCC jɔmɔn,A,#CCFFCC aʧigan,E,#99CCFF iflɔs,F,#CCFFCC tʊɣrɨ,B
U-Urtoqqishloq 1,#CCFFCC tʊla,A,#CCFFCC jaŋɪ,A,#99CCFF kəhna,A,#CCFFCC jaxSI,A,#CCFFCC jɔmɔn,A,#CCFFCC ʧɪrɪk,B,#99CCFF ʧɪrkin,I,#CCFFCC tɔɣrɨ,B
U-Urtoqqishloq 2,#CCFFCC tʉla,A,#CCFFCC jaŋɪ,A,#CCFFCC jeskɪ,B,#CCFFCC jaxSə,A,#CCFFCC jɔmɔn,A,#CCFFCC ʧɪrɪɣan,A,#99CCFF ɪflɔs,F,#CCFFCC tɔɣrə,B
U-Urtoqqishloq 3,#CCFFCC tʉlɜq,A,#CCFFCC jaŋe,A,#CCFFCC jɪskɪ,B,#CCFFCC jaxSə,A,#CCFFCC jɔmɔn,A,#CCFFCC ʧɪrɪɣan,A,#99CCFF ɪflɔs,F,#CCFFCC tʊɣrə,B
U-Urtoqqishloq 4,#CCFFCC tʊlɜq,A,#CCFFCC jaŋe,A,#CCFFCC jɪskɪ,B,#CCFFCC jaxSI,A,#CCFFCC jɔmɔn,A,#CCFFCC ʧɪrɪgan,A,#99CCFF ɪflɒs,F,#CCFFCC tʊɣrə,B
U-Zarmanak 3,,,#CCFFCC jaŋi,A,#CCFFCC ɪski,B,#CCFFCC jaxSI,A,#CCFFCC jɔmɔn,A,#CCFFCC ʧirigan,A,#CCFFCC kir,B,#CCFFCC tʉɣri,B
U-Zarmanak 4,#CCFFCC tʉlə,A,#CCFFCC jaŋi,A,#CCFFCC ɪski,B,#CCFFCC jaxSI,A,#CCFFCC jɔmɔ̃n,A,#CCFFCC jarɔqsɪz̥,F,#CCFFCC kɨr,B,#CCFFCC tʉɣrə,B
T-Agalyk,#99CCFF pʉrrak,G,#99CCFF naw,C,#99CCFF kʉhna,A,#99CCFF xub_0,D,#99CCFF bad̥,E,#99CCFF pusida,L,#99CCFF ʧirkin,I,#CCFFCC tuɣri,B
T-Kamangaron 1,#99CCFF pʊrra,G,#99CCFF naw,C,#99CCFF køhna,A,#99CCFF naGz,E,#99CCFF bad,E,#99CCFF pusidagi,L,#99CCFF ʧirkin,I,#99CCFF rɔst,H
T-Kamangaron 2,#99CCFF pʊr,H,#99CCFF naɔ,C,#99CCFF køhna,A,#99CCFF naGz,E,#99CCFF ganda,F,#99CCFF pəsidagi,L,#99CCFF ʧirkin,I,#99CCFF rɔst,H
T-Kamangaron 3,#99CCFF pʊrrak,G,#99CCFF naɔ,C,#99CCFF køhna,A,#99CCFF naGz̥,E,#99CCFF ganda,F,,,#99CCFF ʧirkin,I,#CCFFCC tuɣri,B
T-Kamangaron 4,#99CCFF pur,H,#99CCFF naɔ,C,#99CCFF køhna,A,#99CCFF naGz,E,#99CCFF ganda,F,#99CCFF pusida,L,#99CCFF ʧirkin,I,#CCFFCC tyɣri,B
T-Kaptarhona 1,#99CCFF pør,H,#99CCFF nau,C,#99CCFF køhna,A,#99CCFF naGəz,E,#99CCFF ganda,F,#99CCFF psidagi,L,#99CCFF ʧərk,I,#CCFFCC tʊɣri,B
T-Kaptarhona 2,#99CCFF pur,H,#99CCFF nɔv,C,#99CCFF kuhna,A,#99CCFF naGz,E,#99CCFF ganda,F,#99CCFF psidagi,L,#99CCFF ʧurk,I,#CCFFCC tuɣri,B
T-Kaptarhona 3,#99CCFF pər,H,#99CCFF naw,C,#99CCFF køhna,A,#99CCFF naGz,E,#99CCFF ganda,F,,,#99CCFF ʧørk,I,#CCFFCC tuɣri,B
T-Kaptarhona 4,#99CCFF pɨr,H,#99CCFF naw,C,#99CCFF køhna,A,#99CCFF naGz,E,#99CCFF ganda,F,#99CCFF psidas,L,#99CCFF iflɔs,F,#CCFFCC tɔɣri,B
T-Kaptarhona 5,#99CCFF pr̩,H,#99CCFF naw,C,#99CCFF kəhna,A,#99CCFF naGz,E,#99CCFF ganda,F,#99CCFF psidagi,L,#99CCFF ʧr̩k,I,#CCFFCC tuɣri,B
T-Navdî 1,#99CCFF purrɐ,G,#99CCFF nav,C,#99CCFF kuhna,A,#99CCFF xub_0,D,#99CCFF bad̥,E,#99CCFF pusidagi,L,#99CCFF ɣaʤ,H,#99CCFF rɔst,H
T-Navdî 2,#99CCFF purra,G,#99CCFF nav,C,#99CCFF kuhna,A,#99CCFF xUb_0,D,#99CCFF ganda,F,#99CCFF pusidagi,L,#99CCFF ɣaʤ,H,#99CCFF rɔsti,H
T-Navdî 3,#99CCFF pur,H,#99CCFF nav,C,#99CCFF kuhna,A,#99CCFF xUb_0,D,#99CCFF bezeb,G,#99CCFF pusidagi,L,#99CCFF iflɔs,F,#99CCFF rɔst,H
T-Nimich 1,#99CCFF pur,H,#99CCFF naw,C,#99CCFF kuhna,A,#99CCFF naGz̥,E,#99CCFF ganda,F,#99CCFF buginik,M,#99CCFF ɣaʒd,H,#99CCFF rɔstaki,I
T-Nimich 2,#99CCFF pur,H,#99CCFF naw,C,#99CCFF kuhna,A,#99CCFF naGz,E,#99CCFF bad,E,#99CCFF pusida,L,#99CCFF ɣaʒd,H,#99CCFF rɔst,H
T-Nimich 3,#99CCFF pr̩,H,#99CCFF naw,C,#99CCFF kəhna,A,#99CCFF xUb_0,D,#99CCFF ganda,F,#99CCFF pusidagi,L,#99CCFF ɣajʤ,H,#99CCFF rɔst,H
T-Nimich 4,#99CCFF pr̩,H,#99CCFF naw,C,#99CCFF kəhna,A,#99CCFF xUp,D,#99CCFF ganda,F,#99CCFF pusidagi,L,#99CCFF ɣajʤ,H,#99CCFF rɔst,H
T-Novmetan 1,,,#99CCFF naw,C,#99CCFF kʉna,A,#99CCFF sara,F,#99CCFF ganda,F,#99CCFF ganda,N,#99CCFF raswɔ,M,#CCFFCC tʉɣri,B
T-Novmetan 2,#99CCFF pur,H,#99CCFF naw,C,#99CCFF kʉjna,A,#99CCFF sara,F,#99CCFF ganda,F,,,#99CCFF ʧirkin,I,#99CCFF rɔs,H
T-Nûshor 1,#99CCFF pr̩,H,#99CCFF naw,C,#99CCFF kəhna,A,#99CCFF naGz,E,#99CCFF ganda,F,#99CCFF pusida,L,#99CCFF ɣaʒd,H,#99CCFF rɔstaki,I
T-Nûshor 2,#99CCFF pur,H,#99CCFF naw,C,#99CCFF kʊhna,A,#99CCFF naGz,E,#99CCFF ganda,F,#99CCFF buj,O,#99CCFF ʤazir,O,#99CCFF rɔst,H
T-Nûshor 3,#99CCFF pərɐ,G,#99CCFF naw,C,#99CCFF kəhnɐ,A,#99CCFF xUb,D,#99CCFF ganda,F,#99CCFF pusidagi,L,#99CCFF ɣaʒd,H,#99CCFF rɔstaki,I
T-Rishtan 1,#99CCFF pyrə,G,#99CCFF naw,C,#99CCFF kuhna,A,#99CCFF naGz,E,#99CCFF ganda,F,#99CCFF posidagi,L,#99CCFF ʧirkin,I,#CCFFCC tuɣrə,B
T-Rishtan 2,#99CCFF pør,H,#99CCFF naw,C,#99CCFF kuhna,A,#99CCFF naGz,E,#99CCFF gændæ,F,#99CCFF tɔsidagi,L,#99CCFF harɔm,N,#CCFFCC tuɣrə,B
T-Rishtan 3,#99CCFF pyr,H,#99CCFF naw,C,#99CCFF kuhna,A,#99CCFF naGz,E,#99CCFF ganda,F,#99CCFF tɔsdagɪ,L,#99CCFF ʧirkin,I,#CCFFCC tuɣrə,B
T-Shink 1,#99CCFF pr̩,H,#99CCFF naw,C,#99CCFF kʉhna,A,#99CCFF naGz,E,#99CCFF ganda,F,,,#99CCFF ʧirkin,I,#99CCFF rɔst,H
T-Shink 2,#99CCFF pr̩,H,#99CCFF nav,C,#99CCFF kʉna,A,#99CCFF naGz,E,#99CCFF ganda,F,,,#99CCFF ʧirkin,I,#99CCFF rɔst,H
T-Shink 3,#99CCFF pr̩,H,#99CCFF nav,C,#99CCFF kʉhna,A,#99CCFF naGz,E,#99CCFF ganda,F,#99CCFF pəsidagi,L,#99CCFF ʧirkin,I,#99CCFF rɔst,H
T-Urmetan 1,#99CCFF pʊr,H,#99CCFF naw,C,#99CCFF kʉhna,A,#99CCFF naGz,E,#99CCFF ganda,F,#99CCFF pusidagi,L,#99CCFF ʧirkin,I,#99CCFF rɔst,H
T-Urmetan 2,#99CCFF pərra,G,#99CCFF nav,C,#99CCFF kʉna,A,#99CCFF naGz,E,#99CCFF ganda,F,#99CCFF ganda,N,#99CCFF ʧirkin,I,#99CCFF rɔst,H
T-Urmetan 3,#99CCFF pr̩,H,#99CCFF naw,C,#99CCFF kʉhna,A,#99CCFF naGz,E,#99CCFF bad̥,E,#99CCFF pʉsidan,L,#99CCFF ʧirkin,I,#99CCFF rɔst,H
T-Urmetan 4,#99CCFF pr̩,H,#99CCFF naw,C,#99CCFF kʉhna,A,#99CCFF naGz,E,#99CCFF ganda,F,,,#99CCFF ʧirkin,I,#99CCFF rɔst,H
T-Zarmanak 1,#99CCFF pur,H,#99CCFF naw,C,#99CCFF kʉhna,A,#99CCFF naGz,E,#99CCFF ganda,F,#99CCFF pʉsidagi,L,#99CCFF ʧirkin,I,#99CCFF rɔst,H
T-Zarmanak 2,#99CCFF pur,H,#99CCFF naw,C,#99CCFF kʉjna,A,#99CCFF naGz,E,#99CCFF ganda,F,#99CCFF pʉsdagi,L,#99CCFF ʧirkin,I,#CCFFCC tʉɣri,B
Y-Dugova 1,#99CCFF pʊn,H,#99CCFF naw,C,#99CCFF kuhna,A,#99CCFF naGz,E,#99CCFF ganda,F,#99CCFF vajruna,P,#99CCFF ʧirkin,I,#CCFFCC tuɣri,B
Y-Dugova 2,#99CCFF pʊn,H,#99CCFF nava,C,#99CCFF kʉhna,A,#99CCFF xUSrU:,G,#99CCFF bekora,H,#99CCFF putagi,Q,#99CCFF ʧirkin,I,#99CCFF ald,J
Y-Safedorak 1,#99CCFF pʊn,H,#99CCFF nava,C,#99CCFF kuhna,A,#99CCFF xUp,D,#99CCFF ganda,F,#99CCFF xʊma,R,#99CCFF ʧirkin,I,#99CCFF ald̥,J
Y-Safedorak 2,#99CCFF pʊn,H,#99CCFF nava,C,#99CCFF kuhna,A,#99CCFF xUrSU:,G,#99CCFF ganda,F,#99CCFF pʊtax,Q,#99CCFF ʧirkin,I,#99CCFF ald̥,J
Y-Safedorak 3,,,,,,,,,,,,,,,,
