Informant,who ?,who ?,what ?,what ?,where ?,where ?,when ?,when ?,how ?,how ?,not,not,other,other
T-Kamangaron 2,#99CCFF ki,B,#99CCFF ʧi,F,#99CCFF guʤɔva,E,#99CCFF kajba,F,#99CCFF ʧxel,G,#99CCFF ne,B,#99CCFF digar,E
T-Kamangaron 3,,,#99CCFF ʧi,F,#99CCFF kuʧɔva,E,#99CCFF kajba,F,#99CCFF ʧtu,H,#99CCFF nʲe,B,#99CCFF digar,E
T-Kamangaron 4,#99CCFF ki,B,#99CCFF ʧi,F,#99CCFF guʤɔwa,E,#99CCFF kaj,D,#99CCFF ʧxel,G,#99CCFF ne,B,#99CCFF digar,E
T-Kaptarhona 1,#99CCFF kiaj,C,#99CCFF ʧiaj,G,#99CCFF dagiʤɔ,F,#99CCFF kaj,D,#99CCFF ʧiː,I,#99CCFF nʲest,C,#99CCFF digaʃ,E
T-Kaptarhona 2,#99CCFF ki,B,#99CCFF ʧi,F,#99CCFF darguʒɔ,F,#99CCFF kaj,D,#99CCFF istarɔn,J,#99CCFF nʲest,C,#99CCFF digar,E
T-Kaptarhona 3,#99CCFF kiaj,C,#99CCFF ʧiaj,G,#99CCFF dargiʤɔ,F,#99CCFF kaj,D,#99CCFF istɔrɔ,J,#99CCFF nʲest,C,#99CCFF digar,E
T-Kaptarhona 4,#99CCFF ki,B,#99CCFF ʧi,F,#99CCFF tagiʤɔ,F,#99CCFF kaj,D,#99CCFF isrɔ,J,#99CCFF nʲes,C,#99CCFF digar,E
T-Kaptarhona 5,#99CCFF ki,B,#99CCFF ʧi,F,#99CCFF dagiʤʲɔ,F,#99CCFF kaj,D,#99CCFF istruki,K,#99CCFF nʲɛ,B,#99CCFF digaʃ,E
T-Navdî 1,#99CCFF kiː,B,#99CCFF ʧiː,F,#99CCFF darkuʤɔ,F,#99CCFF kaj,D,#99CCFF ʧigʊna,L,#99CCFF ne,B,#99CCFF digar,E
T-Navdî 2,#99CCFF kiː,B,#99CCFF ʧiː,F,#99CCFF darkuʤɔ,F,#99CCFF kaj,D,#99CCFF ʧxel,G,#99CCFF ne,B,#99CCFF digar,E
T-Navdî 3,#99CCFF kiː,B,#99CCFF ʧiː,F,#99CCFF kuʤɔva,D,#99CCFF kaj,D,#99CCFF ʧxel,G,#99CCFF nezd,C,#99CCFF digar,E
T-Nimich 1,#99CCFF kiː,B,#99CCFF ʧiː,F,#99CCFF kuʤɔβa,D,#99CCFF kaj,D,#99CCFF ʧxel,G,#99CCFF ne,B,#99CCFF digar,E
T-Nimich 2,#99CCFF kiˑ,B,#99CCFF ʧiː,F,#99CCFF darkuʤɔ,F,#99CCFF kadomvaxt,E,#99CCFF ʧxel,G,#99CCFF nest,C,,
T-Nimich 3,#99CCFF kiː,B,#99CCFF ʧiː,F,#99CCFF darkuʤɔ,F,#99CCFF kaj,D,#99CCFF ʧxel,G,#99CCFF nest,C,#99CCFF digar,E
T-Nimich 4,#99CCFF kiː,B,#99CCFF ʧiː,F,#99CCFF darkʉʤɔ,F,#99CCFF kaj,D,#99CCFF ʧxel,G,#99CCFF nest,C,#99CCFF dəgar,E
T-Novmetan 1,#99CCFF ki,B,,,#99CCFF giʤʲoba,E,#99CCFF kaj,D,#99CCFF ʧinaw,M,#99CCFF ne,B,#99CCFF digar,E
T-Novmetan 2,,,,,,,#99CCFF kajba,F,#99CCFF ʧtʉ,H,#99CCFF ne,B,,
T-Nûshor 1,#99CCFF kiː,B,#99CCFF ʧiː,F,#99CCFF darkuʤɔ,F,#99CCFF kaj,D,#99CCFF ʧxel,G,#99CCFF ne,B,#99CCFF digar,E
T-Nûshor 2,#99CCFF kiː,B,#99CCFF ʧiː,F,#99CCFF kuʤɔ,C,#99CCFF kaj,D,,,#99CCFF nest,C,#99CCFF digar,E
T-Nûshor 3,#99CCFF kiː,B,#99CCFF ʧiː,F,#99CCFF darkuʤɔ,F,#99CCFF kaj,D,#99CCFF ʧxɪl,G,#99CCFF ne,B,#99CCFF digar,E
T-Rishtan 1,#99CCFF ki,B,#99CCFF sʲeˑ,F,#99CCFF guʤɔnda,D,#99CCFF kaj,D,#99CCFF ʧʲitʲin,N,#99CCFF ne,B,#99CCFF digar,E
T-Rishtan 2,#99CCFF ki,B,#99CCFF ʧi,F,#99CCFF guʤɔnda,D,#99CCFF kaj,D,#99CCFF ʧxɛl,G,#99CCFF nʲɛst,C,#99CCFF digar,E
T-Rishtan 3,#99CCFF ki,B,#99CCFF seː,F,#99CCFF guʤɔnda,D,#99CCFF kajβa,F,#99CCFF ʧtin,N,#99CCFF nʲe,B,,
T-Shink 1,#99CCFF kɪst,B,#99CCFF ʧist,F,#99CCFF kane,G,#99CCFF kaj,D,#99CCFF ʧxel,G,#99CCFF nɪst,C,#99CCFF digar,E
T-Shink 2,#99CCFF kiː,B,#99CCFF ʧiː,F,#99CCFF guʤɔba,E,#99CCFF kaj,D,#99CCFF ʧxel,G,#99CCFF ne,B,#99CCFF digar,E
T-Shink 3,#99CCFF kiː,B,#99CCFF ʧiː,F,#99CCFF kʊʒɔ,C,#99CCFF kaj,D,#99CCFF ʧxel,G,#99CCFF nɪst,C,#99CCFF digar,E
T-Urmetan 1,#99CCFF kiː,B,#99CCFF ʧiː,F,#99CCFF kuʤoba,E,#99CCFF kajvaxt,G,#99CCFF ʧxel,G,#99CCFF nest,C,#99CCFF digar,E
T-Urmetan 2,#99CCFF kʲiː,B,#99CCFF ʧiː,F,#99CCFF kane,G,#99CCFF kaj,D,#99CCFF ʧxel,G,#99CCFF ne,B,#99CCFF digar,E
T-Urmetan 3,#99CCFF kiː,B,#99CCFF ʧiː,F,#99CCFF kyʤɔ,C,#99CCFF kaj,D,#99CCFF ʧxel,G,#99CCFF nest,C,#99CCFF digar,E
T-Urmetan 4,#99CCFF kiː,B,#99CCFF ʧiː,F,#99CCFF guʤɔ,C,#99CCFF kadomvaxt,E,#99CCFF ʧxel,G,#99CCFF nəʃə,C,#99CCFF digar,E
T-Zarmanak 1,#99CCFF kiː,B,#99CCFF ʧiː,F,#99CCFF giʤoba,E,#99CCFF kaj,D,#99CCFF ʧtə,H,#99CCFF ne,B,#99CCFF digiʃ,E
T-Zarmanak 2,#99CCFF ki,B,#99CCFF ʧi,F,#99CCFF guʤɔba,E,#99CCFF kaj,D,#99CCFF ʧtə,H,#99CCFF ne,B,#99CCFF diga,E
Y-Dugova 1,#99CCFF kiː,B,,,#99CCFF kuʤoba,E,#99CCFF kadomvaxt,E,#99CCFF ʧixel,G,#99CCFF nʲist,C,#99CCFF digar,E
Y-Dugova 2,#99CCFF kax,E,#99CCFF ʧɔx,H,#99CCFF kʊ,H,#99CCFF kad,H,#99CCFF ʧʉtti,O,#99CCFF naː,B,#99CCFF ani,F
Y-Safedorak 1,#99CCFF kax,E,#99CCFF ʧɔ,H,#99CCFF kumɔka,I,#99CCFF kad,H,#99CCFF ʧuti,O,#99CCFF na,B,#99CCFF ani,F
Y-Safedorak 2,#99CCFF kax,E,#99CCFF ʧɔ,H,#99CCFF kumɔkɔ,I,#99CCFF kad,H,#99CCFF ʧuti,O,#99CCFF naː,B,#99CCFF ani,F
Y-Safedorak 3,#99CCFF kax,E,#99CCFF ʧɔː,H,#99CCFF kumɔka,I,#99CCFF kad,H,#99CCFF ʧutti,O,#99CCFF naˑ,B,#99CCFF axti,G
