Informant,to cut,to cut,to push,to push,to scratch,to scratch,to dig,to dig,to swim,to swim,to fly,to fly,to walk,to walk
Ka-Raushan 4,#CCFFCC kʲesʊː,A,#CCFFCC itʲerʊː,A,#CCFFCC tɨrnaʊ,A,#CCFFCC qazʊː,A,#CCFFCC ʒɪzʊː,A,#CCFFCC ɪʃʊː,A,#CCFFCC parʊː,C
Ki-Akmuz 1,#CCFFCC kʲesyː,A,#CCFFCC tyrtyː,B,#CCFFCC tɨrmɔː,A,#CCFFCC qazʊː,A,#CCFFCC syzyː,A,#CCFFCC uʧuː,A,#CCFFCC baruː,C
Ki-Akmuz 2,#CCFFCC kʲesyː,A,#CCFFCC tyrtyː,B,#CCFFCC tɨtʊː,C,#CCFFCC qazʊː,A,#CCFFCC syzyː,A,#CCFFCC uʧuː,A,#CCFFCC basuː,C
Ki-Akmuz 3,#CCFFCC kʲesyː,A,#CCFFCC tyrtyː,B,#CCFFCC tɨrmɔː,A,#CCFFCC qazʊː,A,#CCFFCC syzyː,A,#CCFFCC uʧuː,A,#CCFFCC baruː,C
Ki-Barskoon,#CCFFCC kʲesyː,A,#CCFFCC tʉrtyː,B,#CCFFCC tɨrmɔː,A,#CCFFCC qazʊː,A,#CCFFCC syzyː,A,#CCFFCC uʧuː,A,#CCFFCC kʲetyː,B
Ki-Kulanak 1,,,,,#CCFFCC tɨtʊː,C,#CCFFCC qazʊː,A,#CCFFCC syzyː,A,#CCFFCC uʧuː,A,#CCFFCC kʲetyː,B
Ki-Kulanak 2,#CCFFCC gʲesyː,A,#CCFFCC tyrtyː,B,#CCFFCC tɨtʊː,C,#CCFFCC qazʊː,A,#CCFFCC syzyː,A,#CCFFCC uʧuː,A,#CCFFCC baruː,C
Ki-Kulanak 3,#CCFFCC gʲes,A,#CCFFCC tyrt,B,#CCFFCC tɨt,C,#CCFFCC qaz̥,A,#CCFFCC syz̥,A,#CCFFCC uʧ,A,#CCFFCC bas,C
Ki-Kulanak 4,#CCFFCC kʲesyː,A,#CCFFCC tyrtyː,B,#CCFFCC tɨrmɔː,A,#CCFFCC qazʊː,A,#CCFFCC syzyː,A,#CCFFCC uʧuː,A,#CCFFCC baruː,C
Ki-Kulanak 5,#CCFFCC gʲesyː,A,#CCFFCC tyrtyː,B,#CCFFCC tɨtʊː,C,#CCFFCC qazʊː,A,#CCFFCC syzyː,A,#CCFFCC uʧuː,A,#CCFFCC bas,C
Ki-Orday 1,#CCFFCC kʲesɪʃ,A,#CCFFCC tʉrtɪʃ,B,#CCFFCC ʒɨrmalaʃ,B,#CCFFCC qɒzɪʃ,A,#CCFFCC sʉzɪʃ,A,#CCFFCC ʉʧɪʃ,A,#CCFFCC jyrɪʃ,A
Ki-Orday 2,#CCFFCC kʲesɛm,A,#CCFFCC tyrtəm,B,#CCFFCC tɨrnaɪm,A,#99CCFF kaβlɛm,B,#CCFFCC syzəm,A,#CCFFCC ʉʧam,A,#CCFFCC kʲetɛm,B
Ki-Orday 3,#CCFFCC kʲesɛt,A,#CCFFCC iterɛt,A,#CCFFCC tarajt,A,#99CCFF ʧavɛt,B,#CCFFCC syzət,A,#CCFFCC uʧat,A,#CCFFCC kʲetə,B
Ki-Orday 4,#CCFFCC kʲesyː,A,#CCFFCC tyrtʊː,B,#CCFFCC tɨrmoː,A,#CCFFCC qazʊː,A,#CCFFCC syzyː,A,#CCFFCC yʧʊː,A,#CCFFCC kʲetʊː,B
Ki-Tamga,#CCFFCC kʲesyː,A,#CCFFCC tyrtyː,B,#CCFFCC tɨtʊː,C,#CCFFCC qazʊː,A,#CCFFCC syzyː,A,#CCFFCC uʧuː,A,#CCFFCC kʲette,B
KK-Halqabad 1,#CCFFCC kʲesʊː,A,#CCFFCC itʲerʊ,A,#CCFFCC tɨrnaʊ,A,#CCFFCC qazʊː,A,#CCFFCC ʒɨzʊː,A,#CCFFCC ʊʃʊː,A,#CCFFCC ʒʉrʊː,A
KK-Halqabad 2,#CCFFCC kʲesʊː,A,#CCFFCC itʲerʊ,A,#CCFFCC tɨrnaʊ,A,#CCFFCC qazʊː,A,#CCFFCC ʒɨzʊː,A,#CCFFCC ʊʃʊː,A,#CCFFCC ʒʉrʊː,A
KK-Halqabad 3,#CCFFCC kʲesʊː,A,#CCFFCC itʲerʊ,A,#CCFFCC tɨrnaʊ,A,#CCFFCC qazʊː,A,#CCFFCC ʒɨzʊː,A,#CCFFCC ʊʃʊː,A,#CCFFCC ʒʉrʊː,A
KK-Kokdarya 1,#CCFFCC kʲesʊː,A,#CCFFCC itʲerʊ,A,#CCFFCC tɨrnaʊ,A,#CCFFCC qazʊː,A,#CCFFCC ʤʉzʊː,A,#CCFFCC ʊʃʊː,A,#CCFFCC kʲettə,B
KK-Kokdarya 2,#CCFFCC kʲesʊː,A,#CCFFCC itʲerʊ,A,#CCFFCC tɨrnaʊ,A,#CCFFCC qazʊː,A,#CCFFCC ʤʉzʊː,A,#CCFFCC ʊʃʊː,A,#CCFFCC barʊː,C
KK-Kokdarya 3,#CCFFCC kʲesʊː,A,#CCFFCC itʲerʊ,A,#CCFFCC tɨrnaʊ,A,#CCFFCC qazʊː,A,#CCFFCC ʤʉzʊː,A,#CCFFCC ʊʃʊː,A,#CCFFCC barʊː,C
KK-Kokdarya 4,#CCFFCC kʲesʊː,A,#CCFFCC itʲerʊ,A,#CCFFCC tɨrnap,A,#CCFFCC qazʊː,A,#CCFFCC ʤʉzʊː,A,#CCFFCC ʊʃʊː,A,#CCFFCC kʲetʊ,B
KK-Shege 1,#CCFFCC kʲesʊː,A,#CCFFCC itʲerʊ,A,#CCFFCC tɨrnaʊ,A,#CCFFCC qazʊː,A,#CCFFCC ʒɨzʊː,A,#CCFFCC ʊʃʊː,A,#CCFFCC kʲetʊ,B
KK-Shege 2,#CCFFCC kʲesʊː,A,#CCFFCC itʲerʊ,A,#CCFFCC tɨrnaʊ,A,#CCFFCC qazʊː,A,#CCFFCC ʒɨzʊː,A,#CCFFCC ʉʃʊː,A,#CCFFCC kʲetʊ,B
KK-Shege 3,#CCFFCC kʲesʊː,A,#CCFFCC itʲerʊ,A,#CCFFCC tɨrnaʊ,A,#CCFFCC qazʊː,A,#CCFFCC ʒɨzʊː,A,#CCFFCC ʉʃʊː,A,#CCFFCC ʒʉrʊː,A
KK-Shege 4,#CCFFCC kʲesʊː,A,#CCFFCC itʲerʊ,A,#CCFFCC tɨrnaʊ,A,#CCFFCC qazʊː,A,#CCFFCC ʒɨzʊː,A,#CCFFCC ʊʃʊː,A,#CCFFCC parʊː,C
U-Hitoy 1,#CCFFCC kʲesʊː,A,#CCFFCC itʲerʊ,A,#CCFFCC tɨrnaʊ,A,#CCFFCC qazʊː,A,#CCFFCC sʉzʊː,A,#CCFFCC uʧʊː,A,#CCFFCC barʊː,C
U-Hitoy 2,#CCFFCC kʲesʊː,A,#CCFFCC iterʊ,A,#CCFFCC tɨrnaʊ,A,#CCFFCC qazʊː,A,#CCFFCC ʤɨzʊː,A,#CCFFCC ʊʧʊː,A,#CCFFCC ʤʉrʊː,A
U-Hitoy 3,#CCFFCC kʲesʊː,A,#CCFFCC tʉrtʊː,B,#CCFFCC tɨrnaʊ,A,#CCFFCC qazʊː,A,#CCFFCC ʤɨzʊː,A,#CCFFCC ʉʃʊː,A,#CCFFCC parʊː,C
U-Novmetan 3,#CCFFCC kesiʃ,A,#CCFFCC itaraʃ,A,#CCFFCC tɨrnaʃ,A,#99CCFF kɔvlaʃ,B,#CCFFCC suziʃ,A,#CCFFCC uʧiʃ,A,#CCFFCC jyriʃ,A
U-Soy Mahalla 1,#CCFFCC kʲetmɔq,A,#CCFFCC itariʃ,A,#CCFFCC tɨrnamɔq,A,#99CCFF kaβlaʃ,B,#CCFFCC sʉzmɔq,A,#CCFFCC yʧmɔq,A,#CCFFCC bormɔq,C
U-Soy Mahalla 2,#CCFFCC kʲetmɔq,A,#CCFFCC tʉrtmɔq,B,#CCFFCC tɨrnamɔq,A,#99CCFF ʧaβlamɔq,B,#CCFFCC sʉndərmɔq,B,#CCFFCC ʉʧmɔq,A,#CCFFCC barmɔq,C
U-Soy Mahalla 3,#CCFFCC kʲesiʃ,A,#CCFFCC itariʃ,A,#CCFFCC jʉliʃ,D,#99CCFF kaβlaʃ,B,#CCFFCC sʉziʃ,A,#CCFFCC ʉʧiʃ,A,#CCFFCC kʲetɪʃ,B
U-Urtoqqishloq 1,#CCFFCC kesiʃ,A,#CCFFCC itariʃ,A,#CCFFCC jylmɔq,D,#99CCFF kavlamɔq,B,#CCFFCC sʉziʃ,A,#CCFFCC uʧɪʃ,A,#CCFFCC kʲetɪʃ,B
U-Urtoqqishloq 2,#CCFFCC kʲesmɔq,A,#CCFFCC itarmɔq,A,#CCFFCC tɪrnamɔq,A,#99CCFF kaβlamɔq,B,#CCFFCC suzmɔq,A,#CCFFCC uʧmɔq,A,#CCFFCC kʲettə,B
U-Urtoqqishloq 3,#CCFFCC kʲesmɔq,A,#CCFFCC itarmɔq,A,#CCFFCC tɪrnamɔq,A,#99CCFF kaβlamɔq,B,#CCFFCC suzmɔq,A,#CCFFCC uʧmɔq,A,#CCFFCC kʲetmɔq,B
U-Urtoqqishloq 4,#CCFFCC kʲesmɔq,A,#CCFFCC ɪtarɪʃ,A,#CCFFCC kaʃlamɔq,E,#99CCFF kɔvlamɔq,B,#CCFFCC sʉzmɔq,A,#CCFFCC uʧɪʃ,A,#CCFFCC bərmɔq,C
U-Zarmanak 3,#CCFFCC kʲesiʃ,A,#CCFFCC itariʃ,A,#CCFFCC xastakəlmɔq,F,#99CCFF kɔvlaʃ,B,#CCFFCC suziʃ,A,#CCFFCC uʧiʃ,A,#CCFFCC juriʃ,A
U-Zarmanak 4,#CCFFCC kʲesmɔq,A,#CCFFCC itarmɔq,A,#CCFFCC tərnamɔq,A,#99CCFF kɔwlamɔq,B,#CCFFCC suzmɔq,A,#CCFFCC uʧmɔq,A,#CCFFCC jyrmɔq,A
T-Agalyk,#99CCFF bʊridan,C,#99CCFF tʲela,D,#99CCFF xarɔʃidan,H,#99CCFF kɔftan,B,#99CCFF ɔbbɔzi,F,#99CCFF paridan,B,#99CCFF raftan,D
T-Kamangaron 1,#99CCFF buridan,C,#99CCFF tʲela,D,#99CCFF xanʤɔla,J,#99CCFF koftan,B,#99CCFF ʃinɔ,G,#99CCFF paridan,B,#99CCFF raftan,D
T-Kamangaron 2,#99CCFF buridan,C,#99CCFF tela,D,#99CCFF xanʤɔla,J,#99CCFF kɔftan,B,#99CCFF habɔzi,F,#99CCFF paridan,B,#99CCFF raftan,D
T-Kamangaron 3,#99CCFF ʧɔ,D,#99CCFF tala,D,#99CCFF xanʤɔra,J,#99CCFF koftan,B,,,#99CCFF paridan,B,,
T-Kamangaron 4,#FF99CC rʲeza,E,#99CCFF tela,D,#99CCFF xanʤɔ,J,#99CCFF koftan,B,#99CCFF habɔzi,F,#99CCFF paridan,B,#99CCFF raftan,D
T-Kaptarhona 1,#99CCFF bridan,C,#99CCFF tela,D,#99CCFF xør,H,#99CCFF koftan,B,#99CCFF haβozi,F,#99CCFF paridan,B,#99CCFF raftan,D
T-Kaptarhona 2,#99CCFF bəridan,C,#99CCFF tela,D,#99CCFF xur,H,#99CCFF koftan,B,#99CCFF awvozi,F,#99CCFF paridan,B,#99CCFF raftan,D
T-Kaptarhona 3,#99CCFF mebaram,C,#99CCFF tela,D,#99CCFF xra,H,#99CCFF mekanom,C,,,#99CCFF meparam,B,#99CCFF meram,D
T-Kaptarhona 4,#99CCFF bridan,C,#99CCFF tela,D,#99CCFF xør,H,#99CCFF koftan,B,#99CCFF habozi,F,#99CCFF paridan,B,#99CCFF gaʃtan,E
T-Kaptarhona 5,#99CCFF bridan,C,#99CCFF tela,D,#99CCFF xr̩,H,#99CCFF koftan,B,#99CCFF habozi,F,#99CCFF paridan,B,#99CCFF raftan,D
T-Navdî 1,#99CCFF buridan,C,#99CCFF tela,D,#99CCFF xərɔʃidan,H,#99CCFF koftan,B,#99CCFF ɔbɔzi,F,#99CCFF paridan,B,#99CCFF raftan,D
T-Navdî 2,#99CCFF ara,F,#99CCFF tʲela,D,#99CCFF xaroʃidan,H,#99CCFF kandan,C,#99CCFF ʃino,G,#99CCFF parvɔz,C,#99CCFF raftan,D
T-Navdî 3,#99CCFF buridan,C,#99CCFF tela,D,#99CCFF xaroʃidan,H,#99CCFF kandan,C,#99CCFF ɔbɔzi,F,#99CCFF parvɔz,C,#99CCFF raftan,D
T-Nimich 1,#99CCFF buridan,C,#99CCFF tʲela,D,#99CCFF kandan,K,#99CCFF kandan,C,#99CCFF ɔbɔzi,F,#99CCFF paridan,B,#99CCFF raftan,D
T-Nimich 2,#99CCFF buridan,C,#99CCFF tʲela,D,#99CCFF xarɔʃidan,H,#99CCFF kandan,C,#99CCFF ʃino,G,#99CCFF paridan,B,,
T-Nimich 3,#99CCFF buridan,C,#99CCFF tʲela,D,#99CCFF xərɔʃidan,H,#99CCFF kɔftan,B,#99CCFF ɔbɔzi,F,#99CCFF parvɔz,C,#99CCFF raftan,D
T-Nimich 4,#99CCFF buridan,C,#99CCFF tela,D,#99CCFF xərɔʃidan,H,#99CCFF kɔftan,B,#99CCFF ɔbɔzi,F,#99CCFF parvɔz,C,#99CCFF raftan,D
T-Novmetan 1,#99CCFF buridan,C,#99CCFF tʲela,D,#99CCFF xanʤɔl,J,#99CCFF kandan,C,#99CCFF ɔbɔzi,F,#99CCFF paridan,B,#99CCFF raftan,D
T-Novmetan 2,#99CCFF buridan,C,#99CCFF tʲela,D,#99CCFF xanʤɔl,J,#99CCFF kɔftan,B,#99CCFF ɔb,F,#99CCFF paridan,B,#99CCFF raw,D
T-Nûshor 1,#99CCFF bəridan,C,#99CCFF tʲela,D,#99CCFF kandan,K,#99CCFF kɔftan,B,#99CCFF ɔbɔzi,F,#99CCFF parvɔz,C,#99CCFF raftan,D
T-Nûshor 2,#99CCFF buridan,C,#99CCFF tʲela,D,#99CCFF kandan,K,,,#99CCFF ɔbɔzi,F,#99CCFF paridan,B,#99CCFF biʊ,F
T-Nûshor 3,#99CCFF bəridan,C,#99CCFF tʲela,D,#99CCFF xəroʃidan,H,#99CCFF kandan,C,#99CCFF ʃinɔ,G,#99CCFF paridan,B,#99CCFF raftan,D
T-Rishtan 1,#99CCFF buridan,C,#99CCFF tela,D,#99CCFF kandan,K,#99CCFF koftan,B,#99CCFF randa,H,#99CCFF paridan,B,#99CCFF raftan,D
T-Rishtan 2,#99CCFF buridan,C,#99CCFF tʲela,D,#99CCFF kandan,K,#99CCFF koftan,B,#99CCFF jandɛ,H,#99CCFF paridan,B,#99CCFF raftan,D
T-Rishtan 3,#99CCFF børidan,C,#99CCFF tela,D,#99CCFF kandan,K,#99CCFF koftan,B,#99CCFF janda,H,#99CCFF paridan,B,#99CCFF raftan,D
T-Shink 1,#99CCFF bəridan,C,#99CCFF tela,D,#99CCFF kandan,K,#99CCFF kɔftan,B,#99CCFF landa,H,#99CCFF paridan,B,#99CCFF raftan,D
T-Shink 2,#99CCFF majda,G,#99CCFF tela,D,#99CCFF xarɔʃidan,H,#99CCFF kandan,C,#99CCFF ʃino,G,#99CCFF paridan,B,#99CCFF raftan,D
T-Shink 3,#99CCFF bəridan,C,#99CCFF tela,D,#99CCFF xarɔʃidan,H,#99CCFF kɔftan,B,#99CCFF ʃino,G,#99CCFF paridan,B,#99CCFF raftan,D
T-Urmetan 1,#99CCFF buridan,C,#99CCFF tela,D,#99CCFF ɣɔzidan,L,#99CCFF kɔftan,B,#99CCFF ɔbɔzi,F,#99CCFF paridan,B,#99CCFF raftan,D
T-Urmetan 2,#99CCFF bəridan,C,#99CCFF tela,D,#99CCFF xaroʃidan,H,#99CCFF kɔftan,B,#99CCFF ɔbɔzi,F,#99CCFF paridan,B,#99CCFF raftan,D
T-Urmetan 3,#99CCFF bəridan,C,#99CCFF tela,D,#99CCFF xar,H,#99CCFF kɔftan,B,#99CCFF ʃino,G,#99CCFF parvɔz,C,#99CCFF raftan,D
T-Urmetan 4,#99CCFF bəridan,C,#99CCFF tela,D,#99CCFF ɣɔzidan,L,#99CCFF kɔftan,B,,,#99CCFF paridan,B,#99CCFF raftan,D
T-Zarmanak 1,#99CCFF buridan,C,#99CCFF tela,D,#99CCFF xanʤɔl,J,#99CCFF kandan,C,#99CCFF ɔb,F,#99CCFF paridan,B,#99CCFF raftan,D
T-Zarmanak 2,#99CCFF buridan,C,#99CCFF tela,D,#99CCFF xanʤɔl,J,#99CCFF kɔftan,B,#99CCFF ɔb,F,#99CCFF paridan,B,#99CCFF raftan,D
Y-Dugova 1,#99CCFF pakaʃ,H,#99CCFF telɐ,D,#99CCFF akanimʃ,K,#99CCFF akanim,C,#99CCFF ɔbɔzi,F,#99CCFF aparim,B,#99CCFF atirim,G
Y-Dugova 2,#FF99CC rezai,E,#99CCFF telai,D,#99CCFF xarajsak,H,#99CCFF kanak,C,#99CCFF ɔbbɔzi,F,#99CCFF parak,B,#99CCFF tirak,G
Y-Safedorak 1,#99CCFF majdai,G,#99CCFF tʲelɪ,D,#99CCFF kanak,K,#99CCFF koβak,B,#99CCFF ɔbɔzi,F,#99CCFF furak,B,#99CCFF tirak,G
Y-Safedorak 2,#99CCFF kʊʃak,I,#99CCFF tʲelɪ,D,#99CCFF xʊrʊʃak,H,#99CCFF kanak,C,,,#99CCFF furak,B,#99CCFF tirak,G
Y-Safedorak 3,,,,,,,,,,,,,,
