Informant,blood,blood,bone,bone,fat,fat,egg,egg,horn,horn,tail,tail,feather,feather,hair,hair
Ka-Raushan 4,#CCFFCC qan,A,#CCFFCC sʉjøk,A,#CCFFCC maj,A,#99CCFF tqʊm,C,#CCFFCC myjyz̥,A,#CCFFCC kyjrɔq,A,#CCFFCC ʒɪm,F,#CCFFCC ʧas,A
Ki-Akmuz 1,#CCFFCC qan,A,#CCFFCC søːjøk,A,#CCFFCC maj,A,#CCFFCC ʤumurtqa,A,#CCFFCC myjyz̥,A,#CCFFCC qʉjruq,A,#CCFFCC qanat,A,#CCFFCC ʧaʧ,A
Ki-Akmuz 2,#CCFFCC qan,A,#CCFFCC sɨːjøk,A,#CCFFCC maj,A,#CCFFCC ʤumurtqa,A,#CCFFCC myjyz̥,A,#CCFFCC qʉjruq,A,#CCFFCC qanat,A,#CCFFCC ʧaʧ,A
Ki-Akmuz 3,#CCFFCC qan,A,#CCFFCC søːjøk,A,#CCFFCC maj,A,#CCFFCC ʤumurtqa,A,#CCFFCC myjyz̥,A,#CCFFCC qujruq,A,#CCFFCC qanat,A,#CCFFCC ʧaʧ,A
Ki-Barskoon,#CCFFCC qan,A,#CCFFCC søːjøk,A,#CCFFCC maj,A,#CCFFCC ʤumurtqa,A,#CCFFCC myjyz̥,A,#CCFFCC qujruq,A,#CCFFCC qanat,A,#CCFFCC ʧaʧ,A
Ki-Kulanak 1,#CCFFCC qan,A,#CCFFCC søːjøk,A,#CCFFCC maj,A,#CCFFCC ʤumurtqa,A,#CCFFCC myjyz̥,A,#CCFFCC qujruq,A,#CCFFCC qanat,A,#CCFFCC ʧaʧ,A
Ki-Kulanak 2,#CCFFCC qan,A,#CCFFCC søːjøk,A,#CCFFCC maj,A,#CCFFCC ʤumurtqa,A,#CCFFCC myjyz̥,A,#CCFFCC kujruk,A,#CCFFCC qanat,A,#CCFFCC ʧaʧ,A
Ki-Kulanak 3,#CCFFCC qan,A,#CCFFCC syːjøk,A,#CCFFCC maj,A,#CCFFCC ʤumurtqa,A,#CCFFCC myjyz̥,A,#CCFFCC qujruq,A,#CCFFCC qanat,A,#CCFFCC ʧaʧ,A
Ki-Kulanak 4,#CCFFCC qan,A,#CCFFCC sʉːjøk,A,#CCFFCC maj,A,#CCFFCC ʤumurtqa,A,#CCFFCC myjyz̥,A,#CCFFCC qujruq,A,#99CCFF pər,D,#CCFFCC ʧaʧ,A
Ki-Kulanak 5,#CCFFCC qan,A,#CCFFCC søːjøk,A,#CCFFCC maj,A,#CCFFCC ʤumurtka,A,#CCFFCC myjyz̥,A,#CCFFCC qujruq,A,#CCFFCC qanat,A,#CCFFCC ʧaʧ,A
Ki-Orday 1,#CCFFCC qɔn,A,#CCFFCC syjøk,A,#CCFFCC mɒj,A,#CCFFCC ʒumurtka,A,#CCFFCC myjyz̥,A,#CCFFCC qʉjruq,A,#99CCFF pat,D,#CCFFCC ʧaʧ,A
Ki-Orday 2,#CCFFCC qɔn,A,#CCFFCC syjøk,A,#CCFFCC jɔq,B,#99CCFF tuxum,C,#99CCFF ʃɔq,B,#CCFFCC qʉjruq,A,#99CCFF pat,D,#CCFFCC ʧaʧ,A
Ki-Orday 3,#CCFFCC qɒn,A,#CCFFCC søjøk,A,#CCFFCC maj,A,#CCFFCC ʤumurtka,A,#CCFFCC myjyz̥,A,dym,B,#99CCFF pat,D,#CCFFCC ʧaʧ,A
Ki-Orday 4,#CCFFCC qɔn,A,#CCFFCC sʉjək,A,#CCFFCC maj,A,#CCFFCC ʤumurtka,A,#CCFFCC myjyz̥,A,#CCFFCC kujruk,A,#99CCFF pat,D,#CCFFCC ʧaʧ,A
Ki-Tamga,#CCFFCC qan,A,#CCFFCC søːjøk,A,#CCFFCC maj,A,#CCFFCC ʤumurtqa,A,#CCFFCC myjyz,A,#CCFFCC qʉjruq,A,#CCFFCC qanat,A,#CCFFCC ʧaʧ,A
KK-Halqabad 1,#CCFFCC qan,A,#CCFFCC sʉjøk,A,#CCFFCC maj,A,#CCFFCC majik,B,#99CCFF ʃaq,B,#CCFFCC qʉjrɔq,A,#99CCFF pær,D,#CCFFCC ʃaʃ,A
KK-Halqabad 2,#CCFFCC qan,A,#CCFFCC sʉjøk,A,#CCFFCC maj,A,#CCFFCC majik,B,#99CCFF ʃaq,B,#CCFFCC qʉjrɔq,A,#99CCFF par,D,#CCFFCC ʃaʃ,A
KK-Halqabad 3,#CCFFCC qan,A,#CCFFCC sʉjøk,A,#CCFFCC maj,A,#CCFFCC majik,B,#99CCFF ʃaq,B,#CCFFCC qʉjrɔq,A,#99CCFF pær,D,#CCFFCC ʃaʃ,A
KK-Kokdarya 1,#CCFFCC qan,A,#CCFFCC syjək,A,#CCFFCC maj,A,#CCFFCC majɛk,B,#99CCFF ʃaq,B,#CCFFCC qyjrɔq,A,#99CCFF par,D,#CCFFCC sas,A
KK-Kokdarya 2,#CCFFCC qan,A,#CCFFCC syjək,A,#CCFFCC maj,A,#CCFFCC majɪk,B,#99CCFF ʃaq,B,#CCFFCC qʉjrɔq,A,#99CCFF par,D,#CCFFCC ʃaʃ,A
KK-Kokdarya 3,#CCFFCC qan,A,#CCFFCC syjək,A,#CCFFCC maj,A,#99CCFF txʊm,C,#99CCFF ʃaq,B,#99CCFF dʉm,B,#99CCFF par,D,#CCFFCC saʃ,A
KK-Kokdarya 4,#CCFFCC qan,A,#CCFFCC syjøk,A,#CCFFCC maj,A,#CCFFCC majek,B,#99CCFF ʃaq,B,#CCFFCC qyjrɔq,A,#99CCFF pɛr,D,#CCFFCC ʃaʃ,A
KK-Shege 1,#CCFFCC qan,A,#CCFFCC syjøk,A,#CCFFCC maj,A,#CCFFCC majik,B,#99CCFF ʃax,B,#CCFFCC qʉjrɔq,A,#99CCFF pær,D,#CCFFCC ʃaʃ,A
KK-Shege 2,#CCFFCC qan,A,#CCFFCC syjøk,A,#CCFFCC maj,A,#CCFFCC majik,B,#99CCFF ʃaq,B,#CCFFCC qʉjrɔq,A,#99CCFF pær,D,#CCFFCC ʃaʃ,A
KK-Shege 3,#CCFFCC qan,A,#CCFFCC syjøk,A,#CCFFCC maj,A,#CCFFCC majik,B,#99CCFF ʃaq,B,#CCFFCC qʉjrɔq,A,#99CCFF pær,D,#CCFFCC ʃaʃ,A
KK-Shege 4,#CCFFCC qan,A,#CCFFCC sʉjøk,A,#CCFFCC maj,A,#CCFFCC majik,B,#CCFFCC myjɪz̥,A,#CCFFCC qʉjrɔq,A,#99CCFF par,D,#CCFFCC ʃaʃ,A
U-Hitoy 1,#CCFFCC qan,A,#CCFFCC sʉjøk,A,#CCFFCC maj,A,#CCFFCC majɪk,B,#99CCFF ʃax,B,#CCFFCC qyjrɔq,A,#99CCFF pær,D,#CCFFCC ʧaʧ,A
U-Hitoy 2,#CCFFCC qan,A,#CCFFCC sʉjøk,A,#CCFFCC maj,A,#CCFFCC majɪk,B,#99CCFF ʃax,B,#CCFFCC qyjrɔq,A,#99CCFF pær,D,#CCFFCC ʧaʧ,A
U-Hitoy 3,#CCFFCC qan,A,#CCFFCC sʉjøk,A,#CCFFCC maj,A,#CCFFCC majɪk,B,#99CCFF ʃax,B,#CCFFCC qʉjrɔq,A,#99CCFF par,D,#CCFFCC ʧaʃ,A
U-Novmetan 3,#CCFFCC qɔn,A,#CCFFCC sujak,A,#CCFFCC jɔɣ,B,#99CCFF txum,C,#99CCFF ʃɔx,B,#99CCFF dum,B,,,#CCFFCC sɔʧ,A
U-Soy Mahalla 1,#CCFFCC qɔn,A,#CCFFCC syjæk,A,#CCFFCC jɔɣ,B,#99CCFF txʊm,C,#99CCFF ʃɔq,B,#99CCFF dʉm,B,#99CCFF pat,D,#CCFFCC sɔʧ,A
U-Soy Mahalla 2,#CCFFCC qɔn,A,#CCFFCC sujak,A,#CCFFCC jɔq,B,#99CCFF tuxum,C,#99CCFF sɔx,B,#99CCFF dʉm,B,#99CCFF pat,D,#CCFFCC sɒʧ,A
U-Soy Mahalla 3,#CCFFCC qɔn,A,#CCFFCC sʉjak,A,#CCFFCC jɔq,B,#99CCFF txum,C,#99CCFF ʃɒq,B,#99CCFF dʉm,B,#99CCFF pat,D,#CCFFCC ʃɔʧ,A
U-Urtoqqishloq 1,#CCFFCC qɔn,A,#CCFFCC syjak,A,#CCFFCC jɔχ,B,#99CCFF txʊm,C,#99CCFF ʃɔx,B,#99CCFF dʉm,B,#99CCFF pat,D,#CCFFCC sɔʧ,A
U-Urtoqqishloq 2,#CCFFCC qɔn,A,#CCFFCC syjak,A,#CCFFCC mɒj,A,#99CCFF txʊm,C,#99CCFF ʃɒx,B,#99CCFF dʉm,B,#99CCFF pat,D,#CCFFCC sɔʧ,A
U-Urtoqqishloq 3,#CCFFCC qɔn,A,#CCFFCC syjak,A,#CCFFCC jɔχ,B,#99CCFF txʊm,C,#99CCFF ʃɔx,B,#99CCFF dm̩,B,#99CCFF pat,D,#CCFFCC sɔʧ,A
U-Urtoqqishloq 4,#CCFFCC qɔn,A,#CCFFCC syjak,A,#CCFFCC jog,B,#99CCFF txʊm,C,#99CCFF ʃɒx,B,#99CCFF dʉm,B,#99CCFF par,D,#CCFFCC sɔʧ,A
U-Zarmanak 3,#CCFFCC qɔn,A,#CCFFCC syjak,A,#CCFFCC jɔq,B,#99CCFF tuxum,C,#99CCFF ʃɔx,B,#99CCFF dum,B,#CCFFCC qanɔt,A,#CCFFCC sɔʧ,A
U-Zarmanak 4,#CCFFCC qɔn,A,#CCFFCC syjak,A,#CCFFCC jɔʁ,B,#99CCFF txum,C,#99CCFF ʃɔx,B,#99CCFF dum,B,#99CCFF pat,D,#CCFFCC sɔʧ,A
T-Agalyk,#CCFFCC xun,A,#99CCFF ustuhɔn,B,#99CCFF rawɣan,E,#99CCFF tuxum,C,#99CCFF ʃɔx,B,#99CCFF dʊm,B,#99CCFF par̯,D,#99CCFF muj,C
T-Kamangaron 1,#CCFFCC xun,A,#99CCFF ustuhɔn,B,#99CCFF rawɣan,E,#99CCFF txum,C,#99CCFF ʃɔx,B,#99CCFF dum,B,#99CCFF pat,D,#99CCFF møj,C
T-Kamangaron 2,#CCFFCC xʊn,A,#99CCFF ustuxɔn,B,#99CCFF rauɣan,E,#99CCFF tuxum,C,#99CCFF ʃɔx,B,#99CCFF dum,B,#99CCFF pat,D,#99CCFF møj,C
T-Kamangaron 3,#CCFFCC xun,A,#99CCFF uʃtʊhɔn,B,#99CCFF ɣøran,E,#99CCFF txum,C,,,#99CCFF dum,B,#FF99CC pʲero,B,#99CCFF mø,C
T-Kamangaron 4,#CCFFCC xʊn,A,#99CCFF ustuhɔn,B,#99CCFF røɣan,E,#99CCFF txum,C,#99CCFF ʃɔx,B,#99CCFF dum,B,#99CCFF par,D,#99CCFF møhɔ,C
T-Kaptarhona 1,#CCFFCC xən,A,#99CCFF ustuhɔn,B,#99CCFF ruhan,E,#99CCFF txəm,C,#99CCFF ʃɔx,B,#99CCFF døm,B,#99CCFF par,D,#99CCFF mʊ,C
T-Kaptarhona 2,#CCFFCC xun,A,#99CCFF istuhɔn,B,#99CCFF rʊhan,E,#99CCFF txum,C,#99CCFF ʃɔx,B,#99CCFF dum,B,#99CCFF pat,D,#99CCFF muj,C
T-Kaptarhona 3,#CCFFCC xun,A,#99CCFF ustuhun,B,#99CCFF rʊɣan,E,#99CCFF txəm,C,#99CCFF ʃɔx,B,#99CCFF dʊm,B,,,#99CCFF mu,C
T-Kaptarhona 4,#CCFFCC xən,A,#99CCFF ustuhʊn,B,#99CCFF ruhan,E,#99CCFF txum,C,#99CCFF ʃɔx,B,#99CCFF dʊm,B,#99CCFF pat,D,#CCFFCC qil,D
T-Kaptarhona 5,#CCFFCC xən,A,#99CCFF stuɣun,B,#99CCFF ruɣan,E,#99CCFF txum,C,#99CCFF ʃɔx,B,#99CCFF dm̩,B,#99CCFF pat,D,#99CCFF muh,C
T-Navdî 1,#CCFFCC xun,A,#99CCFF suɣun,B,#99CCFF ravɣan,E,#99CCFF tuxum,C,#99CCFF ʃɔx,B,#99CCFF dm̩,B,#99CCFF par,D,#99CCFF muj,C
T-Navdî 2,#CCFFCC xun,A,#99CCFF ustuxun,B,#99CCFF ravɣan,E,#99CCFF tuxum,C,#99CCFF ʃɔx,B,#99CCFF dum,B,#99CCFF par,D,#99CCFF muj,C
T-Navdî 3,#CCFFCC xun,A,#99CCFF ustuxɔn,B,#99CCFF ravɣan,E,#99CCFF tuxum,C,#99CCFF ʃɔx,B,#99CCFF dm̩,B,#CCFFCC qanɔt,A,#99CCFF mu,C
T-Nimich 1,#CCFFCC xun,A,#99CCFF ustuɣɔn,B,#99CCFF rʊɣan,E,#99CCFF txum,C,#99CCFF ʃɔx,B,#99CCFF dʊm,B,#99CCFF par,D,#99CCFF mu,C
T-Nimich 2,#CCFFCC xun,A,#99CCFF ustuɣɔn,B,#99CCFF rawɣan,E,#99CCFF tuxum,C,#99CCFF ʃɔx,B,#99CCFF dʊm,B,#99CCFF par,D,#99CCFF mujhɔ,C
T-Nimich 3,#CCFFCC xun,A,#99CCFF astaɣʊn,B,#99CCFF rʊɣan,E,#99CCFF txəm,C,#99CCFF ʃɔx,B,#99CCFF dm̩,B,#99CCFF par,D,#99CCFF mʊ,C
T-Nimich 4,#CCFFCC xun,A,#99CCFF astaɣʊn,B,#99CCFF ruɣan,E,#99CCFF txəm,C,#99CCFF ʃɔx,B,#99CCFF dm̩,B,#99CCFF par,D,#99CCFF mʊˑ,C
T-Novmetan 1,#CCFFCC xun,A,#CCFFCC syjak,A,#99CCFF rʉhan,E,#99CCFF txum,C,#99CCFF ʃɔx,B,#99CCFF dum,B,#99CCFF paʃ,D,#99CCFF mʉj,C
T-Novmetan 2,#CCFFCC xun,A,#99CCFF ustaɣɔn,B,#99CCFF rʉhan,E,#99CCFF tuxum,C,#99CCFF ʃɔx,B,#99CCFF dum,B,#99CCFF par,D,#99CCFF mʉj,C
T-Nûshor 1,#CCFFCC xun,A,#99CCFF astaɣʊn,B,#99CCFF rawɣan,E,#99CCFF txʊm,C,#99CCFF ʃɔx,B,#99CCFF dm̩,B,#99CCFF par,D,#99CCFF mʊj,C
T-Nûshor 2,#CCFFCC xun,A,#99CCFF astaɣʊn,B,#99CCFF rawɣan,E,#99CCFF tuxum,C,#99CCFF ʃɔx,B,#99CCFF dʊm,B,#99CCFF par,D,#99CCFF mʊj,C
T-Nûshor 3,#CCFFCC xun,A,#99CCFF astaɣʊn,B,#99CCFF rʊɣan,E,#99CCFF txəm,C,#99CCFF ʃɔx,B,#99CCFF dʊm,B,#99CCFF par,D,#99CCFF mʊ,C
T-Rishtan 1,#CCFFCC xun,A,#99CCFF ystohɔn,B,#99CCFF rʊɣan,E,#99CCFF txum,C,#99CCFF ʃɔx,B,#99CCFF dym,B,#99CCFF par,D,#99CCFF muː,C
T-Rishtan 2,#CCFFCC xʊn,A,#99CCFF ystəɣɔn,B,#99CCFF ruɣan,E,#99CCFF tuxʊm,C,#99CCFF ʃɔx,B,#99CCFF dym,B,#99CCFF pat,D,#99CCFF muː,C
T-Rishtan 3,#CCFFCC xʊn,A,#99CCFF ystəɣɔn,B,#99CCFF raβɣan,E,#99CCFF txʊm,C,#99CCFF ʃɔx,B,#99CCFF døm,B,#99CCFF par,D,#99CCFF mu,C
T-Shink 1,#CCFFCC xn̩,A,#99CCFF əstʊɣɔn,B,#99CCFF rɔɣan,E,#99CCFF tx̩m,C,#99CCFF ʃɔx,B,#99CCFF dm̩,B,#99CCFF par,D,#99CCFF mɔj,C
T-Shink 2,#CCFFCC xʊn,A,#99CCFF əstəɣɔn,B,#99CCFF ravɣan,E,#99CCFF tx̩m,C,#99CCFF ʃɔx,B,#99CCFF dm̩,B,#99CCFF par,D,#99CCFF mʊj,C
T-Shink 3,#CCFFCC xn̩,A,#99CCFF əstʊxɔn,B,#99CCFF rawɣan,E,#99CCFF tʊxm,C,#99CCFF ʃɔx,B,#99CCFF dm̩,B,#99CCFF par,D,#99CCFF mʊj,C
T-Urmetan 1,#CCFFCC xʊn,A,#99CCFF ystʊxɔn,B,#99CCFF ravɣan,E,#99CCFF tuxm,C,#99CCFF ʃɔx,B,#99CCFF dʊm,B,#99CCFF par,D,#99CCFF mʊj,C
T-Urmetan 2,#CCFFCC xən,A,#99CCFF ystʊɣɔn,B,#99CCFF ravɣan,E,#99CCFF tuxm,C,#99CCFF ʃɔx,B,#99CCFF dm̩,B,,,#99CCFF mʊj,C
T-Urmetan 3,#CCFFCC xn̩,A,#99CCFF ystəxɔn,B,#99CCFF ravɣan,E,#99CCFF tx̩m,C,#99CCFF ʃɔx,B,#99CCFF dm̩,B,#99CCFF par,D,#99CCFF mʊj,C
T-Urmetan 4,#CCFFCC xn̩,A,#99CCFF ustəɣɔn,B,#99CCFF rawɣan,E,#99CCFF tx̩m,C,#99CCFF ʃɔx,B,#99CCFF dm̩,B,,,#99CCFF mʊ,C
T-Zarmanak 1,#CCFFCC xun,A,#CCFFCC syjak,A,#99CCFF rʊhan,E,#99CCFF txum,C,#99CCFF ʃɔx,B,#99CCFF dum,B,#99CCFF par,D,#99CCFF mʉj,C
T-Zarmanak 2,#CCFFCC xun,A,#99CCFF ustaxɔn,B,#99CCFF ryxan,E,#99CCFF txum,C,#99CCFF ʃɔx,B,#99CCFF dum,B,#99CCFF pat,D,#99CCFF mʉj,C
Y-Dugova 1,#99CCFF vaxm̩,B,#99CCFF stak,C,#99CCFF ruɣʊn,E,#99CCFF tʊxʊm,C,#99CCFF ʃɔx,B,#99CCFF dim,B,#CCFFCC qanat,A,#99CCFF paʃm̩,E
Y-Dugova 2,#99CCFF vaxm̩,B,#99CCFF sitak,C,#99CCFF ruɣan,E,#99CCFF tuxm,C,#99CCFF ʃɔx,B,#99CCFF dum,B,#99CCFF par,D,#99CCFF darav,F
Y-Safedorak 1,#99CCFF vaxm̩,B,#99CCFF sɪtak,C,#99CCFF ruɣani,E,#99CCFF tuxm̩,C,#99CCFF ʃɔx,B,#99CCFF dʉm,B,#99CCFF par,D,#99CCFF diraβ,F
Y-Safedorak 2,#99CCFF vaxm̩,B,#99CCFF stak,C,#99CCFF ruɣun,E,#99CCFF tʊxum,C,#99CCFF ʃɔx,B,#99CCFF dim,B,#99CCFF par,D,#99CCFF dɪraw,F
Y-Safedorak 3,#99CCFF vaxm̩,B,#99CCFF stak,C,#99CCFF ruɣɪn,E,#99CCFF tʊxʊm,C,#99CCFF ʃɔx,B,#99CCFF dim,B,,,#99CCFF dɪraβ,F
