Informant,butterfly,butterfly,snake,snake,worm,worm,tree,tree,forest,forest,stick,stick,fruit,fruit,seed,seed
Ki-Akmuz 3,#CCFFCC gøpøløk,A,#CCFFCC ʤɨlan,A,#CCFFCC sølʤɨlan,C,#CCFFCC baq,C,#CCFFCC tɔqɔj,B,#CCFFCC tajaq,A,#CCFFCC ʤemɪʃ,A,#CCFFCC arpa,E
Ki-Barskoon,#CCFFCC køpøløk,A,#CCFFCC ʤɨlan,A,#CCFFCC qurt,A,#CCFFCC baq,C,#CCFFCC tɔqɔj,B,#CCFFCC tajaq,A,#CCFFCC ʤemɪʃ,A,#CCFFCC yrøn,D
Ki-Kulanak 1,#CCFFCC køpøløk,A,#CCFFCC ʤɨlan,A,#CCFFCC kurt,A,#CCFFCC baq,C,#CCFFCC tɔqɔj,B,#CCFFCC sɔjl,C,#CCFFCC ʤemɪʃ,A,#CCFFCC uruq,C
Ki-Kulanak 2,#CCFFCC køpøløk,A,#CCFFCC ʤɨlan,A,#CCFFCC kurt,A,#99CCFF daraq,B,#CCFFCC tɔqɔj,B,#CCFFCC tajaq,A,#CCFFCC ʤemɪʃ,A,#CCFFCC uruq,C
Ki-Kulanak 3,#CCFFCC køpøløk,A,#CCFFCC ʤɨlan,A,#CCFFCC arbaq,D,#CCFFCC baq,C,#CCFFCC tɔqɔj,B,#CCFFCC tajaq,A,#CCFFCC ʤemɪs,A,#CCFFCC uruq,C
Ki-Kulanak 4,#CCFFCC køpøløk,A,#CCFFCC ʤɨlan,A,#CCFFCC qurt,A,#CCFFCC baq,C,#CCFFCC tɔqɔj,B,#CCFFCC ʤɨgaʧ,D,#CCFFCC ʤemɪs,A,#CCFFCC yrøn,D
Ki-Kulanak 5,#CCFFCC gøpøløk,A,#CCFFCC ʤɨlan,A,#CCFFCC kurt,A,#CCFFCC baq,C,#CCFFCC tɔqɔj,B,#CCFFCC tajaq,A,#CCFFCC ʤemɪs,A,#CCFFCC uruk,C
Ki-Orday 1,#CCFFCC køpølɛk,A,#CCFFCC ʤɪlan,A,#CCFFCC qurt,A,#99CCFF daraq,B,#CCFFCC tɔqɔj,B,#CCFFCC tajak,A,#99CCFF mʲɪva,B,#CCFFCC uruk,C
Ki-Orday 2,#CCFFCC køpølɛk,A,#CCFFCC ʤɪlan,A,#CCFFCC ilanʧuβak,B,#99CCFF darax,B,#CCFFCC wɔrman,A,#CCFFCC ʤiɣaʧ,D,#99CCFF mʲɪva,B,#CCFFCC uruk,C
Ki-Orday 3,#CCFFCC køpølɛk,A,#CCFFCC ʒɨlan,A,#CCFFCC qurt,A,#99CCFF darax,B,#CCFFCC urman,A,#CCFFCC ʤiɣaʧ,D,#99CCFF mʲevʲe,B,,
Ki-Orday 4,#CCFFCC køpølɛk,A,#CCFFCC ʤɨlan,A,#CCFFCC ʧuβalʧaŋ,E,#99CCFF daraq,B,#CCFFCC tɔqɔj,B,#CCFFCC ʤiɣaʧ,D,,,,
Ki-Tamga,#CCFFCC køpøløk,A,#CCFFCC ʤɨlan,A,#CCFFCC kurt,A,#99CCFF daraq,B,#CCFFCC tɔqɔj,B,#CCFFCC ʤɪgaʧ,D,#CCFFCC ʤemɪʃ,A,#CCFFCC uruk,C
KK-Halqabad 1,#CCFFCC gʊbʲelʲɛk,A,#CCFFCC ʒɪlan,A,#CCFFCC qʊrt,A,#99CCFF tʲerɛk,B,#CCFFCC tɔɣɔj,B,#CCFFCC aɣaʃ,B,#99CCFF miβø,B,#99CCFF txʊm,B
KK-Halqabad 2,#CCFFCC gʊbʲelʲek,A,#CCFFCC ʒlan,A,#CCFFCC ʒɔːŋɣʊrt,G,#99CCFF tʲerek,B,#CCFFCC tɔɣaj,B,#CCFFCC aɣaʃ,B,#99CCFF miβø,B,#99CCFF txʊm,B
KK-Halqabad 3,#CCFFCC gʊbʲelʲɛk,A,#CCFFCC ʒɨlan,A,#CCFFCC qʊrt,A,#99CCFF tʲerɛk,B,#CCFFCC tɔɣɔj,B,#CCFFCC tajaq,A,#99CCFF miβø,B,#99CCFF txʊm,B
KK-Kokdarya 1,#CCFFCC gøbʲelɛk,A,#CCFFCC ʒɪlan,A,#CCFFCC qʊrt,A,#99CCFF tʲerɛk,B,#CCFFCC tɔɣɔj,B,,,#99CCFF miva,B,#99CCFF txʊm,B
KK-Kokdarya 2,#CCFFCC gøbʲelʲɛk,A,#CCFFCC ʒɨlan,A,#CCFFCC qʊrt,A,#99CCFF tʲerɛk,B,#CCFFCC tɔɣaj,B,#CCFFCC aɣaʃ,B,#99CCFF miwe,B,#99CCFF txʊm,B
KK-Kokdarya 3,#CCFFCC kapalak,A,#CCFFCC ilan,A,#CCFFCC ʧʊβalʧaŋ,E,#99CCFF daraxt,B,#CCFFCC ʊrmɔn,A,#CCFFCC tajaq,A,#CCFFCC ʒemɪs,A,#99CCFF txʊm,B
KK-Kokdarya 4,#CCFFCC gøbʲelʲɛk,A,#CCFFCC ʒɨlan,A,#CCFFCC qʊrt,A,#99CCFF tʲerek,B,#CCFFCC toɣɔj,B,#CCFFCC tajaq,A,#99CCFF mʲɪβe,B,#99CCFF txʊm,B
KK-Shege 1,#CCFFCC gøbølʲøk,A,#CCFFCC ʒlan,A,#CCFFCC qʊrt,A,#99CCFF daraq,B,#CCFFCC toɣɔj,B,#CCFFCC tajaq,A,#99CCFF miβø,B,#99CCFF txʊm,B
KK-Shege 2,#CCFFCC gʊbʲelʲɛk,A,#CCFFCC ʒlan,A,#CCFFCC qʊrt,A,#99CCFF tʲerek,B,#CCFFCC toɣɔj,B,#CCFFCC tajaq,A,#99CCFF miβø,B,#99CCFF txʊm,B
KK-Shege 3,#CCFFCC gʊbʲelʲɛk,A,#CCFFCC ʒəlan,A,#CCFFCC qʊrt,A,#99CCFF tʲerɛk,B,#CCFFCC tɔɣɔj,B,#CCFFCC tajaq,A,#99CCFF miβe,B,#99CCFF txʊm,B
KK-Shege 4,#CCFFCC gʊbʲelʲɛk,A,#CCFFCC ʒlan,A,#CCFFCC qʊrt,A,#99CCFF tʲerɛk,B,#CCFFCC tɔɣɔj,B,,,#99CCFF miβe,B,#99CCFF txʊm,B
U-Hitoy 1,#CCFFCC kapalɛk,A,#CCFFCC ilan,A,#CCFFCC qʊrt,A,#99CCFF daraxt,B,#CCFFCC wurman,A,#CCFFCC tajaq,A,#99CCFF mʲɪvø,B,#99CCFF txʊm,B
U-Hitoy 2,#CCFFCC kapalɛk,A,#CCFFCC ʤilan,A,#CCFFCC qʊrt,A,#99CCFF tʲerɛk,B,#CCFFCC tʊɣaj,B,#CCFFCC tajaq,A,#99CCFF mʲɪβe,B,#99CCFF txʊm,B
U-Hitoy 3,#CCFFCC købʲelʲek,A,#CCFFCC ʤɪlan,A,#CCFFCC qʊrt,A,#99CCFF tʲerɛk,B,#CCFFCC tʊɣaj,B,#CCFFCC tajaq,A,#99CCFF mʲɪve,B,#99CCFF txʊm,B
U-Novmetan 3,#CCFFCC kapalak,A,#CCFFCC ilɔn,A,#CCFFCC qurt,A,#99CCFF daraxt,B,#CCFFCC ʉrmɔn,A,#CCFFCC tajɔq,A,#99CCFF mʲeva,B,#CCFFCC urux,C
U-Soy Mahalla 1,#CCFFCC kapalæk,A,#CCFFCC ilɔn,A,#CCFFCC ʧuβalʧaŋ,E,#99CCFF daraxt,B,#CCFFCC urmɔn,A,#CCFFCC tajɔq,A,#99CCFF mʲɪva,B,#CCFFCC uruɣ˳,C
U-Soy Mahalla 2,#CCFFCC ʧapalak,A,#CCFFCC ilɔn,A,#CCFFCC ilanʧuβan,B,#99CCFF daraxt,B,#CCFFCC urmɔn,A,#CCFFCC tajɔq,A,#99CCFF mʲɪva,B,#CCFFCC uruk,C
U-Soy Mahalla 3,#CCFFCC kapalɛk,A,#CCFFCC ilɔn,A,#CCFFCC ilɔnʧuβan,B,#99CCFF darax,B,#CCFFCC urmɔn,A,#CCFFCC ʧʉpak,E,#99CCFF mʲɪva,B,#CCFFCC uruk,C
U-Urtoqqishloq 1,#CCFFCC kapalak,A,#CCFFCC ilɔn,A,#CCFFCC kʊrt,A,#99CCFF daraxt,B,#CCFFCC ʊrmɔn,A,#CCFFCC tajɔq,A,#99CCFF mɪva,B,#CCFFCC urux,C
U-Urtoqqishloq 2,#CCFFCC kapalak,A,#CCFFCC ilɔn,A,#CCFFCC ʧʊwalʧaŋ,E,#99CCFF daraxt,B,#CCFFCC ʊrmɔn,A,#CCFFCC tajɒq,A,#99CCFF mɪva,B,#CCFFCC urux,C
U-Urtoqqishloq 3,#CCFFCC kapalak,A,#CCFFCC ilɔn,A,#CCFFCC ʧʊwalʧaŋ,E,#99CCFF daraxt,B,#CCFFCC urmɔn,A,#CCFFCC tajɔq,A,#99CCFF mɪva,B,#CCFFCC uruɣ˳,C
U-Urtoqqishloq 4,#CCFFCC kapalak,A,#CCFFCC ilɔn,A,,,#99CCFF daraxt,B,#CCFFCC urmɒn,A,#99CCFF ʧʊp,F,#99CCFF mɪva,B,#CCFFCC uruɣ,C
U-Zarmanak 3,#CCFFCC kapalak,A,#CCFFCC ilɔn,A,#CCFFCC qurt,A,#99CCFF daraxt,B,#CCFFCC yrmɔn,A,#CCFFCC tajɔq,A,#99CCFF mʲeva,B,#CCFFCC urux,C
U-Zarmanak 4,#CCFFCC kapalak,A,#CCFFCC ilɔn,A,#CCFFCC qurt,A,#99CCFF daraxt,B,#CCFFCC ʉrmɔn,A,#CCFFCC tajɔq,A,#99CCFF mʲeva,B,#CCFFCC uruɣ˳,C
T-Agalyk,,,#99CCFF mɔr,B,#99CCFF kirm,I,#99CCFF daraxt,B,#99CCFF bʲeʃa,J,#99CCFF ʧup,F,#99CCFF mʲeva,B,#99CCFF tuxmi,B
T-Kamangaron 1,,,#99CCFF mɔr,B,#99CCFF kirm,I,#99CCFF daraxt,B,#CCFFCC urmʊn,A,#CCFFCC tajɔq,A,#99CCFF meva,B,#CCFFCC urux,C
T-Kamangaron 2,,,#99CCFF mɔr,B,#99CCFF kirm,I,#99CCFF daraxt,B,#CCFFCC yrmʊn,A,#CCFFCC tajɔq,A,#99CCFF mʲeva,B,#99CCFF txum,B
T-Kamangaron 3,,,#99CCFF mɔr,B,#99CCFF kirm,I,#99CCFF daraxt,B,#CCFFCC ørmɔn,A,#99CCFF xɔda,N,#99CCFF mʲeva,B,,
T-Kamangaron 4,,,#99CCFF mɔr,B,#99CCFF kirm,I,#99CCFF daraxt,B,#CCFFCC ørmɔn,A,#99CCFF kaltak,G,#99CCFF mɪva,B,#CCFFCC urux,C
T-Kaptarhona 1,,,#99CCFF mor,B,#99CCFF kirəm,I,#99CCFF daraxt,B,#CCFFCC urmɔn,A,#99CCFF nauda,T,#99CCFF meva,B,#CCFFCC urɔk,C
T-Kaptarhona 2,,,#99CCFF mɔr,B,#99CCFF kirəm,I,#99CCFF daraxt,B,#CCFFCC urmɔn,A,#CCFFCC tajɔq,A,#99CCFF meva,B,#CCFFCC uruk,C
T-Kaptarhona 3,,,#99CCFF mɔr,B,#CCFFCC ʧuwalʧaŋ,E,#99CCFF daraxt,B,#CCFFCC murmʊn,A,#CCFFCC tajɒq,A,#99CCFF mʲeva,B,#CCFFCC urux,C
T-Kaptarhona 4,,,#99CCFF mɔr,B,#99CCFF kirəm,I,#99CCFF daraxt,B,#CCFFCC urmʊn,A,#99CCFF ʃɔx,J,#99CCFF mʲeva,B,#CCFFCC urux,C
T-Kaptarhona 5,,,#99CCFF mɔr,B,#99CCFF kirm̩,I,#99CCFF daraxt,B,#CCFFCC urmʊn,A,#99CCFF kaltak,O,#99CCFF miva,B,#CCFFCC urʊx,C
T-Navdî 1,#99CCFF paʃaprək,D,#99CCFF mɔr,B,#99CCFF kirm,I,#99CCFF daraxt,B,#99CCFF ʤangal,K,#99CCFF ʧup,F,#99CCFF meva,B,#99CCFF tuxmi,B
T-Navdî 2,#99CCFF paʃaprək,D,#99CCFF mʊr,B,#99CCFF kirm̩,I,#99CCFF daraxt,B,#99CCFF ʤangał,K,#99CCFF ʧup,F,#99CCFF meva,B,#FF99CC semeʧka,G
T-Navdî 3,#99CCFF paʃaprʊk,D,#99CCFF mɔr,B,#99CCFF kirəm,I,#99CCFF daraxt,B,#99CCFF ʤangal,K,#99CCFF ʧup,F,#99CCFF meva,B,#99CCFF dɔnagi,I
T-Nimich 1,#99CCFF paʃaparak,D,#99CCFF mʊr,B,#99CCFF kərəm,I,#99CCFF daraxt,B,#99CCFF ʤangal,K,#99CCFF dasta,P,#99CCFF meva,B,#99CCFF tuxmi,B
T-Nimich 2,#99CCFF paʃaparʉk,D,#99CCFF mɔr,B,#99CCFF kirəm,I,#99CCFF daraxt,B,#99CCFF ʤangal,K,#99CCFF ʧub,F,#99CCFF meva,B,,
T-Nimich 3,#99CCFF ʃaparak,E,#99CCFF mɔr,B,#99CCFF kirm,I,#99CCFF daraxt,B,#99CCFF ʤangal,K,#99CCFF dangal,Q,#99CCFF mɪva,B,#99CCFF txm̩,B
T-Nimich 4,#99CCFF paʃaparək,D,#99CCFF mɔr,B,#99CCFF kərəm,I,#99CCFF dəraxt,B,#99CCFF ʤangal,K,#CCFFCC tɪjɔq,A,#99CCFF meva,B,#99CCFF tuxmi,B
T-Novmetan 1,,,#99CCFF mɔr,B,#99CCFF kirim,I,#99CCFF daraxt,B,,,#99CCFF ʧʉp,F,#99CCFF zardolo,H,#CCFFCC urux,C
T-Novmetan 2,#99CCFF ʃapalak,E,,,#99CCFF kirm,I,,,#CCFFCC ʉrmɔn,A,#99CCFF ʧʉp,F,#99CCFF zaldorʊ,H,,
T-Nûshor 1,#99CCFF paʃaparək,D,#99CCFF mɔr,B,#99CCFF kirm̩,I,#99CCFF daraxt,B,#99CCFF ʤangal,K,#99CCFF ʧupdast,F,#99CCFF meva,B,#99CCFF tuxmi,B
T-Nûshor 2,#99CCFF paʃaparʉk,D,#99CCFF mɔr,B,#99CCFF kirm̩,I,#99CCFF daraxt,B,#99CCFF ʤangal,K,#99CCFF kaltak,O,#99CCFF meva,B,#99CCFF tuxmi,B
T-Nûshor 3,#99CCFF paʃaparək,D,#99CCFF mɔr,B,#99CCFF kirm̩,I,#99CCFF daraxt,B,#99CCFF ʤangal,K,#99CCFF dangal,Q,#99CCFF meva,B,,
T-Rishtan 1,,,#99CCFF mur,B,#99CCFF kərəm,I,#99CCFF daraxt,B,#CCFFCC urmɔn,A,#99CCFF kaltak,O,#99CCFF mʲeva,B,#99CCFF dɔn,I
T-Rishtan 2,,,#99CCFF mur,B,#99CCFF kr̩m,I,#99CCFF daraxt,B,#CCFFCC urmɔn,A,#99CCFF kaltak,O,#99CCFF mʲeva,B,#99CCFF txum,B
T-Rishtan 3,,,#99CCFF mur,B,#99CCFF kərəm,I,#99CCFF daraxt,B,#99CCFF daraxzɔr,L,#99CCFF kaltak,O,#99CCFF mʲeva,B,#99CCFF dɔn,I
T-Shink 1,#99CCFF ʃaparak,E,#99CCFF mɔr,B,,,#99CCFF daraxt,B,#99CCFF ʤangal,K,#99CCFF ʧɔp,F,#99CCFF meva,B,#99CCFF tʊxm,B
T-Shink 2,#99CCFF ʃaparak,E,#99CCFF mɔr,B,#99CCFF kirm,I,#99CCFF daraxt,B,#99CCFF ʤangal,K,#FFFF99 assɔ,R,#99CCFF meva,B,,
T-Shink 3,#99CCFF ʃaparak,E,#99CCFF mɔr,B,#99CCFF kirm,I,#99CCFF daraxt,B,#99CCFF ʤangal,K,#99CCFF kaltak,O,#99CCFF meva,B,#99CCFF tʊxm,B
T-Urmetan 1,#99CCFF ʃaparak,E,#99CCFF mɔr,B,#99CCFF kirm,I,#99CCFF daraxt,B,#99CCFF ʤangal,K,#FFFF99 assɔ,R,#99CCFF meva,B,#99CCFF tuxm,B
T-Urmetan 2,,,#99CCFF mɔr,B,#99CCFF kirm,I,#99CCFF daraxt,B,#99CCFF ʤangal,K,#FFFF99 assɔ,R,#99CCFF meva,B,,
T-Urmetan 3,#99CCFF ʃaparak,E,#99CCFF mɔr,B,#99CCFF kɪrm,I,#99CCFF daraxt,B,#99CCFF ʤangal,K,#99CCFF kaltak,O,#99CCFF meva,B,#99CCFF təxm,B
T-Urmetan 4,,,#99CCFF mɔr,B,,,#99CCFF daraxt,B,#99CCFF ʤangal,K,#FFFF99 assɔ,R,#99CCFF meva,B,,
T-Zarmanak 1,#99CCFF ʃapalak,E,#99CCFF mɔr,B,#99CCFF kirm,I,#99CCFF daraxt,B,#CCFFCC ʉrmɔn,A,#CCFFCC tajɔq,A,#99CCFF meva,B,#CCFFCC urux,C
T-Zarmanak 2,#CCFFCC kapalak,A,#99CCFF mɔr,B,#99CCFF krɪm,I,#99CCFF daraxt,B,#CCFFCC ʉrmɔn,A,#99CCFF ʧʉp,F,#99CCFF meva,B,#99CCFF tuxum,B
Y-Dugova 1,#99CCFF ʃaparak,E,#99CCFF mɔr,B,,,#99CCFF daraxt,B,#99CCFF ʤangal,K,#99CCFF dɔrk,ʃ,,,#99CCFF ɣala,J
Y-Dugova 2,#99CCFF ʃaparak,E,#99CCFF mɔr,B,#99CCFF kirm,I,#99CCFF daraxt,B,#99CCFF ʤangal,K,#99CCFF kaltak,O,#99CCFF meva,B,#99CCFF ɣala,J
Y-Safedorak 1,#99CCFF saparak,E,#99CCFF mɔr,B,#99CCFF kirm,I,#99CCFF daraxt,B,#99CCFF ʤangal,K,#99CCFF dɔrk,ʃ,#99CCFF mɪva,B,#99CCFF tʊxm,B
Y-Safedorak 2,#99CCFF saparak,E,#99CCFF mɔr,B,#99CCFF kirm,I,#99CCFF daraxt,B,#99CCFF ʤangal,K,#99CCFF kaltak,O,#99CCFF mɪva,B,#99CCFF tuxmi,B
Y-Safedorak 3,#99CCFF ʃaparak,E,#99CCFF mʊr,B,#99CCFF kirm,I,#99CCFF daraxt,B,#99CCFF ʤangal,K,#99CCFF dɔrk,ʃ,#99CCFF mɪva,B,#99CCFF tuxəm,B
