Informant,to hold,to hold,to squeeze,to squeeze,to wash,to wash,to wipe,to wipe,to pull,to pull,to throw,to throw,to tie,to tie
Ki-Akmuz 2,#CCFFCC qarmɔː,B,#CCFFCC qɨsʊː,A,#CCFFCC ʤuː,A,#CCFFCC syrtyː,A,#CCFFCC tartʊː,A,#CCFFCC ɨrɣɨtʊː,C,#CCFFCC bajlɔː,A
Ki-Akmuz 3,#CCFFCC qarmɔː,B,#CCFFCC qɨsʊː,A,#CCFFCC ʤuː,A,#CCFFCC syrtyː,A,#CCFFCC tartʊː,A,#CCFFCC ɨrgɨtʊː,C,#CCFFCC bajlɔː,A
Ki-Barskoon,#CCFFCC qarmɔː,B,#CCFFCC sɨɣʊː,B,#CCFFCC ʤuː,A,#CCFFCC aːrʧʊː,B,#CCFFCC tart,A,#CCFFCC ɨrɣɨt,C,#CCFFCC bajlɔː,A
Ki-Kulanak 1,#CCFFCC qarmɔː,B,#CCFFCC qɨsʊː,A,#CCFFCC ʤuː,A,#CCFFCC syrtyː,A,#CCFFCC tartʊː,A,#CCFFCC ɨrgɨtʊː,C,#CCFFCC bajlɔː,A
Ki-Kulanak 2,#CCFFCC qarmɔː,B,#CCFFCC qɨsʊː,A,#CCFFCC ʤuː,A,#CCFFCC syrtyː,A,#CCFFCC tartʊː,A,#CCFFCC ɨrgɨttʊː,C,#CCFFCC bajlɔː,A
Ki-Kulanak 3,#CCFFCC qarma,B,#CCFFCC qɨs,A,#CCFFCC ʤuː,A,#CCFFCC syrt,A,#CCFFCC ʧɔj,B,#CCFFCC ɨrgɨt,C,#CCFFCC bajla,A
Ki-Kulanak 4,#CCFFCC qarmɔː,B,#CCFFCC qɨsʊː,A,#CCFFCC ʤuː,A,#CCFFCC syrtyː,A,#CCFFCC tartʊː,A,#CCFFCC ɨrɣɨtʊː,C,#CCFFCC bajlɔː,A
Ki-Kulanak 5,#CCFFCC qarmɔː,B,#CCFFCC qɨsʊː,A,#CCFFCC ʤuː,A,#CCFFCC syrtyː,A,#CCFFCC tartʊː,A,#CCFFCC ɨrɣɨtʊː,C,#CCFFCC bajlɔː,A
Ki-Orday 1,#CCFFCC ʉʃau,A,#CCFFCC sɨɣuː,B,#CCFFCC ʒʊwʊ,A,#CCFFCC artɪʃ,B,#CCFFCC tɒrtɪʃ,A,#CCFFCC taʃtʊː,B,#CCFFCC bajlɪʃ,A
Ki-Orday 2,#CCFFCC qarman,B,#CCFFCC kɨsam,A,#CCFFCC ʤuβam,A,#CCFFCC arʧam,B,#CCFFCC tartam,A,#CCFFCC taʃtam,B,#CCFFCC bajlam,A
Ki-Orday 3,#CCFFCC ʉʃɐt,A,#CCFFCC qɨsat,A,#CCFFCC ʒuβat,A,#CCFFCC artat,B,#CCFFCC iterɛt,A,#CCFFCC taʃat,B,#CCFFCC bajlɛt,A
Ki-Orday 4,#CCFFCC karmɔː,B,,,#CCFFCC ʒʊʊ,A,,,#CCFFCC tartʊː,A,#CCFFCC ɨrgɨttʊː,C,#CCFFCC bajlanʊː,A
Ki-Tamga,#CCFFCC qarma,B,#CCFFCC sɨɣʊː,B,#CCFFCC ʤuː,A,#CCFFCC aːrʧə,B,#CCFFCC tartʊː,A,#CCFFCC ɨrgɨtʊː,C,#CCFFCC bajla,A
KK-Halqabad 1,#CCFFCC ʉslatɨrʊ,A,#CCFFCC qsʊ,A,#CCFFCC ʒʊwʊ,A,#CCFFCC sprʊː,C,#CCFFCC sɔzʊ,B,#CCFFCC laqtɨrʊ,A,#CCFFCC bajlaʊ,A
KK-Halqabad 2,#CCFFCC ʉslaʊ,A,#CCFFCC qsʊ,A,#CCFFCC ʒʊːnʊ,A,#CCFFCC sprʊː,C,#CCFFCC sɔzʊ,B,#CCFFCC laqtɨrʊ,A,#CCFFCC bajlaʊ,A
KK-Halqabad 3,#CCFFCC ʊstaʊ,A,#CCFFCC qsʊ,A,#CCFFCC ʒʊwʊ,A,#CCFFCC sprʊː,C,#CCFFCC sɔzʊ,B,#CCFFCC laqtɨrʊ,A,#CCFFCC bajlaʊ,A
KK-Kokdarya 1,#CCFFCC ustaʊ,A,#CCFFCC qsuː,A,#CCFFCC ʒuwənʊː,A,#CCFFCC səpərʊː,C,#CCFFCC tartə,A,#CCFFCC zəŋəttə,D,#CCFFCC bajlaʊ,A
KK-Kokdarya 2,#CCFFCC uslaʊ,A,#CCFFCC qsʊ,A,#CCFFCC ʒʊʊ,A,#CCFFCC səprʊː,C,#CCFFCC sɔzʊ,B,#CCFFCC laqtɨrʊː,A,#CCFFCC bajlaʊ,A
KK-Kokdarya 3,#CCFFCC ʉslaʊ,A,#CCFFCC qsʊː,A,#CCFFCC zʊʊ,A,#CCFFCC səprʊː,C,#CCFFCC tartʊ,A,#CCFFCC laqtɨrʊː,A,#CCFFCC bajlanu,A
KK-Kokdarya 4,#CCFFCC ʉslaʊ,A,#CCFFCC qsʊː,A,#CCFFCC ʒɨwʊː,A,#CCFFCC səpərʊː,C,#CCFFCC tartʊ,A,#CCFFCC zɨŋkɨtʊ,D,#CCFFCC bajlaʊ,A
KK-Shege 1,#CCFFCC ʊslaʊ,A,#CCFFCC qsʊ,A,#CCFFCC ʒʊwʊ,A,#CCFFCC sɨrtʊ,A,#CCFFCC tartʊ,A,#CCFFCC laqtɨrʊ,A,#CCFFCC bajlaʊ,A
KK-Shege 2,#CCFFCC ʊslaʊ,A,#CCFFCC qsʊ,A,#CCFFCC ʒʊwʊ,A,#CCFFCC sɨpɨrʊː,C,#CCFFCC tartʊ,A,#CCFFCC laqtɨrʊ,A,#CCFFCC bajlaʊ,A
KK-Shege 3,#CCFFCC ʊslaʊ,A,#CCFFCC qsʊː,A,#CCFFCC ʒʊwʊ,A,#CCFFCC sɨprʊː,C,#CCFFCC sɔzʊ,B,#CCFFCC laqtɨrʊ,A,#CCFFCC bajlanəsʊ,A
KK-Shege 4,#CCFFCC ʉslaʊ,A,#CCFFCC qsʊ,A,#CCFFCC ʒʊwʊ,A,#CCFFCC spɨrʊː,C,#CCFFCC tartʊ,A,#CCFFCC laqtɨrʊ,A,#CCFFCC bajlaʊ,A
U-Hitoy 1,#CCFFCC ʊʃlaʊ,A,#CCFFCC qsʊ,A,#CCFFCC ʤʊwʊ,A,#CCFFCC cørtʊ,A,#CCFFCC tartʊ,A,#CCFFCC taʃlaʊ,B,#CCFFCC bajlaʊ,A
U-Hitoy 2,#CCFFCC ʉslaʊ,A,#CCFFCC qsʊ,A,#CCFFCC ʤʊwʊ,A,#CCFFCC sʉrtʊ,A,#CCFFCC tartʊ,A,#CCFFCC laχtɨrʊ,A,#CCFFCC bajlaʊ,A
U-Hitoy 3,#CCFFCC ʉʃlaʊ,A,#CCFFCC qsʊ,A,#CCFFCC ʤʊβʊ,A,#CCFFCC sɨrtʊ,A,#CCFFCC tartʊ,A,#CCFFCC laχtɨrʊ,A,#CCFFCC bajlaʊ,A
U-Novmetan 3,#CCFFCC uʃla,A,#CCFFCC qsiʃ,A,#CCFFCC juviʃ,A,#CCFFCC artiʃ,B,#CCFFCC tɔrt,A,#CCFFCC tajla,B,#CCFFCC bɔɣla,A
U-Soy Mahalla 1,#CCFFCC tʊtmɔq,D,#CCFFCC siqiʃmɔq,C,#CCFFCC jumɔq,A,#CCFFCC artiniʃ,B,#CCFFCC tɔrtmɔq,A,#CCFFCC taʃlamɔq,B,#CCFFCC bajlamɔq,A
U-Soy Mahalla 2,#CCFFCC uʃlamoq,A,#CCFFCC qismɔq,A,#CCFFCC juvmɔq,A,#CCFFCC artmɔq,B,#CCFFCC tartmɔq,A,#CCFFCC taʃlamɔq,B,#CCFFCC bajlamɔq,A
U-Soy Mahalla 3,#CCFFCC ʉʃlaʃ,A,#CCFFCC qsiʃ,A,#CCFFCC juβiʃ,A,#CCFFCC artɪʃ,B,#CCFFCC tɔrtɪʃ,A,#CCFFCC taslaʃ,B,#CCFFCC bajlaʃ,A
U-Urtoqqishloq 1,#CCFFCC uʃlaʃ,A,#CCFFCC qsɪʃ,A,#CCFFCC juwɪʃ,A,#CCFFCC sʉrtɪʃ,A,#CCFFCC tɔrtɪʃ,A,#CCFFCC wɔtmɔq,E,#CCFFCC bɔɣlaʃ,A
U-Urtoqqishloq 2,#CCFFCC uʃlamɔq,A,#CCFFCC qs̩mɔq,A,#CCFFCC juːmɔq,A,#CCFFCC sʉrtmɔq,A,#CCFFCC tɔrtmɔq,A,#CCFFCC taʃlamɔq,B,#CCFFCC bɔɣlamɔq,A
U-Urtoqqishloq 3,#CCFFCC uʃlamɔq,A,#CCFFCC sq ̩mɔq,C,#CCFFCC jumɔq,A,#CCFFCC sʉrtmɔq,A,#CCFFCC tɔrtmɔq,A,#CCFFCC wɔtmɔq,E,#CCFFCC bɔɣlamɔq,A
U-Urtoqqishloq 4,#CCFFCC uʃlamɔq,A,#CCFFCC qs̩mɔq,A,#CCFFCC juwɪʃ,A,#CCFFCC sʉrtmɔq,A,#CCFFCC tɔrtmɔq,A,#CCFFCC taʃlamɔq,B,#CCFFCC bɒɣlamɔq,A
U-Zarmanak 3,#CCFFCC uʃlamɔq,A,#CCFFCC qismɔq,A,#CCFFCC juviʃ,A,#CCFFCC artmɔq,B,#CCFFCC tortiʃ,A,#CCFFCC taʃlaʃ,B,#CCFFCC bɔɣlaʃ,A
U-Zarmanak 4,#CCFFCC uʃlamɔq,A,#CCFFCC qsmɔq,A,#CCFFCC juvmɔq,A,#CCFFCC artmɔq,B,#CCFFCC tɔrtmɔq,A,#CCFFCC taʃlamɔq,B,#CCFFCC bɔɣlamɔq,A
T-Agalyk,#99CCFF dɔʃtan,E,#CCFFCC qisi kardan,A,#99CCFF ʃuʃtan,B,#99CCFF pɔk,I,#99CCFF kaʃidan,C,#99CCFF partɔftan,G,#99CCFF bastan,G
T-Kamangaron 1,#99CCFF dɔʃtan,E,#99CCFF skɔndan,H,#99CCFF ʃyʃtan,B,#99CCFF pɔk,I,#99CCFF kaʃidan,C,#99CCFF partoftan,G,#99CCFF bastan,G
T-Kamangaron 2,#99CCFF dɔʃʲtan,E,#CCFFCC qisi,A,#99CCFF ʃustan,B,#99CCFF pɔk,I,#99CCFF kaʃidan,C,#99CCFF partoftan,G,#99CCFF bastan,G
T-Kamangaron 3,#99CCFF dɔʃʲtan,E,#CCFFCC qsi,A,#99CCFF ʃytan,B,#99CCFF pɔk,I,,,#99CCFF partoftan,G,#99CCFF bastan,G
T-Kamangaron 4,#99CCFF dɔʃtan,E,#CCFFCC qsi,A,#99CCFF ʃuʃtan,B,#99CCFF pɔk,I,#99CCFF kaʃidan,C,,,#99CCFF ula,K
T-Kaptarhona 1,#99CCFF qapidan,F,#99CCFF ʤaqidan,J,#99CCFF ʃuftan,B,#99CCFF ruftan,K,#99CCFF kaʃidan,C,#99CCFF partoftan,G,#99CCFF bastan,G
T-Kaptarhona 2,#99CCFF qapidan,F,#99CCFF ʤɔqidan,J,#99CCFF suʃtan,B,#99CCFF ruftan,K,#99CCFF kaʃidan,C,#99CCFF partoftan,G,#99CCFF bastan,G
T-Kaptarhona 3,#99CCFF mʲeqapam,F,#99CCFF mʲeʤəqam,J,#99CCFF mʲeʃum,B,#99CCFF toza,L,#99CCFF mʲekaʃam,C,#99CCFF mʲepartom,G,#99CCFF mʲebandom,G
T-Kaptarhona 4,#99CCFF qapit,F,#CCFFCC sqɨmɨs,C,#99CCFF ʃuftan,B,#99CCFF qɔq,J,#99CCFF kaʃit,C,#99CCFF partoft,G,#99CCFF bastak,G
T-Kaptarhona 5,#99CCFF qapidan,F,#99CCFF ʤəqidan,J,#99CCFF ʃuftan,B,#99CCFF ruftan,K,#99CCFF kaʃidan,C,#99CCFF partoftan,G,#99CCFF bastan,G
T-Navdî 1,#99CCFF qapidan,F,#99CCFF ʤʊqidan,J,#99CCFF ʃʉʃtan,B,#99CCFF ʃʉʃtan,N,#99CCFF kaʃidan,C,#99CCFF partɔftan,G,#99CCFF bastan,G
T-Navdî 2,#99CCFF qapidan,F,#99CCFF ʤaqidan,J,#99CCFF ʃyʃtan,B,#99CCFF tɔza,L,#99CCFF kaʃidan,C,#99CCFF partɔftan,G,#99CCFF bastan,G
T-Navdî 3,#99CCFF qapidan,F,#99CCFF ʤaqidan,H,#99CCFF ʃʉstan,B,#99CCFF tɔza,L,#99CCFF taraŋ,D,#99CCFF partɔftan,G,,
T-Nimich 1,#99CCFF qapidan,F,#99CCFF ʤəqidan,J,#99CCFF ʃʉstan,B,#99CCFF pɔk,I,#99CCFF kaʃidan,C,#99CCFF partɔftan,G,#99CCFF bastan,G
T-Nimich 2,#99CCFF qapidan,F,#99CCFF ʤoqidan,J,#99CCFF ʃʉstan,B,#99CCFF tɔza,L,#99CCFF kaʃidan,C,#99CCFF partɔftan,G,#99CCFF bastan,G
T-Nimich 3,#99CCFF qapidan,F,#99CCFF ʧqidan,J,#99CCFF ʃʉstan,B,#99CCFF tɔza,L,,,#99CCFF partɔftan,G,#99CCFF bastan,G
T-Nimich 4,#99CCFF qapidan,F,#99CCFF ʤəqidan,J,#99CCFF ʃuʃtan,B,#99CCFF pɔk,I,#99CCFF kaʃidan,C,#99CCFF partɔftan,G,#99CCFF bastan,G
T-Novmetan 1,#99CCFF dast,E,#CCFFCC paʃ,E,#99CCFF ʃʉʃtan,B,#99CCFF pok,I,#99CCFF kaʃidan,C,#99CCFF avɔ,H,#99CCFF bastan,G
T-Novmetan 2,#99CCFF dast,E,#CCFFCC qɪs,A,#99CCFF ʃʉʃtan,B,#99CCFF pɔk,I,#99CCFF kaʃidan,C,#99CCFF haβɔ,H,#99CCFF bastan,G
T-Nûshor 1,#99CCFF qapidan,F,#99CCFF ʤəqidan,J,#99CCFF ʃʉstan,B,#99CCFF ruftan,K,#99CCFF drɔz,E,#99CCFF partɔftan,G,#99CCFF bastan,G
T-Nûshor 2,#99CCFF qapidan,F,#99CCFF ʤapidan,J,#99CCFF ʃʉjdan,C,#99CCFF ruftan,K,#99CCFF kaʃidan,C,#99CCFF partɔftan,G,,
T-Nûshor 3,#99CCFF qapidan,F,#99CCFF xɔjdan,K,#99CCFF ʃuwidan,C,#99CCFF tɔza,L,#99CCFF kaʃidan,C,#99CCFF partɔftan,G,#99CCFF bastan,G
T-Rishtan 1,#99CCFF qabidan,F,#CCFFCC sxmiʃ,C,#99CCFF ʃystan,B,#99CCFF pɔk,I,#99CCFF kaʃidan,C,#99CCFF ɣɔrʊndan,I,#99CCFF bastan,G
T-Rishtan 2,#99CCFF qapidan,F,#99CCFF qapidan,L,#99CCFF ʃuʃtan,B,#99CCFF pɔk,I,#FF99CC ʒʒim,F,#99CCFF ɣirɣɔndan,I,#99CCFF bastan,G
T-Rishtan 3,#99CCFF qapidan,F,#99CCFF zʲer,M,#99CCFF ʃyʃtan,B,#99CCFF pɔk,I,#99CCFF kaʃidan,C,#99CCFF partoftan,G,#99CCFF bastan,G
T-Shink 1,#99CCFF dɔʃtan,E,#99CCFF maʤaq,J,#99CCFF ʃʉʃtan,B,#99CCFF pɔk,I,#99CCFF kəʃidan,C,#99CCFF partoftan,G,#99CCFF bastan,G
T-Shink 2,#99CCFF qapidan,F,#99CCFF zer,M,#99CCFF ʃʉʃtan,B,#99CCFF tɔza,L,#99CCFF kaʃidan,C,#99CCFF partoftan,G,#99CCFF bastan,G
T-Shink 3,#99CCFF dɔʃtan,E,#99CCFF ʃʉrdan,N,#99CCFF ʃʉstan,B,#99CCFF pɔk,I,#99CCFF kaʃidan,C,#99CCFF partoftan,G,#99CCFF bastan,G
T-Urmetan 1,#99CCFF dɔʃtan,E,,,#99CCFF ʃʉʃtan,B,#99CCFF tɔza,L,#99CCFF kaʃidan,C,#99CCFF partoftan,G,#99CCFF bastan,G
T-Urmetan 2,#99CCFF dɔʃtan,E,#99CCFF qapidan,L,#99CCFF ʃʉʃtan,B,#99CCFF tɔza,L,#99CCFF kaʃidan,C,#99CCFF partoftan,G,#FF99CC uzʲel,L
T-Urmetan 3,#99CCFF dɔʃtan,E,#99CCFF zer,M,#99CCFF ʃəʃtan,B,#99CCFF tɔzə,L,#99CCFF kaʃidan,C,#99CCFF partoftan,G,#99CCFF alɔka,M
T-Urmetan 4,#99CCFF dɔʃtan,E,#99CCFF zer,M,#99CCFF ʃʃtan,B,#99CCFF tɔza,L,#99CCFF kaʃidan,C,#99CCFF partoftan,G,#99CCFF bastan,G
T-Zarmanak 1,#99CCFF dast,E,#CCFFCC qis,A,#99CCFF ʃʉʃtan,B,#99CCFF pɔk,I,#99CCFF kaʃidan,C,#99CCFF hawɔ,H,#99CCFF bastan,G
T-Zarmanak 2,#99CCFF dast,E,#CCFFCC qis,A,#99CCFF ʃʉʃtan,B,#99CCFF pɔk,I,#99CCFF kaʃidan,C,#99CCFF hawɔ,H,#99CCFF bastan,G
Y-Dugova 1,#99CCFF ʧaki,G,#99CCFF likat,P,#99CCFF asinojim,D,#99CCFF arantim,M,#99CCFF axaʃim,C,#99CCFF apartovimʃ,G,#99CCFF avantimʃ,N
Y-Dugova 2,#99CCFF ʧaki,G,#99CCFF muʃti,Q,#99CCFF sinɔjak,D,#99CCFF tɔzai,L,#99CCFF xaʃak,C,#99CCFF partovak,G,#99CCFF vantak,N
Y-Safedorak 1,#99CCFF ʧaki,G,#99CCFF ɣiʒimak,R,#99CCFF sinojak,D,#99CCFF tɔzai,L,#99CCFF xaʃak,C,#99CCFF partovak,G,#99CCFF kaʃoli,O
Y-Safedorak 2,#99CCFF ʧaki,G,#99CCFF ʧʊvak,S,#99CCFF sinojak,D,#99CCFF rantak,M,#99CCFF xaʃak,C,#99CCFF partovak,G,#99CCFF βantak,N
Y-Safedorak 3,,,,,,,,,,,,,,
