Informant,one,one,two,two,three,three,four,four,five,five,big,big,long,long,wide,wide,thick,thick
KK-Halqabad 2,#CCFFCC bər,A,#CCFFCC jɪkɐ,A,#CCFFCC ʉʃ,A,#CCFFCC tørt,A,#CCFFCC bʲes,A,#CCFFCC ʉlken,A,#CCFFCC uzaq,A,#CCFFCC kʲeŋ,A,#CCFFCC sʲemɨz̥,B
KK-Halqabad 3,#CCFFCC bər,A,#CCFFCC jɪkə,A,#CCFFCC ʉʃ,A,#CCFFCC tørt,A,#CCFFCC bʲes,A,#CCFFCC ʉlkøn,A,#CCFFCC uzaq,A,#CCFFCC kʲeŋ,A,#CCFFCC ʒʊwan,A
KK-Kokdarya 1,#CCFFCC bər,A,#CCFFCC jekke,A,#CCFFCC yʧ,A,#CCFFCC tœrt,A,#CCFFCC bʲeʃ,A,#CCFFCC ʉlgən,A,#CCFFCC uzaq,A,#CCFFCC kʲeŋ,A,#CCFFCC sʲemɨz̥,B
KK-Kokdarya 2,#CCFFCC bər,A,#CCFFCC jika,A,#CCFFCC ʉʃ,A,#CCFFCC tœrt,A,#CCFFCC bʲɪs,A,#CCFFCC ʉlken,A,#CCFFCC ʊzaq,A,#CCFFCC kʲɪŋ,A,#CCFFCC sʲemɨz̥,B
KK-Kokdarya 3,#CCFFCC bər,A,#CCFFCC jɪkʲe,A,#CCFFCC yʧ,A,#CCFFCC tørt,A,#CCFFCC bʲɪs,A,#CCFFCC katta,C,#CCFFCC uzaq,A,#CCFFCC kʲeŋ,A,#CCFFCC sʲemɨz̥,B
KK-Kokdarya 4,#CCFFCC bər,A,#CCFFCC jekə,A,#CCFFCC ʉʃ,A,#CCFFCC tørt,A,#CCFFCC bʲes,A,#CCFFCC ʉlken,A,#CCFFCC uzaq,A,#CCFFCC kʲeŋ,A,#CCFFCC qalən,C
KK-Shege 1,#CCFFCC bər,A,#CCFFCC jɪkɐ,A,#CCFFCC ʉʃ,A,#CCFFCC twørt,A,#CCFFCC bʲɪs,A,#CCFFCC ʉlkən,A,#CCFFCC uzaq,A,#CCFFCC kʲɪŋ,A,#CCFFCC sʲemɪz̥,B
KK-Shege 2,#CCFFCC bər̯,A,#CCFFCC jɪkɐ,A,#CCFFCC ʉʃ,A,#CCFFCC tørt,A,#CCFFCC bʲɪs,A,#CCFFCC ʉlkən,A,#CCFFCC uzaq,A,#CCFFCC kʲeŋ,A,#CCFFCC tɔlq,E
KK-Shege 3,#CCFFCC bər,A,#CCFFCC jɪkɐ,A,#CCFFCC ʉʃ,A,#CCFFCC tørt,A,#CCFFCC bʲɪs,A,#CCFFCC ʉlken,A,#CCFFCC uzaq,A,#CCFFCC kʲeŋ,A,#CCFFCC ʒʊwan,A
KK-Shege 4,#CCFFCC bər,A,#CCFFCC jɪkɐ,A,#CCFFCC ʉʃ,A,#CCFFCC tørt,A,#CCFFCC bʲɪs,A,#CCFFCC ʉlkʲen,A,#CCFFCC ʊzaq,A,,,#CCFFCC tɔlpaq,J
U-Hitoy 1,#CCFFCC bɪr,A,#CCFFCC jɪkə,A,#CCFFCC yʧ,A,#CCFFCC tørt,A,#CCFFCC bʲɪʃ,A,#CCFFCC ʉlkən,A,#CCFFCC uzaq,A,#CCFFCC kʲeŋ,A,#CCFFCC sʲemɪz̥,B
U-Hitoy 2,#CCFFCC ber,A,#CCFFCC jɪkɐ,A,#CCFFCC ʉʧ,A,#CCFFCC tørt,A,#CCFFCC bʲɪs,A,#CCFFCC ʉlken,A,#CCFFCC ʊzaq,A,#CCFFCC kʲeŋ,A,#CCFFCC sʲemɨz̥,B
U-Hitoy 3,#CCFFCC bər,A,#CCFFCC jɪkɐ,A,#CCFFCC ʉʃ,A,#CCFFCC tørt,A,#CCFFCC bʲɪs,A,#CCFFCC ʉlkɛn,A,,,#CCFFCC kʲeŋ,A,#CCFFCC sʲemɨz̥,B
U-Novmetan 3,#CCFFCC bɪr,A,#CCFFCC ikkʲe,A,#CCFFCC uʧ,A,#CCFFCC tʉrt,A,#CCFFCC bɪʃ,A,#CCFFCC qapta,C,#CCFFCC uzɔq,A,#CCFFCC keŋ,A,#CCFFCC jɔɣɔn,A
U-Soy Mahalla 1,#CCFFCC bər,A,#CCFFCC ikkʲe,A,#CCFFCC yʧ,A,#CCFFCC tør,A,#CCFFCC bʲeʃ,A,#CCFFCC katta,C,,,#CCFFCC kʲɪŋ,A,#CCFFCC jɔɣɔn,A
U-Soy Mahalla 2,#CCFFCC bər,A,#CCFFCC ikkʲe,A,#CCFFCC yʧ,A,#CCFFCC tør,A,#CCFFCC bʲeʃ,A,#CCFFCC katta,C,#CCFFCC uzɔq,A,#CCFFCC kʲeŋ,A,#CCFFCC sʲeməz̥,B
U-Soy Mahalla 3,#CCFFCC bər,A,#CCFFCC ikkʲe,A,#CCFFCC yʧ,A,#CCFFCC tørt,A,#CCFFCC bʲeʃ,A,#CCFFCC katta,C,#CCFFCC uzaq,A,#CCFFCC kʲeŋ,A,#CCFFCC sʲemɨz̥,B
U-Urtoqqishloq 1,#CCFFCC bɪr,A,#CCFFCC ikkʲe,A,#CCFFCC ʉʧ,A,#CCFFCC tʉrt,A,#CCFFCC bʲeʃ,A,#CCFFCC katta,C,#CCFFCC uzɔqtan,A,#CCFFCC kʲeŋ,A,#CCFFCC sʲemɪz̥,B
U-Urtoqqishloq 2,#CCFFCC bɪr,A,#CCFFCC ikta,A,#CCFFCC uʃta,B,#CCFFCC tʉrta,B,#CCFFCC bʲeʃta,B,#CCFFCC katta,C,#CCFFCC uzɒq,A,#CCFFCC kʲeŋ,A,#CCFFCC jʉɣɔn,A
U-Urtoqqishloq 3,#CCFFCC bɪr,A,#CCFFCC ikkʲe,A,#CCFFCC ʉʧ,A,#CCFFCC tʉrt,A,#CCFFCC bɪs,A,#CCFFCC katta,C,#CCFFCC uzɔq,A,#CCFFCC kʲɛn,A,#CCFFCC sʲemɪz̥,B
U-Urtoqqishloq 4,#CCFFCC bɪr,A,#CCFFCC ikkʲɪ,A,#CCFFCC ʉʧ,A,#CCFFCC tʉrt,A,#CCFFCC bɪs,A,#CCFFCC katta,C,#CCFFCC uzaq,A,#CCFFCC kɪŋ,A,#CCFFCC sʲemɪz̥,B
U-Zarmanak 3,#CCFFCC bɪr,A,#CCFFCC ikki,A,#CCFFCC uʧ,A,#CCFFCC tʉrt,A,#CCFFCC bʲɪʃ,A,#CCFFCC qapta,C,#CCFFCC uzɔq,A,#CCFFCC kʲeŋə,A,#CCFFCC semiz̥,B
U-Zarmanak 4,#CCFFCC bər,A,#CCFFCC ikkʲe,A,#CCFFCC uʧ,A,#CCFFCC tʉrt,A,#CCFFCC bɪʃ,A,#CCFFCC qapta,C,#CCFFCC uzɔq,A,#CCFFCC kiŋ,A,#CCFFCC qalən,C
T-Agalyk,#99CCFF jak,B,#99CCFF du,B,#99CCFF sʲɛ,C,#99CCFF ʧahɔr,C,#99CCFF panʤ,C,#99CCFF kalɔn,D,#99CCFF mudat,H,#99CCFF pahan,M,#99CCFF ɣasp,H
T-Kamangaron 1,#99CCFF jak,B,#99CCFF du,B,#99CCFF se,C,#99CCFF ʧɔr,C,#99CCFF panʒ,C,#99CCFF kalɔn,D,#99CCFF dur,I,#99CCFF vasʲe,N,#99CCFF ɣasp,H
T-Kamangaron 2,#99CCFF jak,B,#99CCFF du,B,#99CCFF se,C,#99CCFF ʧɔr,C,#99CCFF panʒ,C,#99CCFF kalɔn,D,#99CCFF dur,I,#99CCFF vasʲe,N,#99CCFF ɣasp,H
T-Kamangaron 3,#99CCFF jakta,C,#99CCFF duttə,C,#99CCFF setta,D,#99CCFF ʧɔrta,D,#99CCFF panʒta,D,#99CCFF kalɔn,D,#99CCFF dur,I,#99CCFF vasʲe,N,#99CCFF ɣasp,H
T-Kamangaron 4,#99CCFF jak,B,#99CCFF dʊ,B,#99CCFF sʲe,C,#99CCFF ʧɔr,C,#99CCFF panʒ,C,#99CCFF kalɔ̴̃n,D,#99CCFF darɔxt,J,#99CCFF vasʲe,N,#99CCFF ɣaft,H
T-Kaptarhona 1,#99CCFF jak,B,#99CCFF dø,B,#99CCFF se,C,#99CCFF ʧɔːr,C,#99CCFF panʤ,C,#CCFFCC katta,C,#99CCFF dərɔz,J,#99CCFF kʃɔt,O,#99CCFF ɣaus,H
T-Kaptarhona 2,#99CCFF jak,B,#99CCFF dʊ,B,#99CCFF sɛ,C,#99CCFF ʧahɔr,C,#99CCFF panʒ,C,#CCFFCC katta,C,#99CCFF dur,I,#99CCFF kuʃɔt,O,#99CCFF farbi,K
T-Kaptarhona 3,#99CCFF jak,B,#99CCFF dø,B,#99CCFF se,C,#99CCFF ʧɔr,C,#99CCFF panʒ,C,#CCFFCC katta,C,#99CCFF dur,I,#99CCFF kʃɔt,O,#99CCFF farbi,K
T-Kaptarhona 4,#99CCFF jak,B,#99CCFF dø,B,#99CCFF sʲe,C,#99CCFF ʧɔr,C,#99CCFF panʒ,C,#CCFFCC katta,C,#99CCFF dur,I,#99CCFF kʃɔt,O,#99CCFF ɣaus,H
T-Kaptarhona 5,#99CCFF jak,B,#99CCFF dø,B,#99CCFF sʲɛ,C,#99CCFF ʧɔr,C,#99CCFF panʒ,C,#CCFFCC katta,C,#99CCFF dur,I,#99CCFF kʃɔt,O,#99CCFF farbi,K
T-Navdî 1,#99CCFF jak,B,#99CCFF du,B,#99CCFF se,C,#99CCFF ʧɔr,C,#99CCFF panʤ˳,C,#99CCFF kalɔn,D,#99CCFF darɔz,J,#99CCFF ɣafs,P,#99CCFF farbe,K
T-Navdî 2,#99CCFF jaktə,C,#99CCFF dutɐ,C,#99CCFF sʲetɐ,D,#99CCFF ʧɔrtə,D,#99CCFF panʃtɐ,D,#99CCFF kalɔn,D,#99CCFF bisjɔr,K,#99CCFF pahn,M,#99CCFF ɣafs,H
T-Navdî 3,#99CCFF jaktɐ,C,#99CCFF dʉtɐ,C,#99CCFF sʲetɐ,D,#99CCFF ʧɔrtɐ,D,#99CCFF panʃtɐ,D,#99CCFF kalɔn,D,#99CCFF darɔz,J,#99CCFF pahan,M,#99CCFF ɣafs,H
T-Nimich 1,#99CCFF jak,B,#99CCFF dʊ,B,#99CCFF se,C,#99CCFF ʧɔr,C,#99CCFF panʒ,C,#99CCFF kalɔn,D,#99CCFF bisjɔr,K,#99CCFF kalɔn,Q,#99CCFF ɣafs,H
T-Nimich 2,#99CCFF jak,B,#99CCFF du,B,#99CCFF se,C,#99CCFF ʧohɔr,D,#99CCFF panʒ,C,#99CCFF kalɔn,D,#99CCFF bisjɔr,K,#99CCFF kuʃoda,R,#99CCFF ɣafs,H
T-Nimich 3,#99CCFF jak,B,#99CCFF dʊ,B,#99CCFF se,C,#99CCFF ʧɔhɔr,D,#99CCFF panʒ,C,#99CCFF kalɔn,D,#99CCFF darɔz̥,J,#99CCFF kalɔn,Q,#99CCFF farbe,K
T-Nimich 4,#99CCFF jak,B,#99CCFF də,B,#99CCFF se,C,#99CCFF ʧɔr,C,#99CCFF panʒ,C,#99CCFF kalɔn,D,#99CCFF darɔz̥,J,#99CCFF pahn,M,#99CCFF ɣafs,H
T-Novmetan 1,#99CCFF jakta,C,#99CCFF dutta,C,#99CCFF sʲeta,D,#99CCFF ʧɔrta,D,#99CCFF panʲʒta,D,#99CCFF kalɔn,D,#99CCFF mʉl,L,#99CCFF darɔz,ʃ,#99CCFF ɣaɣs,H
T-Novmetan 2,#99CCFF jak,B,#99CCFF du,B,#99CCFF se,C,#99CCFF ʧɔr,C,#99CCFF panʒ,C,#99CCFF kalɔn,D,#99CCFF mʉlvaxt,L,#99CCFF vasi,N,#99CCFF ɣaus,H
T-Nûshor 1,#99CCFF jak,B,#99CCFF dø,B,#99CCFF se,C,#99CCFF ʧɔr,C,#99CCFF panʒ,C,#99CCFF kalɔn,D,#99CCFF darɔz,J,#99CCFF kuʃɔd,O,#99CCFF ɣaβs,H
T-Nûshor 2,#99CCFF jak,B,#99CCFF du,B,#99CCFF se,C,#99CCFF ʧɔr,C,#99CCFF panʒ,C,#99CCFF kalɔn,D,#99CCFF bisjɔr,K,#99CCFF pahn,M,#99CCFF farbe,K
T-Nûshor 3,#99CCFF jak,B,#99CCFF dø,B,#99CCFF se,C,#99CCFF ʧɔr,C,#99CCFF panʒ˳,C,#99CCFF kalɔn,D,#99CCFF drɔz,J,#99CCFF kʃɔt,O,#99CCFF ɣaws,H
T-Rishtan 1,#99CCFF jak,B,#99CCFF dø,B,#99CCFF sʲe,C,#99CCFF ʧɔr,C,#99CCFF panʒ,C,#99CCFF kalɔn,D,#99CCFF dur,I,#99CCFF farɔq,T,#99CCFF farbʲe,K
T-Rishtan 2,#99CCFF jak,B,#99CCFF du,B,#99CCFF se,C,#99CCFF ʧɔr,C,#99CCFF panʒ,C,#99CCFF kalɔn,D,,,#99CCFF farɔq,T,#99CCFF ɣaβs,H
T-Rishtan 3,#99CCFF jaktə,C,#99CCFF dyttə,C,#99CCFF sʲeta,D,#99CCFF ʧɔrta,D,#99CCFF panʃta,D,#99CCFF kalɔn,D,#99CCFF dur,I,#99CCFF vasʲe,N,#99CCFF ɣaws,H
T-Shink 1,#99CCFF jak,B,#99CCFF døː,B,#99CCFF seː,C,#99CCFF ʧɔr,C,#99CCFF panʒ,C,#99CCFF bisjɔr,E,#99CCFF bisjɔr,K,#99CCFF kʃɔt,O,#99CCFF ɣaws,H
T-Shink 2,#99CCFF jakta,C,#99CCFF døtta,C,#99CCFF seˑta,D,#99CCFF ʧɔrta,D,#99CCFF panʒta,D,#99CCFF kalɔn,D,#99CCFF dur,I,#99CCFF vase,N,#99CCFF ɣafs,H
T-Shink 3,#99CCFF jak,B,#99CCFF døː,B,#99CCFF sʲeː,C,#99CCFF ʧɔˑr,C,#99CCFF panʒ,C,#99CCFF kalɔn,D,#99CCFF dur,I,#99CCFF vasʲe,N,#99CCFF ɣafs,H
T-Urmetan 1,#99CCFF jak,B,#99CCFF du,B,#99CCFF se,C,#99CCFF ʧɔr,C,#99CCFF panʒ,C,#99CCFF kalɔn,D,#99CCFF darɔz̥,J,#99CCFF vase,E,#99CCFF ɣafs,H
T-Urmetan 2,#99CCFF jak,B,#99CCFF du,B,#99CCFF se,C,#99CCFF ʧɔr,C,#99CCFF panʒ,C,#99CCFF kalɔn,D,,,#99CCFF vase,E,#99CCFF ɣafs,H
T-Urmetan 3,#99CCFF jaktɒ,C,#99CCFF døttɒ,C,#99CCFF seta,D,#99CCFF ʧɔr,C,#99CCFF panʒ,C,#99CCFF kalɔn,D,#99CCFF davɔmnɔk,O,#99CCFF vase,E,#99CCFF ɣafs,H
T-Urmetan 4,#99CCFF jak,B,#99CCFF dyː,B,#99CCFF se,C,#99CCFF ʧɔr,C,#99CCFF panʒ,C,#99CCFF bisjɔr,E,#99CCFF bisjɔr,K,,,#99CCFF ɣafs,H
T-Zarmanak 1,#99CCFF jakta,C,#99CCFF duttɐ,C,#99CCFF sʲeta,D,#99CCFF ʧɔrta,D,#99CCFF panʧ,C,#99CCFF kalɔn,D,#99CCFF dur,I,#99CCFF vasʲe,E,#99CCFF ɣul,L
T-Zarmanak 2,#99CCFF jak,B,#99CCFF du,B,#99CCFF sʲe,C,#99CCFF ʧɔr,C,#99CCFF panʧ,C,#99CCFF kalɔn,D,#99CCFF dur,I,#99CCFF sʲerbar,L,#99CCFF ɣavs,H
Y-Dugova 1,#99CCFF iː,D,#99CCFF dʊː,B,#99CCFF saraj,E,#99CCFF safɔr,C,#99CCFF panʒ,C,#99CCFF kalɔn,D,#99CCFF darɔz,J,#99CCFF kuʃɔd,F,#99CCFF ɣafs,H
Y-Dugova 2,#99CCFF iː,D,#99CCFF døː,B,#99CCFF traj,E,#99CCFF tufɔːr,C,#99CCFF panʧ,C,#CCFFCC katta,C,#99CCFF ɣer,M,#99CCFF kuʃɔd,F,#99CCFF ɣafs,H
Y-Safedorak 1,#99CCFF iː,D,#99CCFF dʊ,B,#99CCFF tʲiraj,E,#99CCFF tʊfɔr,C,#99CCFF panʧ,C,#CCFFCC katta,C,#99CCFF ɣer,M,#99CCFF kʊʃɔd,F,#99CCFF ɣafs,H
Y-Safedorak 2,#99CCFF iː,D,#99CCFF dʉ,B,#99CCFF traj,E,#99CCFF tfuːr,C,#99CCFF panʧ,C,#CCFFCC katta,C,#99CCFF ɣɪːr,M,#99CCFF kʊʃɔd,F,#99CCFF ɣafs,H
Y-Safedorak 3,#99CCFF iː,D,#99CCFF dʊː,B,#99CCFF tɪraj,E,#99CCFF tfɔːr,C,#99CCFF panʧ,C,#CCFFCC katta,C,#99CCFF dirʊ van,N,#99CCFF kɪʃɔd,F,#99CCFF ɣafs,H
