Informant,head,head,ear,ear,eye,eye,nose,nose,mouth,mouth,tooth,tooth,tongue,tongue,nail,nail,leg,leg
Ki-Barskoon,#CCFFCC baʃ,A,#CCFFCC qulaq,A,#CCFFCC køz̥,A,#CCFFCC murun,A,#CCFFCC ɔːz̥,A,#CCFFCC tiʃ,A,#CCFFCC tɪl,A,#CCFFCC tɨrmɒq,A,#CCFFCC but,B
Ki-Kulanak 1,#CCFFCC baʃ,A,#CCFFCC qulaq,A,#CCFFCC køz̥,A,#CCFFCC murun,A,#CCFFCC ɔːz̥,A,#CCFFCC tiʃ,A,#CCFFCC til,A,#CCFFCC tɨrmɒq,A,#CCFFCC bʊt,B
Ki-Kulanak 2,#CCFFCC baʃ,A,#CCFFCC qulaq,A,#CCFFCC gøz̥,A,#CCFFCC murun,A,#CCFFCC ɔːz̥,A,#CCFFCC tiʃ,A,#CCFFCC til,A,#CCFFCC tɨrnaq,A,#CCFFCC but,B
Ki-Kulanak 3,#CCFFCC baʃ,A,#CCFFCC qulaq,A,#CCFFCC gøz̥,A,#CCFFCC murun,A,#CCFFCC ɔːz̥,A,#CCFFCC tiʃ,A,#CCFFCC til,A,#CCFFCC tɨrmaq,A,#CCFFCC but,B
Ki-Kulanak 4,#CCFFCC baʃ,A,#CCFFCC qulaq,A,#CCFFCC gøz̥,A,#CCFFCC murun,A,#CCFFCC ɔːz̥,A,#CCFFCC tiʃ,A,#CCFFCC til,A,#CCFFCC tɨrmaq,A,#CCFFCC but,B
Ki-Kulanak 5,#CCFFCC baʃ,A,#CCFFCC qulaq,A,#CCFFCC gøz̥,A,#CCFFCC murun,A,#CCFFCC ɔːz̥,A,#CCFFCC tiʃ,A,#CCFFCC til,A,#CCFFCC tɨrnaq,A,#CCFFCC but,B
Ki-Orday 1,#CCFFCC bɒʃ,A,#CCFFCC qulɒq,A,#CCFFCC køs,A,#CCFFCC burun,A,#CCFFCC ɔːz,A,#CCFFCC tiʃ,A,#CCFFCC tɪl,A,#CCFFCC tɨrnɒq,A,#CCFFCC pʊt,B
Ki-Orday 2,#CCFFCC bɒʃ,A,#CCFFCC qulɒq,A,#CCFFCC gøz,A,#CCFFCC burun,A,#CCFFCC ɔːz,A,#CCFFCC tiʃ,A,#CCFFCC tɪl,A,#CCFFCC tɨndaq,A,#CCFFCC pʊt,B
Ki-Orday 3,#CCFFCC baʃ,A,#CCFFCC qulɒq,A,#CCFFCC gøz̥,A,#CCFFCC burun,A,#CCFFCC ɔːz,A,#CCFFCC tiʃ,A,#CCFFCC tɪl,A,#CCFFCC tɨndaq,A,#CCFFCC pʊt,B
Ki-Orday 4,#CCFFCC bɒʃ,A,#CCFFCC qulɒq,A,#CCFFCC køz̥,A,#CCFFCC murun,A,#CCFFCC lap,B,#CCFFCC tiʃ,A,#CCFFCC tɪl,A,#CCFFCC tɨrmɒq,A,#CCFFCC but,B
Ki-Tamga,#CCFFCC baʃ,A,#CCFFCC qulaq,A,#CCFFCC gøz̥,A,#CCFFCC murun,A,#CCFFCC ɔːz,A,#CCFFCC tiʃ,A,#CCFFCC til,A,#CCFFCC tɨrmaq,A,#CCFFCC but,B
KK-Halqabad 1,#CCFFCC bas,A,#CCFFCC qulaq,A,#CCFFCC kwøz̥,A,#CCFFCC mʊrʊn,A,#CCFFCC awɨz,A,#CCFFCC tis,A,#CCFFCC tɪl,A,#CCFFCC tɨrnɒq,A,#CCFFCC ajaq,A
KK-Halqabad 2,#CCFFCC bas,A,#CCFFCC qulaq,A,#CCFFCC kwøz̥,A,#CCFFCC mʊrʊn,A,#CCFFCC awɨz,A,#CCFFCC tis,A,#CCFFCC tɪl,A,#CCFFCC tɨrnɒq,A,#CCFFCC ajaq,A
KK-Halqabad 3,#CCFFCC bas,A,#CCFFCC qulaq,A,#CCFFCC kwøz̥,A,#CCFFCC mʊrʊn,A,#CCFFCC awʊz,A,#CCFFCC tɪs,A,#CCFFCC tɪl,A,#CCFFCC tɨrnɒq,A,#CCFFCC ajaq,A
KK-Kokdarya 1,#CCFFCC bas,A,#CCFFCC qulaq,A,#CCFFCC kwøz̥,A,#CCFFCC mʊrən,A,#CCFFCC aɣɜz̥,A,#CCFFCC tɪs,A,#CCFFCC tɪl,A,#CCFFCC tɨrnaq,A,#CCFFCC ajaq,A
KK-Kokdarya 2,#CCFFCC bas,A,#CCFFCC qulaq,A,#CCFFCC kwøz̥,A,#CCFFCC mʊrən,A,#CCFFCC awɨz̥,A,#CCFFCC tis,A,#CCFFCC tɪl,A,#CCFFCC tɨrnɒq,A,#CCFFCC ajaq,A
KK-Kokdarya 3,#CCFFCC bas,A,#CCFFCC qulaq,A,#CCFFCC kwøz,A,#CCFFCC mʊrən,A,#CCFFCC aɣɨz̥,A,#CCFFCC tis,A,#CCFFCC tɪl,A,#CCFFCC tɨrmɒq,A,#CCFFCC ajaq,A
KK-Kokdarya 4,#CCFFCC bas,A,#CCFFCC qulɒq,A,#CCFFCC kwøz̥,A,#CCFFCC mʊrʊn,A,#CCFFCC awɨz̥,A,#CCFFCC tis,A,#CCFFCC tɪl,A,#CCFFCC tɨrnɒq,A,#CCFFCC ajaq,A
KK-Shege 1,#CCFFCC bas,A,#CCFFCC qulaq,A,#CCFFCC kwøz̥,A,#CCFFCC mʊrʊn,A,#CCFFCC awɨz,A,#CCFFCC tis,A,#CCFFCC tɪl,A,#CCFFCC tɨrnɒq,A,#CCFFCC ajaq,A
KK-Shege 2,#CCFFCC bas,A,#CCFFCC qulaq,A,#CCFFCC kwøz̥,A,#CCFFCC mʊrʊn,A,#CCFFCC awɨz,A,#CCFFCC tis,A,#CCFFCC tɪl,A,#CCFFCC tɨrnɒq,A,#CCFFCC ajaq,A
KK-Shege 3,#CCFFCC bas,A,#CCFFCC qulaq,A,#CCFFCC kwøz̥,A,#CCFFCC mʊrɨn,A,#CCFFCC awɨz,A,#CCFFCC tis,A,#CCFFCC tɪl,A,#CCFFCC tɨrnɒq,A,#CCFFCC ajaq,A
KK-Shege 4,#CCFFCC bas,A,#CCFFCC qulaq,A,#CCFFCC kwøz̥,A,#CCFFCC mʊrʊn,A,#CCFFCC awɨz,A,#CCFFCC tis,A,#CCFFCC tɪl,A,#CCFFCC tɨrnɒq,A,#CCFFCC ajaq,A
U-Hitoy 1,#CCFFCC baʃ,A,#CCFFCC qulaq,A,#CCFFCC kwøz̥,A,#CCFFCC mʉrʉn,A,#CCFFCC awɨz,A,#CCFFCC tiʃ,A,#CCFFCC tɪl,A,#CCFFCC tɨrnɒq,A,#CCFFCC ajaq,A
U-Hitoy 2,#CCFFCC baʃ,A,#CCFFCC qulaq,A,#CCFFCC kwøz̥,A,#CCFFCC mʊrən,A,#CCFFCC awɨz,A,#CCFFCC tiʃ,A,#CCFFCC tɪl,A,#CCFFCC tɨrnɒq,A,#CCFFCC ajaq,A
U-Hitoy 3,#CCFFCC baʃ,A,#CCFFCC qulaq,A,#CCFFCC kwøz̥,A,#CCFFCC mʊrən,A,#CCFFCC awɨz,A,#CCFFCC tis,A,#CCFFCC tɪl,A,#CCFFCC tɨrnɒq,A,#CCFFCC ajaq,A
U-Novmetan 3,#CCFFCC bɔʃʲ,A,#CCFFCC qulɔq,A,#CCFFCC kʉz̥,A,#CCFFCC burun,A,#CCFFCC ɔɣəz̥,A,#CCFFCC tiʃ,A,#CCFFCC til,A,#CCFFCC tɨrnɔq,A,#CCFFCC ajɔq,A
U-Soy Mahalla 1,#CCFFCC bɒʃ,A,#CCFFCC qulɒq,A,#CCFFCC køz̥,A,#CCFFCC burun,A,#CCFFCC ɔɣɨz̥,A,#CCFFCC tɪʃ,A,#CCFFCC tɪl,A,#CCFFCC tɨrnɒq,A,#CCFFCC ajɒq,A
U-Soy Mahalla 2,#CCFFCC bɔʃ,A,#CCFFCC qulɒq,A,#CCFFCC køz,A,#CCFFCC burun,A,#CCFFCC ɔɣɜz̥,A,#CCFFCC tiʃ,A,#CCFFCC tɪl,A,#CCFFCC tɨrnaq,A,#CCFFCC ajaq,A
U-Soy Mahalla 3,#CCFFCC bɔʃ,A,#CCFFCC qulaq,A,#CCFFCC gøz̥,A,#CCFFCC burun,A,#CCFFCC ɔɣɨz̥,A,#CCFFCC tiʃ,A,#CCFFCC tɪl,A,#CCFFCC tɨrnaq,A,#CCFFCC ajaq,A
U-Urtoqqishloq 1,#CCFFCC bɔʃ,A,#CCFFCC qulɒq,A,#CCFFCC kwʉz̥,A,#CCFFCC burun,A,#CCFFCC ɔɣəz̥,A,#CCFFCC tɪʃ,A,#CCFFCC tɪl,A,#CCFFCC tərnɔq,A,#CCFFCC ɔjɒq,A
U-Urtoqqishloq 2,#CCFFCC bɔʃ,A,#CCFFCC qulɒq,A,#CCFFCC kwʉz̥,A,#CCFFCC burun,A,#CCFFCC ɔɣəz̥,A,#CCFFCC tɪʃ,A,#CCFFCC tɪl,A,#CCFFCC tərnɒq,A,#CCFFCC ɔjaq,A
U-Urtoqqishloq 3,#CCFFCC bɔʃ,A,#CCFFCC qulɔq,A,#CCFFCC kwʉz̥,A,#CCFFCC bʊrʊn,A,#CCFFCC ɔɣəz,A,#CCFFCC tɪʃ,A,#CCFFCC tɪl,A,#CCFFCC tr̩nɔq,A,#CCFFCC ɔjaq,A
U-Urtoqqishloq 4,#CCFFCC kalla,B,#CCFFCC qulɒq,A,#CCFFCC kwʉz̥,A,#CCFFCC bʊrʊn,A,#CCFFCC ɔɣəz,A,#CCFFCC tɪʃ,A,#CCFFCC tɪl,A,#CCFFCC tr̩̩nɔq,A,#CCFFCC ɒjaq,A
U-Zarmanak 3,#CCFFCC bɔʃ,A,#CCFFCC qulɔq,A,#CCFFCC kʉz,A,#CCFFCC burun,A,#CCFFCC ɔɣəz,A,#CCFFCC tiʃ,A,#CCFFCC til,A,#99CCFF nɔxun,B,#CCFFCC ɔjɔq,A
U-Zarmanak 4,#CCFFCC bɔʃ,A,#CCFFCC qulɔq,A,#CCFFCC kʉz̥,A,#CCFFCC burun,A,#CCFFCC ɔɣəz̥,A,#CCFFCC tiʃ,A,#CCFFCC tɨl,A,#CCFFCC tɪrnɔq,A,#CCFFCC ɔjɔq,A
T-Agalyk,#99CCFF sar,C,#99CCFF guʃ,B,#99CCFF ʧaʃm,C,#99CCFF bindi,D,#99CCFF dahɔn,C,#99CCFF dandɔn,B,#99CCFF zabɔn,B,#99CCFF nɔxun,B,#99CCFF pɔj,C
T-Kamangaron 1,#99CCFF sar,C,#99CCFF køʃ,B,#99CCFF ʧaʃm,C,#99CCFF bindi,D,#99CCFF dahɔn,C,#99CCFF dandɔ̃n,B,#99CCFF zuvɔn,B,#99CCFF nɔxun,B,#99CCFF pɔʧa,D
T-Kamangaron 2,#CCFFCC kalla,B,#99CCFF gøʃʲ,B,#99CCFF ʧaʃm,C,#99CCFF binda,D,#99CCFF dahɔn,C,#99CCFF dandɔn,B,#99CCFF zavɔn,B,#99CCFF nɔxʊn,B,#99CCFF pɔj,C
T-Kamangaron 3,#CCFFCC kalla,B,#99CCFF gyʃ,B,#99CCFF ʧaʃm̩,C,#99CCFF binda,D,#99CCFF dahan,C,#99CCFF dandɔn,B,#99CCFF zavɔn,B,#99CCFF nɔxun,B,#99CCFF pɔ,C
T-Kamangaron 4,#99CCFF sar,C,#99CCFF gøʃ,B,#99CCFF ʧaʃm,C,#99CCFF binda,D,#99CCFF dahan,C,#99CCFF dandɔ̃n,B,#99CCFF zvɔ̃n,B,#99CCFF nɔhun,B,#99CCFF pɔ,C
T-Kaptarhona 1,#99CCFF sar,C,#99CCFF guʃ,B,#99CCFF ʧəʃm̩,C,#99CCFF bənni,D,#99CCFF dahan,C,#99CCFF dandun,B,#99CCFF zuhun,B,#99CCFF nɔxun,B,#99CCFF poʧik,D
T-Kaptarhona 2,#99CCFF sar,C,#99CCFF guʃ,B,#99CCFF ʧaʃəm,C,#99CCFF binni,D,#99CCFF dahan,C,#99CCFF dandɔ̃n,B,#99CCFF zabɔn,B,#99CCFF nɔxun,B,#99CCFF pɔʧuk,D
T-Kaptarhona 3,#CCFFCC kalla,B,#99CCFF guʃ,B,#99CCFF ʧam,C,#99CCFF bənnʲi,D,#99CCFF dahan,C,#99CCFF dandʊn,B,#99CCFF zuhun,B,#99CCFF noxun,B,#99CCFF pɔʧik,D
T-Kaptarhona 4,#CCFFCC kalla,B,#99CCFF guʃ,B,#99CCFF ʧeʃm̩,C,#99CCFF binʲi,D,#99CCFF dahan,C,#99CCFF dandʊn,B,#99CCFF zuhun,B,#99CCFF nɔxun,B,#99CCFF pɔʧik,D
T-Kaptarhona 5,#CCFFCC kalla,B,#99CCFF guʃ,B,#99CCFF ʧm̩,C,#99CCFF bɛnni,D,#99CCFF dahan,C,#99CCFF dandun,B,#99CCFF zuhun,B,#99CCFF nɔxun,B,#99CCFF pɔʧk̩,D
T-Navdî 1,#99CCFF sar,C,#99CCFF guʃ,B,#99CCFF ʧaʃm,C,#99CCFF biniː,D,#99CCFF dahan,C,#99CCFF dandon,B,#99CCFF zabɔn,B,#99CCFF noxun,B,#99CCFF po,C
T-Navdî 2,#99CCFF sar,C,#99CCFF guʃ,B,#99CCFF ʧaʃm,C,#99CCFF biniː,D,#99CCFF dahɔn,C,#99CCFF dandon,B,#99CCFF zabɔn,B,#99CCFF noxun,B,#99CCFF pɔj,C
T-Navdî 3,#99CCFF sar,C,#99CCFF guʃ,B,#99CCFF ʧaʃm̩,C,#99CCFF biniː,D,#99CCFF dahɔn,C,#99CCFF dandɔn,B,#99CCFF zabɔn,B,#99CCFF nɔxun,B,#99CCFF pɔ,C
T-Nimich 1,#99CCFF sar,C,#99CCFF guʃ,B,#99CCFF ʧaʃm̩,C,#99CCFF biniː,D,#99CCFF dahɔn,C,#99CCFF dandɔn,B,#99CCFF zabɔn,B,#99CCFF nɔxun,B,#99CCFF pɔ,C
T-Nimich 2,#99CCFF sar,C,#99CCFF guʃ,B,#99CCFF ʧaʃm̩,C,#99CCFF biniː,D,#99CCFF dahɔn,C,#99CCFF dandɔn,B,#99CCFF zabɔn,B,#99CCFF nɔxun,B,#99CCFF pɔj,C
T-Nimich 3,#99CCFF sar,C,#99CCFF guʃ,B,#99CCFF ʧm̩,C,#99CCFF biniː,D,#99CCFF dahɔn,C,#99CCFF dandɔn,B,#99CCFF zabɔn,B,#99CCFF nɔxun,B,#99CCFF pɔ,C
T-Nimich 4,#99CCFF sar,C,#99CCFF guʃ,B,#99CCFF ʧm̩,C,#99CCFF bəniː,D,#99CCFF dahan,C,#99CCFF dandun,B,#99CCFF zəhʊn,B,#99CCFF nɔxun,B,#99CCFF pɔ,C
T-Novmetan 1,#99CCFF sar,C,#99CCFF gʉʃ,B,#99CCFF ʧiʃ,C,#99CCFF bindi,D,#99CCFF dahan,C,#99CCFF dandɔ̃n,B,#99CCFF zubɔ̃,B,#99CCFF nɔxun,B,#99CCFF pɔj,C
T-Novmetan 2,#CCFFCC kalla,B,#99CCFF gʉʃ,B,#99CCFF ʧiʃ,C,#99CCFF bindi,D,#99CCFF dahan,C,#99CCFF dandɔ̃n,B,#99CCFF zubɔ̃n,B,#99CCFF nɔxun,B,#99CCFF pɔj,C
T-Nûshor 1,#99CCFF sar,C,#99CCFF guʃ,B,#99CCFF ʧaʃm̩,C,#99CCFF biniː,D,#99CCFF dahɔn,C,#99CCFF dandɔn,B,#99CCFF zabɔn,B,#99CCFF nɔxun,B,#99CCFF pɔj,C
T-Nûshor 2,#99CCFF sar,C,#99CCFF guʃ,B,#99CCFF ʧaʃm̩,C,#99CCFF biniː,D,#99CCFF dahɔn,C,#99CCFF dandɔn,B,#99CCFF zabɔn,B,#99CCFF nɔxun,B,#99CCFF pɔj,C
T-Nûshor 3,#99CCFF sar,C,#99CCFF guʃ,B,#99CCFF ʧm̩,C,#99CCFF bəniː,D,#99CCFF dahan,C,#99CCFF dandʊn,B,#99CCFF zəhʊn,B,#99CCFF nɔxun,B,#99CCFF pɔ,C
T-Rishtan 1,#99CCFF sar,C,#99CCFF guːʃ,B,#99CCFF ʧaʃəm,C,#99CCFF binnə,D,#99CCFF dahan,C,#99CCFF dandɔ̃n,B,#99CCFF zabɔn,B,#99CCFF nɔxun,B,#99CCFF pɔʧik,D
T-Rishtan 2,#99CCFF sar,C,#99CCFF guʃ,B,#99CCFF ʧaʃəm,C,#99CCFF biˑni,D,#99CCFF dahɔn,C,#99CCFF dandɔn,B,#99CCFF zabɔn,B,#99CCFF nɔxʊn,B,#99CCFF pɔʧik,D
T-Rishtan 3,#CCFFCC kalla,B,#99CCFF guʃ,B,#99CCFF ʧaʃm̩,C,#99CCFF br̩nə,D,#99CCFF dahan,C,#99CCFF dandɔn,B,#99CCFF zabɔn,B,#99CCFF nɔxən,B,#99CCFF pɔʧik,D
T-Shink 1,#99CCFF sar,C,#99CCFF gʊʃ,B,#99CCFF ʧaʃm,C,#99CCFF bɪnɪː,D,#99CCFF dahɔn,C,#99CCFF dandɔ̃n,B,#99CCFF zabɔ̃n,B,#99CCFF nɔxn̩,B,#99CCFF pɔj,C
T-Shink 2,#99CCFF sar,C,#99CCFF gʊʃ,B,#99CCFF ʧaʃm,C,#99CCFF bɪneː,D,#99CCFF dahɔn,C,#99CCFF dandɔ̃n,B,#99CCFF zabɔ̃n,B,#99CCFF nɔxʊn,B,#99CCFF pɔj,C
T-Shink 3,#99CCFF sar,C,#99CCFF gʊʃ,B,#99CCFF ʧaʃm,C,#99CCFF biniː,D,#99CCFF dahɔn,C,#99CCFF dandɔ̃n,B,#99CCFF zabɔ̃n,B,#99CCFF nɔxʊn,B,#99CCFF pɔj,C
T-Urmetan 1,#CCFFCC kalla,B,#99CCFF gʊʃ,B,#99CCFF ʧaʃm,C,#99CCFF binni,D,#99CCFF dahɔn,C,#99CCFF dandɔ̃n,B,#99CCFF zabɔ̃n,B,#99CCFF nɔxʊn,B,#99CCFF pɔj,C
T-Urmetan 2,#99CCFF sar,C,#99CCFF gʊʃ,B,#99CCFF ʧaʃm,C,#99CCFF bineː,D,#99CCFF dahɔn,C,#99CCFF dandɔn,B,#99CCFF zabɔn,B,#99CCFF nɔxɔn,B,#99CCFF pɔj,C
T-Urmetan 3,#CCFFCC kalla,B,#99CCFF gʊʃ,B,#99CCFF ʧaʃm,C,#99CCFF binni,D,#99CCFF dahɔn,C,#99CCFF dandɔ̃n,B,#99CCFF zabɔ̃n,B,#99CCFF nɔxn̩,B,#99CCFF pɔ,C
T-Urmetan 4,#CCFFCC kalla,B,#99CCFF gʊʃ,B,#99CCFF ʧaʃm,C,#99CCFF binniː,D,#99CCFF dahan,C,#99CCFF dandɔ̃n,B,#99CCFF zabɔ̃n,B,#99CCFF nɔxn̩,B,#99CCFF pɔ,C
T-Zarmanak 1,#CCFFCC kalla,B,#99CCFF gʉʃ,B,#99CCFF ʃiːm,C,#99CCFF bindi,D,#99CCFF dahan,C,#99CCFF dandɔ̃n,B,#99CCFF zubon,B,#99CCFF nɔxun,B,#99CCFF pɔj,C
T-Zarmanak 2,#99CCFF sar,C,#99CCFF gʉʃ,B,#99CCFF ʧaʃəm,C,#99CCFF bindi,D,#99CCFF dahan,C,#99CCFF dandɔ̃n,B,#99CCFF zubɔ̃n,B,#99CCFF nuxun,B,#99CCFF pɔj,C
Y-Dugova 1,#99CCFF sar,C,#99CCFF ɣuʃ,B,#99CCFF ɣurda,D,#99CCFF najs,E,#99CCFF rax,D,#99CCFF dindak,B,#99CCFF zivɔk,B,#99CCFF naxna,B,#99CCFF pɔda,C
Y-Dugova 2,#99CCFF sar,C,#99CCFF ɣuʃ,B,#99CCFF ɣurda,D,#99CCFF nes,E,#99CCFF rax,D,#99CCFF dindak,B,#99CCFF zivɔk,B,#99CCFF naxna,B,#99CCFF pɔda,C
Y-Safedorak 1,#99CCFF sar,C,#99CCFF ɣuʃ,B,#99CCFF ɣurda,D,#99CCFF nes,E,#99CCFF rax,D,#99CCFF dindak,B,#99CCFF ziβɔk,B,#99CCFF naxna,B,#99CCFF poda,C
Y-Safedorak 2,#99CCFF sar,C,#99CCFF ɣuʃ,B,#99CCFF ɣurda,D,#99CCFF najs,E,#99CCFF rax,D,#99CCFF dindak,B,#99CCFF ziβɔk,B,#99CCFF naxna,B,#99CCFF poda,C
Y-Safedorak 3,#99CCFF sar,C,#99CCFF ɣuʃ,B,#99CCFF ɣurda,D,#99CCFF najs,E,#99CCFF rax,D,#99CCFF dindak,B,#99CCFF zibʊk,B,#99CCFF naxna,B,#99CCFF pɔda,C
