Informant,heavy,heavy,small,small,short,short,narrow,narrow,thin,thin,woman,woman,man,man,person,person,child,child
Ki-Kulanak 2,#CCFFCC ɔːr,A,#CCFFCC kiʧinɛ,D,#CCFFCC qɨsqa,A,#CCFFCC kuːʃ,D,#CCFFCC iʧkɛ,A,#CCFFCC ajal,A,#CCFFCC ɪrkɛk,A,#FFFF99 adam,A,#CCFFCC bala,A
Ki-Kulanak 3,#CCFFCC ɔːr,A,#CCFFCC kiʧinɛ,D,#CCFFCC qɨsqa,A,#CCFFCC kuːʃ,D,#CCFFCC iʧkɛ,A,#CCFFCC ajal,A,#CCFFCC ɛrkɛk,A,#FFFF99 adam,A,#CCFFCC bala,A
Ki-Kulanak 4,#CCFFCC ɔːr,A,#CCFFCC kiʧinɛ,D,#CCFFCC qɨsqa,A,#CCFFCC tar,A,#CCFFCC iʧkɛ,A,#CCFFCC ajal,A,#CCFFCC ɛrkɛk,A,#FFFF99 adam,A,#CCFFCC bala,A
Ki-Kulanak 5,#CCFFCC ɔːr,A,#CCFFCC kiʧinɛ,D,#CCFFCC qɨsqa,A,#CCFFCC tar,A,#CCFFCC ʤuqa,B,#CCFFCC ajal,A,#CCFFCC ɛrkɛk,A,#FFFF99 adam,A,#CCFFCC bala,A
Ki-Orday 1,#CCFFCC salmaqtʊ,B,#CCFFCC kiʧik,E,#99CCFF kalta,B,#CCFFCC tɔr,A,#CCFFCC ʒʲuka,B,#CCFFCC ajal,A,#CCFFCC ɪrkɛk,A,#FFFF99 adam,A,#CCFFCC bala,A
Ki-Orday 2,#CCFFCC ɔːr,A,#CCFFCC kiʧinɛ,D,#99CCFF kalta,B,#CCFFCC tɒr,A,,,#CCFFCC ajal,A,#CCFFCC ɪrkɛk,A,#FFFF99 adam,A,#CCFFCC bɒla,A
Ki-Orday 3,#CCFFCC ɔːr,A,#CCFFCC kiʧinɛgɛ,D,,,#CCFFCC tar̯,A,,,#CCFFCC ajal,A,#CCFFCC ɪrkek,A,#FFFF99 adam,A,#CCFFCC bɒla,A
Ki-Orday 4,#CCFFCC ɔːr,A,#CCFFCC kiʧinʲɛ,D,#CCFFCC qɨsqa,A,#CCFFCC taʃ,A,#CCFFCC ʤuka,B,#CCFFCC ajal,A,#CCFFCC ɪrkɛk,A,#FFFF99 adam,A,#CCFFCC bɒlɒ,A
Ki-Tamga,#CCFFCC ɔːr,A,#CCFFCC kiʧinɛ,D,#CCFFCC qɨsqa,A,#CCFFCC iʧkɛ,B,#CCFFCC ʤuqa,B,#CCFFCC ajal,A,#CCFFCC ɛrkɛk,A,#FFFF99 adam,A,#CCFFCC bala,A
KK-Halqabad 1,#CCFFCC awər,A,#CCFFCC kiʃkʲɛntaj,B,#CCFFCC qɨsxaʃa,A,#CCFFCC ʒiŋiʃkʲe,B,#CCFFCC ʒuqa,B,#CCFFCC hajal,A,#CCFFCC jer,B,#FFFF99 adam,A,#CCFFCC bala,A
KK-Halqabad 2,#CCFFCC awər,A,#CCFFCC kiʃkene,A,#CCFFCC qɨsxa,A,#CCFFCC ʊzʊn,C,#CCFFCC tʊmbaq,D,#CCFFCC hajal,A,#CCFFCC jer,B,#FFFF99 adam,A,#CCFFCC bala,A
KK-Halqabad 3,#CCFFCC awʊr,A,#CCFFCC kiʃkantaj,B,#CCFFCC qɨsxa,A,#CCFFCC ʒiŋiʃkʲe,B,#CCFFCC ʒuqa,B,#CCFFCC ajal,A,#CCFFCC jɪrkek,A,#FFFF99 adam,A,#CCFFCC bala,A
KK-Kokdarya 1,#CCFFCC awɜr,A,#CCFFCC kiʧkene,A,#CCFFCC qɨsqa,A,#CCFFCC tar,A,#CCFFCC ʤuɣa,B,#CCFFCC ajel,A,#CCFFCC jerkɛk,A,#FFFF99 adam,A,#CCFFCC bala,A
KK-Kokdarya 2,#CCFFCC awɜr,A,#CCFFCC kiʃkenʲe,A,#CCFFCC qɨsqa,A,#CCFFCC tar,A,#CCFFCC ʒɨŋʃkɪ,A,#CCFFCC hajal,A,#CCFFCC jerkɛk,A,#FFFF99 insan,B,#CCFFCC bala,A
KK-Kokdarya 3,#CCFFCC awər,A,#CCFFCC kiʃkene,A,#CCFFCC qɨsqa,A,#CCFFCC tar,A,#CCFFCC jupqa,B,#CCFFCC ajal,A,#CCFFCC erkæk,A,#FFFF99 adam,A,#CCFFCC bala,A
KK-Kokdarya 4,#CCFFCC awər,A,#CCFFCC kiʃkʲentaj,B,#99CCFF kʲelte,B,#CCFFCC tar,A,#CCFFCC ʒʊqa,B,#CCFFCC hajal,A,#CCFFCC jɛr,B,#FFFF99 adam,A,#CCFFCC bala,A
KK-Shege 1,#CCFFCC awɜr,A,#CCFFCC kiʃkinʲɛ,A,#99CCFF kelte,B,#CCFFCC ʒiŋʃke,B,#CCFFCC ʒiŋʃke,A,#CCFFCC hajal,A,#CCFFCC jerkɛk,A,#FFFF99 insan,B,#CCFFCC bala,A
KK-Shege 2,#CCFFCC awɨr,A,#CCFFCC kiʃkinɛ,A,#CCFFCC qɨsχa,A,#CCFFCC ʒiŋʃke,B,#CCFFCC ʒiŋʃkine,E,#CCFFCC hajal,A,#CCFFCC jer,B,#FFFF99 adam,A,#CCFFCC bala,A
KK-Shege 3,#CCFFCC awɨr,A,#CCFFCC kiʃkʲenʲɛ,A,#99CCFF kʲelte,B,#CCFFCC tar,A,#CCFFCC ʃʊqa,B,#CCFFCC hajal,A,#CCFFCC jer,B,#FFFF99 adam,A,#CCFFCC bala,A
KK-Shege 4,#CCFFCC awɨr,A,#CCFFCC kiʃkʲɛntaj,B,#99CCFF kʲeltʲe,B,#CCFFCC uzun,C,#CCFFCC ʒɨŋʃkine,E,#CCFFCC hajal,A,#CCFFCC jerkek,A,#FFFF99 adam,A,#CCFFCC bala,A
U-Hitoy 1,#CCFFCC awɨr,A,#CCFFCC kiskinʲɛ,A,#CCFFCC qɨsqa,A,#CCFFCC tar,A,#CCFFCC ʤuqa,B,#CCFFCC ajel,A,#CCFFCC jerkɛk,A,#FFFF99 adam,A,#CCFFCC bala,A
U-Hitoy 2,#CCFFCC awrʊ,A,#CCFFCC kiʧkenʲɛ,A,#99CCFF kɛlte,B,#CCFFCC tar,A,#CCFFCC ʤoqa,B,#CCFFCC ajel,A,#CCFFCC jerkɛk,A,#FFFF99 adam,A,#CCFFCC bala,A
U-Hitoy 3,#CCFFCC awər,A,#CCFFCC kiskinʲɛ,A,#CCFFCC qɨsqa,A,#CCFFCC tar,A,#CCFFCC ʤiŋiske,A,#CCFFCC ajel,A,#CCFFCC jerkɛk,A,#FFFF99 adam,A,#CCFFCC bala,A
U-Novmetan 3,#CCFFCC ɔɣər,A,#CCFFCC kiʧik,E,#99CCFF kalta,B,#CCFFCC ingiʧka,B,#CCFFCC majin,F,#CCFFCC ajɔl,A,#CCFFCC ɛrkak,A,#FFFF99 ɔdam,A,#CCFFCC bola,A
U-Soy Mahalla 1,#CCFFCC ɔɣər,A,#CCFFCC kiʧik,E,#99CCFF kalta,B,#CCFFCC tɔr,A,,,#CCFFCC ajɔl,A,#CCFFCC ɪrkak,A,#FFFF99 insɒn,B,#CCFFCC bɔla,A
U-Soy Mahalla 2,#CCFFCC ɔɣər,A,#CCFFCC kiʧkɪnɛ,A,#99CCFF kalta,B,#CCFFCC tɔr,A,#CCFFCC iŋiska,A,#CCFFCC ajɔl,A,#CCFFCC ɪrkɛk,A,#FFFF99 ɔdam,A,#CCFFCC bɔla,A
U-Soy Mahalla 3,#CCFFCC ɔɣər,A,#CCFFCC kiʧkɪnɐ,A,#99CCFF kalta,B,#CCFFCC iŋiʧkɐ,B,#CCFFCC jupka,B,#CCFFCC ajɔl,A,#CCFFCC erkɛk,A,#FFFF99 ɔdam,A,#CCFFCC bɔla,A
U-Urtoqqishloq 1,#CCFFCC wɔɣər,A,#CCFFCC kɪʧkina,A,#99CCFF qałta,B,#CCFFCC qs̩ka,E,#CCFFCC ingiʧka,A,#CCFFCC ajɔł,A,#CCFFCC jerkak,A,#FFFF99 ɔdam,A,#CCFFCC bɔla,A
U-Urtoqqishloq 2,#CCFFCC ɔɣər,A,#CCFFCC kɪʧɪk,E,#CCFFCC qs̩ka,A,#CCFFCC qs̩ka,E,#CCFFCC jypqa,B,#CCFFCC ajɔł,A,#CCFFCC erkak,A,#FFFF99 ɔdam,A,#CCFFCC bɔla,A
U-Urtoqqishloq 3,#CCFFCC ɔɣər,A,#CCFFCC kɪʧɪk,E,#CCFFCC qs̩ka,A,#CCFFCC ingiʧka,B,#CCFFCC jypqa,B,#CCFFCC ajɔł,A,#CCFFCC erkæk,A,#FFFF99 ɔdam,A,#CCFFCC bɔla,A
U-Urtoqqishloq 4,#CCFFCC ɔɣər,A,#CCFFCC kɪʧkina,A,#CCFFCC qs̩ka,A,#CCFFCC ingiʧka,B,#CCFFCC jypqa,B,#CCFFCC xɔtɨn,B,#CCFFCC erkæk,A,#FFFF99 ɔdam,A,#CCFFCC bɔla,A
U-Zarmanak 3,#CCFFCC ɔɣər,A,#CCFFCC kʧik,E,#99CCFF kałta,B,#CCFFCC tɔr,A,#CCFFCC jypqa,B,#CCFFCC ajɔł,A,#CCFFCC ɪrkak,A,#FFFF99 ɔdam,A,#CCFFCC bola,A
U-Zarmanak 4,#CCFFCC ɔɣər,A,#CCFFCC kiʧik,E,#99CCFF kalta,B,#CCFFCC tɔr,A,#CCFFCC ingiʧkə,A,#CCFFCC ajɔl,A,#CCFFCC ɪrkak,A,#FFFF99 ɔdam,A,#CCFFCC bola,A
T-Agalyk,#99CCFF vazmin,C,#99CCFF xuld,L,#99CCFF kutɔh,F,#99CCFF taŋ,N,#99CCFF bɔrik,K,#99CCFF zan,G,#99CCFF mard,G,#FFFF99 ɔdam,A,#99CCFF gʊdak,F
T-Kamangaron 1,#99CCFF vazmin,C,#99CCFF majda,J,#99CCFF kytɔh,F,#99CCFF bɔrik,M,#99CCFF tunuk,L,#99CCFF zajif,I,#99CCFF mardak,H,#FFFF99 ɔdam,A,#99CCFF gødak,F
T-Kamangaron 2,#99CCFF vazbin,C,#99CCFF majda,J,#99CCFF kalta,B,#99CCFF taŋk,N,#99CCFF tunuk,L,#99CCFF zajif,I,#99CCFF mard,G,#FFFF99 ɔdam,A,#99CCFF baʧa,G
T-Kamangaron 3,#99CCFF vazbin,C,,,#99CCFF mazik,G,#99CCFF bɔrik,G,,,#99CCFF zajif,I,#99CCFF mard̥,G,#FFFF99 ɔdam,A,#99CCFF baʧa,G
T-Kamangaron 4,#99CCFF vazbin,C,#99CCFF majda,J,#99CCFF kølta,B,#99CCFF bɔrik,G,,,#99CCFF zajif,I,#99CCFF mard̥,G,#FFFF99 ɔdam,A,#99CCFF baʧa,G
T-Kaptarhona 1,#99CCFF vazmin,C,#99CCFF majdahak,K,#99CCFF kalta,B,#99CCFF tank,N,#99CCFF bɔrik,K,#99CCFF zanak,J,#99CCFF mardak,H,#FFFF99 ɔdam,A,#99CCFF kudak,F
T-Kaptarhona 2,#99CCFF vazmin,C,#99CCFF majda,J,#99CCFF kalta,B,#99CCFF tɔr,A,#99CCFF bɔrik,K,#99CCFF zan,G,#99CCFF mard,G,#FFFF99 ɔdam,A,#99CCFF gudak,F
T-Kaptarhona 3,#99CCFF vazmin,C,#99CCFF majdahak,K,#99CCFF kalta,B,#99CCFF borʲik,G,#99CCFF borʲik,K,#99CCFF zanak,J,#99CCFF mardak,H,#FFFF99 ɔdam,A,#99CCFF kudak,F
T-Kaptarhona 4,#99CCFF vazbin,C,#99CCFF majdahak,K,,,#99CCFF kam,I,#99CCFF bɔrik,K,#99CCFF zanak,J,#99CCFF mardak,H,#FFFF99 ɔdamzɔt,A,#99CCFF lulak,H
T-Kaptarhona 5,#99CCFF vazmin,C,#99CCFF majdahak,K,#99CCFF kalta,B,#99CCFF kam,I,#99CCFF bɔrik,K,,,#99CCFF mardak,H,#FFFF99 ɔdam,A,#99CCFF kudak,F
T-Navdî 1,#99CCFF vazmin,C,#99CCFF majda,J,#99CCFF kutɔh,F,#99CCFF taŋ˳,N,#99CCFF tunuk,L,#99CCFF zanak,J,#99CCFF mard,G,#FFFF99 ɔdam,A,#99CCFF kudak,F
T-Navdî 2,#99CCFF vazmin,C,,,#99CCFF kutɔh,F,#99CCFF bɔrik,G,#99CCFF tunuk,L,#99CCFF zanak,J,#99CCFF mardak,H,#FFFF99 ɔdam,A,#99CCFF kudak,F
T-Navdî 3,#99CCFF vazmin,C,#99CCFF majda,J,#99CCFF kalta,B,#99CCFF bɔrik,G,#99CCFF bɔrik,K,#99CCFF zanak,J,#99CCFF mard,G,#FFFF99 ɔdam,A,#99CCFF kudak,F
T-Nimich 1,#99CCFF vazmin,C,#99CCFF majda,J,#99CCFF kalta,B,#99CCFF bɔrik,G,#99CCFF bɔrik,K,#99CCFF zanak,J,#99CCFF mardak,H,#FFFF99 ɔdam,A,#99CCFF kudak,F
T-Nimich 2,#99CCFF vazmin,C,#99CCFF majda,J,#99CCFF kutɔh,F,#99CCFF bɔrik,G,#99CCFF tunuk,L,#99CCFF zan,G,#99CCFF mard,G,#FFFF99 ɔdam,A,#99CCFF kudak,F
T-Nimich 3,#99CCFF vazmɪn,C,#99CCFF xʊd̥,L,#99CCFF kutah,F,#99CCFF taŋ,N,#99CCFF pɔrik,K,#99CCFF zan,G,#99CCFF mard,G,#FFFF99 ɔdam,A,#99CCFF kudak,F
T-Nimich 4,#99CCFF vazmin,C,#99CCFF majda,J,#99CCFF kutah,F,#99CCFF bɔrik,G,#99CCFF paʧəq,M,#99CCFF zanak,J,#99CCFF mardak,H,#FFFF99 ɔdam,A,#99CCFF kudak,F
T-Novmetan 1,#99CCFF vazbin,C,#99CCFF majda,J,#99CCFF kałta,B,,,,,#99CCFF zan,G,,,#FFFF99 ɔdam,A,#99CCFF baʧa,G
T-Novmetan 2,#99CCFF vazbin,C,,,#99CCFF kalta,B,#99CCFF pɔrik,G,,,#99CCFF zan,G,#99CCFF mard,G,#FFFF99 ɔdam,A,#99CCFF baʧa,G
T-Nûshor 1,#99CCFF vazmɪn,C,#99CCFF majda,J,#99CCFF kutɔh,F,#99CCFF bɔrik,G,#99CCFF bɔrik,K,#99CCFF zan,G,#99CCFF mard,G,#FFFF99 ɔdam,A,#99CCFF kudak,F
T-Nûshor 2,#99CCFF vazmin,C,#99CCFF xʊrd,L,#99CCFF kutɔh,F,#99CCFF pɔrik,G,#99CCFF pɔrik,K,#99CCFF zan,G,#99CCFF mard,G,#FFFF99 ɔdam,A,#99CCFF kudak,F
T-Nûshor 3,#99CCFF vazmin,C,#99CCFF majda,J,#99CCFF kutah,F,#99CCFF bɔrik,G,#99CCFF tʉnʉk,L,#99CCFF zanak,J,#99CCFF mardak,H,#FFFF99 ɔdam,A,#99CCFF kudak,F
T-Rishtan 1,#99CCFF vazmɪn,C,#99CCFF majda,J,,,#99CCFF taŋ,N,#99CCFF xarɔp,N,#99CCFF zanak,J,#99CCFF mardak,H,#FFFF99 ɔdam,A,#99CCFF baʧa,G
T-Rishtan 2,#99CCFF vazmin,C,#99CCFF majda,J,#99CCFF kalta,B,#99CCFF tɔr,A,#99CCFF bɔrik,K,#99CCFF zan,G,#99CCFF mard,G,#FFFF99 ɔdam,A,#99CCFF baʧa,G
T-Rishtan 3,#99CCFF vazmɪn,C,#99CCFF majda,J,#99CCFF kalta,B,#99CCFF kutɔh,O,#99CCFF bɔrik,K,#99CCFF zanak,J,#99CCFF mardak,H,#FFFF99 ɔdam,A,#99CCFF baʧa,G
T-Shink 1,#99CCFF vazmin,C,#99CCFF majdik,J,#99CCFF kalta,B,#99CCFF taŋ,N,#99CCFF bɔri,K,#99CCFF zan,G,#99CCFF mardak,H,#FFFF99 ɔdam,A,#99CCFF baʧa,G
T-Shink 2,#99CCFF vazmin,C,#99CCFF majda,J,#99CCFF kutɔh,F,#99CCFF taŋ,N,#99CCFF bɔrik,K,#99CCFF zan,G,#99CCFF mard,G,#FFFF99 ɔdam,A,#99CCFF baca,G
T-Shink 3,#99CCFF vazmin,C,#99CCFF xʉrd,L,#99CCFF kutɔh,F,#99CCFF taŋ,N,#99CCFF bɔrik,K,#99CCFF zan,G,#99CCFF mard,G,#FFFF99 ɔdam,A,#99CCFF baʧa,G
T-Urmetan 1,#99CCFF vazbin,C,#99CCFF majda,J,#99CCFF kałta,B,#99CCFF boˑrik,G,#99CCFF xarob̥,N,#99CCFF zanak,J,#99CCFF mardak,H,#FFFF99 ɔdam,A,#99CCFF baʧa,G
T-Urmetan 2,#99CCFF vazmin,C,#99CCFF majda,J,#99CCFF kutɔh,F,#99CCFF boˑrik,G,#99CCFF xarob̥,N,#99CCFF zanak,J,#99CCFF mard,G,#FFFF99 ɔdam,A,#99CCFF kudak,F
T-Urmetan 3,#99CCFF vazmin,C,#99CCFF majdajak,K,#99CCFF kutɔh,F,#99CCFF taŋ˳,N,#99CCFF bɔrik,K,#99CCFF zan,G,#99CCFF mard,G,#FFFF99 ɔdam,A,#99CCFF kudak,F
T-Urmetan 4,#99CCFF vazmin,C,,,#99CCFF kalta,B,#99CCFF kalta,P,#99CCFF bɔrik,K,#99CCFF zanak,J,#99CCFF mardak,H,#FFFF99 ɔdam,A,#99CCFF baʧa,G
T-Zarmanak 1,#99CCFF vazbin,C,#99CCFF majda,J,#99CCFF kalta,B,#99CCFF borik,G,#99CCFF tunuk,L,#99CCFF zajif,I,#99CCFF mard,G,#FFFF99 ɔdam,A,#99CCFF baʧa,G
T-Zarmanak 2,#99CCFF vazbin,C,#99CCFF majda,J,#99CCFF kalta,B,#99CCFF kambar,Q,#99CCFF xarɔb̥,N,#99CCFF zan,G,#99CCFF mard̥,G,#FFFF99 ɔdam,A,#99CCFF baʧa,G
Y-Dugova 1,#99CCFF vazmin,C,#99CCFF majdak,J,,,#99CCFF hɔrd,R,#99CCFF tunuk,L,#99CCFF zaifa,I,#99CCFF mardak,H,#FFFF99 ɔdam,A,#99CCFF kudak,F
Y-Dugova 2,#99CCFF vazmin,C,#99CCFF majdahak,K,#99CCFF kalta,B,#99CCFF tank,N,#99CCFF bɔrik,K,#99CCFF zaifa,I,#99CCFF mɔrtit,I,#FFFF99 ɔdam,A,#99CCFF pulla,J
Y-Safedorak 1,#99CCFF vazmin,C,#99CCFF majdahak,K,#99CCFF kalta,B,#99CCFF tank,N,#99CCFF boˑrik,K,#99CCFF zaifa,I,#99CCFF mɔrtit,I,#FFFF99 ɔdam,A,#99CCFF pulla,J
Y-Safedorak 2,#99CCFF vazmin,C,#99CCFF majda,J,#99CCFF kalta,B,#99CCFF tank,N,#99CCFF boˑrik,K,#99CCFF zaifa,I,#99CCFF mʊrti,I,#FFFF99 ɔdam,A,#99CCFF pʊlla,J
Y-Safedorak 3,#99CCFF vazmin,C,#99CCFF majda,J,#99CCFF kalta,B,#99CCFF tank,N,#99CCFF borik,K,#99CCFF zaifa,I,#99CCFF mardak,H,#FFFF99 ɔdam,A,#99CCFF kudak,F
